company_id,company_name,scenario_id,plan_id,facility_id,facility_name,region,transition_year,baseline_technology_id,baseline_technology_name,technology_id,technology_name,aligned_capex_bn_krw,incremental_capex_bn_krw,capacity_mtpa,output_mt,baseline_emissions_mtco2,emissions_2030_mtco2,emissions_2040_mtco2,residual_emissions_mtco2,annual_avoided_emissions_mtco2,cumulative_avoided_emissions_mtco2,base_case_gross_cost_bn_krw,base_case_policy_support_bn_krw,base_case_net_cost_bn_krw,base_case_capex_cost_bn_krw,base_case_fixed_opex_cost_bn_krw,base_case_electricity_cost_bn_krw,base_case_hydrogen_cost_bn_krw,base_case_contract_premium_bn_krw,base_case_carbon_value_bn_krw,data_status,source_note
POSCO_KR,POSCO,ACCELERATED_15C,P1,POS-POH-N,포항제철소 BF 블록 A,포항,2029,BF_BOF,기준 BF-BOF 복합 블록,SCRAP_EAF,스크랩 기반 대형 EAF,4592.0,2952.0,8.2,7.599998,15.775574,3.419999,3.419999,3.419999,12.355575,148.266898,-603.64,476.581,-1080.221,2382.904,446.25,4329.731,0.0,0.0,-7762.525,model_estimate,POSCO 공식 국내 생산·배출 총량에 맞춘 설비 블록 배분; 개별 생산량·재투자연도는 추정
POSCO_KR,POSCO,ACCELERATED_15C,P1,POS-POH-S,포항제철소 BF 블록 B,포항,2032,BF_BOF,기준 BF-BOF 복합 블록,SCRAP_EAF,스크랩 기반 대형 EAF,4144.0,2664.0,7.4,6.800001,14.114992,14.114992,3.06,3.06,11.054992,99.49493,-438.821,366.266,-805.087,1831.332,274.288,2755.556,0.0,0.0,-5299.996,model_estimate,POSCO 공식 국내 생산·배출 총량에 맞춘 설비 블록 배분; 개별 생산량·재투자연도는 추정
POSCO_KR,POSCO,ACCELERATED_15C,P1,POS-GWY-W,광양제철소 BF 블록 A,광양,2035,BF_BOF,기준 BF-BOF 복합 블록,SCRAP_EAF,스크랩 기반 대형 EAF,5768.0,3708.0,10.3,9.499999,19.719471,19.719471,4.275,4.275,15.444471,92.666828,-39.988,434.155,-474.143,2170.777,263.8,2474.272,0.0,0.0,-4948.836,model_estimate,POSCO 공식 국내 생산·배출 총량에 맞춘 설비 블록 배분; 개별 생산량·재투자연도는 추정
POSCO_KR,POSCO,ACCELERATED_15C,P1,POS-GWY-E,광양제철소 BF 블록 B,광양,2037,BF_BOF,기준 BF-BOF 복합 블록,SCRAP_EAF,스크랩 기반 대형 EAF,5768.0,3708.0,10.3,9.502996,19.725693,19.725693,4.276348,4.276348,15.449344,61.797377,424.066,390.068,33.999,1950.339,166.354,1590.118,0.0,0.0,-3282.745,model_estimate,POSCO 공식 국내 생산·배출 총량에 맞춘 설비 블록 배분; 개별 생산량·재투자연도는 추정
POSCO_KR,POSCO,ACCELERATED_15C,P1,POS-GWY-EAF,광양 기존 EAF 블록,광양,2033,EAF_BASELINE,기존 전기로 기준 블록,EAF_RENEWABLE,기존 EAF 재생전력 업그레이드,312.0,96.0,1.2,1.134,0.5103,0.5103,0.1134,0.1134,0.3969,3.1752,-49.178,9.383,-58.561,62.553,14.814,42.986,0.0,0.0,-169.532,model_estimate,2025 공식 EAF 생산 1.135Mt에 맞춘 모델 블록; 집약도·재투자연도 추정
POSCO_KR,POSCO,ACCELERATED_15C,P2,POS-POH-N,포항제철소 BF 블록 A,포항,2029,BF_BOF,기준 BF-BOF 복합 블록,SCRAP_EAF,스크랩 기반 대형 EAF,4592.0,2952.0,8.2,7.599998,15.775574,3.419999,3.419999,3.419999,12.355575,148.266898,-592.38,477.534,-1069.914,2382.904,446.25,4329.731,0.0,11.26,-7762.525,model_estimate,POSCO 공식 국내 생산·배출 총량에 맞춘 설비 블록 배분; 개별 생산량·재투자연도는 추정
POSCO_KR,POSCO,ACCELERATED_15C,P2,POS-POH-S,포항제철소 BF 블록 B,포항,2032,BF_BOF,기준 BF-BOF 복합 블록,SCRAP_EAF,스크랩 기반 대형 EAF,4144.0,2664.0,7.4,6.800001,14.114992,14.114992,3.06,3.06,11.054992,99.49493,-431.025,366.999,-798.024,1831.332,274.288,2755.556,0.0,7.796,-5299.996,model_estimate,POSCO 공식 국내 생산·배출 총량에 맞춘 설비 블록 배분; 개별 생산량·재투자연도는 추정
POSCO_KR,POSCO,ACCELERATED_15C,P2,POS-GWY-W,광양제철소 BF 블록 A,광양,2035,BF_BOF,기준 BF-BOF 복합 블록,SCRAP_EAF,스크랩 기반 대형 EAF,5768.0,3708.0,10.3,9.499999,19.719471,19.719471,4.275,4.275,15.444471,92.666828,-31.935,435.024,-466.958,2170.777,263.8,2474.272,0.0,8.053,-4948.836,model_estimate,POSCO 공식 국내 생산·배출 총량에 맞춘 설비 블록 배분; 개별 생산량·재투자연도는 추정
POSCO_KR,POSCO,ACCELERATED_15C,P2,POS-GWY-E,광양제철소 BF 블록 B,광양,2037,BF_BOF,기준 BF-BOF 복합 블록,H2_DRI_EAF,수소 DRI + EAF,9270.0,7210.0,10.3,9.502996,19.725693,19.725693,1.900599,1.900599,17.825093,71.300373,11248.125,1452.798,9795.327,3792.327,295.74,1311.15,9617.294,19.169,-3787.555,model_estimate,POSCO 공식 국내 생산·배출 총량에 맞춘 설비 블록 배분; 개별 생산량·재투자연도는 추정
POSCO_KR,POSCO,ACCELERATED_15C,P2,POS-GWY-EAF,광양 기존 EAF 블록,광양,2033,EAF_BASELINE,기존 전기로 기준 블록,EAF_RENEWABLE,기존 EAF 재생전력 업그레이드,312.0,96.0,1.2,1.134,0.5103,0.5103,0.1134,0.1134,0.3969,3.1752,-48.989,9.402,-58.39,62.553,14.814,42.986,0.0,0.19,-169.532,model_estimate,2025 공식 EAF 생산 1.135Mt에 맞춘 모델 블록; 집약도·재투자연도 추정
POSCO_KR,POSCO,ACCELERATED_15C,P3,POS-POH-N,포항제철소 BF 블록 A,포항,2029,BF_BOF,기준 BF-BOF 복합 블록,SCRAP_EAF,스크랩 기반 대형 EAF,4592.0,2952.0,8.2,7.599998,15.775574,3.419999,3.419999,3.419999,12.355575,148.266898,-571.646,479.083,-1050.729,2382.904,446.25,4329.731,0.0,31.994,-7762.525,model_estimate,POSCO 공식 국내 생산·배출 총량에 맞춘 설비 블록 배분; 개별 생산량·재투자연도는 추정
POSCO_KR,POSCO,ACCELERATED_15C,P3,POS-POH-S,포항제철소 BF 블록 B,포항,2032,BF_BOF,기준 BF-BOF 복합 블록,SCRAP_EAF,스크랩 기반 대형 EAF,4144.0,2664.0,7.4,6.800001,14.114992,14.114992,3.06,3.06,11.054992,99.49493,-416.806,368.189,-784.996,1831.332,274.288,2755.556,0.0,22.014,-5299.996,model_estimate,POSCO 공식 국내 생산·배출 총량에 맞춘 설비 블록 배분; 개별 생산량·재투자연도는 추정
POSCO_KR,POSCO,ACCELERATED_15C,P3,POS-GWY-W,광양제철소 BF 블록 A,광양,2035,BF_BOF,기준 BF-BOF 복합 블록,H2_DRI_EAF,수소 DRI + EAF,9270.0,7210.0,10.3,9.499999,19.719471,19.719471,1.9,1.9,17.819471,106.916827,16173.801,2525.656,13648.145,4220.954,468.979,2040.189,15065.694,87.837,-5709.852,model_estimate,POSCO 공식 국내 생산·배출 총량에 맞춘 설비 블록 배분; 개별 생산량·재투자연도는 추정
