company_id,company_name,candidate_id,template_plan_id,physical_portfolio_id,from_scenario_id,to_scenario_id,from_scenario_feasible,to_scenario_feasible,same_physical_portfolio,common_avoided_emissions_mtco2,delta_p50_common_kkrw_per_tco2_mean,delta_p50_common_kkrw_per_tco2_std,delta_tcar_kkrw_per_tco2_mean,delta_tcar_kkrw_per_tco2_std,delta_absolute_npv_p50_bn_krw_mean,delta_absolute_npv_p50_bn_krw_std,delta_absolute_npv_p90_bn_krw_mean,delta_absolute_npv_p90_bn_krw_std,delta_aligned_capex_bn_krw_mean,delta_aligned_capex_bn_krw_std,delta_net_cash_cost_p50_bn_krw_mean,delta_net_cash_cost_p50_bn_krw_std,delta_avoided_carbon_value_p50_bn_krw_mean,delta_avoided_carbon_value_p50_bn_krw_std,delta_policy_support_value_p50_bn_krw_mean,delta_policy_support_value_p50_bn_krw_std
JFE_STEEL_JP,JFE Steel,CAND-0B566F19FFC9A2,P2,PORT-CCD4397FA6D4,ACCELERATED_15C,DISCLOSED_PATH,False,True,True,281.895878,8.145604,0.099782,-2.218564,0.481736,2296.212333,28.128688,1670.808333,120.770732,0.0,0.0,-2365.564,28.128323,-4661.776,0.0,-878.049333,2.032888
JFE_STEEL_JP,JFE Steel,CAND-A735954AF09420,P3,PORT-CCD4397FA6D4,ACCELERATED_15C,DISCLOSED_PATH,False,True,True,281.895878,10.28401,0.103794,-1.244026,0.260416,2899.019667,29.259532,2548.334333,76.375398,0.0,0.0,-1762.757,29.258968,-4661.776,0.0,-1476.395667,10.130282
JFE_STEEL_JP,JFE Steel,CAND-E72109958C3B57,P2,PORT-E5F3D5116135,ACCELERATED_15C,DISCLOSED_PATH,True,False,True,321.408363,8.829508,0.069444,-1.926761,0.228642,2837.877667,22.320056,2218.601,95.315171,0.0,0.0,-2504.636667,22.319654,-5342.515,0.0,-946.844667,4.19625
JFE_STEEL_JP,JFE Steel,CAND-E8FAD9BDD034A5,P3,PORT-51A2628EF9C2,ACCELERATED_15C,DISCLOSED_PATH,True,True,True,328.220861,9.581002,0.040335,-1.520509,0.147666,3144.684667,13.238598,2645.621667,61.672662,0.0,0.0,-2315.198667,13.238929,-5459.883,0.0,-2027.233,10.73907
JFE_STEEL_JP,JFE Steel,CAND-F4B6AD5FB08D71,P2,PORT-51A2628EF9C2,ACCELERATED_15C,DISCLOSED_PATH,True,True,True,328.220861,7.072879,0.124584,-2.631205,0.121683,2321.466,40.89161,1457.85,77.508914,0.0,0.0,-3138.417333,40.891039,-5459.883,0.0,-1210.172,10.778176
JFE_STEEL_JP,JFE Steel,CAND-FC0AA3F9FE37C6,P3,PORT-E5F3D5116135,ACCELERATED_15C,DISCLOSED_PATH,True,False,True,321.408363,10.675009,0.076198,-1.088977,0.169835,3431.037,24.490883,3081.030667,79.050791,0.0,0.0,-1911.477333,24.490358,-5342.515,0.0,-1534.952667,22.513945
JFE_STEEL_JP,JFE Steel,CAND-FCDB7C1BD7991A,P1,PORT-51A2628EF9C2,ACCELERATED_15C,DISCLOSED_PATH,True,True,True,328.220861,5.348775,0.165529,-3.658442,0.084193,1755.579333,54.330246,554.802333,80.724164,0.0,0.0,-3704.303667,54.330246,-5459.883,0.0,-652.777667,4.393286
KOBE_STEEL_JP,Kobe Steel,CAND-0E9003448A63C3,P7,PORT-F194BB679477,ACCELERATED_15C,DISCLOSED_PATH,True,False,True,131.48782,26.08752,0.00487,0.168965,0.026159,3430.191333,0.640453,3452.408,3.077863,0.0,0.0,1308.926333,0.640453,-2121.265,0.0,-3456.476667,2.355243
KOBE_STEEL_JP,Kobe Steel,CAND-314B41E5534D98,P3,PORT-9862FC05DA24,ACCELERATED_15C,DISCLOSED_PATH,True,True,True,105.301092,8.701987,0.209917,-1.56063,0.207558,916.329,22.104811,751.992667,19.779746,0.0,0.0,-802.39,22.104811,-1718.719,0.0,-905.077333,3.07155
KOBE_STEEL_JP,Kobe Steel,CAND-4D158AE8BC3521,P3,PORT-1144EBE63B41,ACCELERATED_15C,DISCLOSED_PATH,True,True,True,102.391093,10.282134,0.089848,-1.152852,0.123172,1052.798667,9.199265,934.757333,21.687235,0.0,0.0,-615.786333,9.199265,-1668.585,0.0,-705.235333,4.9862
