base_param,tier,d_lcoa_pct,d_tcar_pct,d_p50_pct,score
fac.ef_inc,T5,86.35863284153781,2.6204435062381116e-12,1.4570227866434714e-12,86.35863284153781
tech.emission_factor,T3,85.77655097010862,6.218001540226028e-13,1.0927670899826034e-12,85.77655097010862
cfg.discount,T5,7.306589198773077,42.46542228431605,25.441725150330054,42.46542228431605
vol.h2,T5,10.843324922369726,41.90270279527645,10.843324922369725,41.90270279527645
tech.h2_intensity,T3,12.080174969365796,30.69813616767346,12.080174969365782,30.69813616767346
price.h2,T5,12.080174969365796,30.69813616767346,12.080174969365782,30.69813616767346
vol.elec,T3,0.9008852378235458,25.83774568718029,0.9008852378235322,25.83774568718029
fac.capacity,T2/T5,17.811105281430425,1.3588057290503692,17.811105281430425,17.811105281430425
tech.capex,T3,17.410700926625502,1.4048377003399097,17.410700926625513,17.410700926625502
tech.elec_intensity,T3,7.440420459244447,13.564131967693388,7.440420459244443,13.564131967693388
price.re,T4,7.440420459244447,13.564131967693388,7.440420459244443,13.564131967693388
tech.opex_fixed,T3,7.6558387870700315,1.0987998104825502e-13,7.655838787070038,7.6558387870700315
tech.steel_capex,T3,6.839058827683065,1.4048377003399097,6.839058827683067,6.839058827683065
fac.coal_int_inc,T5,5.5771745968111865,5.493999052412751e-14,5.57717459681118,5.5771745968111865
price.coal,T3,5.5771745968111865,8.240998578619127e-14,5.57717459681118,5.5771745968111865
tech.opex_var,T4,4.322015097909089,1.820986165351908e-12,4.322015097909066,4.322015097909089
fac.margin,T4,2.9560533351072604,1.3734997631031877e-13,2.956053335107268,2.9560533351072604
vol.capex,T5,1.920464596321028,1.4614050970113417,1.9204645963210387,1.920464596321028
price.elec,T4,0.7917653699103309,1.6021499850322019,0.7917653699103311,1.6021499850322019
fac.elec_int_inc,T5,0.7917653699103309,1.6021499850322019,0.7917653699103311,1.6021499850322019
price.gas,T3,0.3572005541260782,1.3325435141507586e-12,0.35720055412605733,0.3572005541260782
cfg.auction_share,T1/T5,4.4659936852879707e-13,1.6655361268462574e-12,4.553196208260848e-13,1.6655361268462574e-12
price.co2,T5,7.686512318801162e-13,1.6433289784883071e-12,7.722304185030947e-13,1.6433289784883071e-12
cfg.ppa_premium,T5,0.0,0.0,0.0,0.0
cfg.epc_premium,T5,0.0,0.0,0.0,0.0
