company_id,company_name,candidate_id,template_plan_id,physical_portfolio_id,scenario_id,scenario_feasible,carbon_budget_feasible,physical_constraints_feasible,common_avoided_emissions_mtco2,candidate_path_count,expected_cost_p50_kkrw_per_tco2_mean,expected_cost_p50_kkrw_per_tco2_std,net_economic_cost_p50_kkrw_per_tco2_common_denominator_mean,net_economic_cost_p50_kkrw_per_tco2_common_denominator_std,tcar_kkrw_per_tco2_mean,tcar_kkrw_per_tco2_std,absolute_npv_p50_bn_krw_mean,absolute_npv_p50_bn_krw_std,absolute_npv_p90_bn_krw_mean,absolute_npv_p90_bn_krw_std,aligned_capex_bn_krw_mean,aligned_capex_bn_krw_std,net_cash_cost_after_support_p50_bn_krw_mean,net_cash_cost_after_support_p50_bn_krw_std,avoided_carbon_cost_value_p50_bn_krw_mean,avoided_carbon_cost_value_p50_bn_krw_std,policy_support_value_p50_bn_krw_mean,policy_support_value_p50_bn_krw_std,scenario_regret_p50_kkrw_per_tco2_mean,scenario_regret_p50_kkrw_per_tco2_std,electricity_variance_share_mean,electricity_variance_share_std,hydrogen_variance_share_mean,hydrogen_variance_share_std,capex_variance_share_mean,capex_variance_share_std
POSCO_KR,POSCO,CAND-6339E6B83A8408,P3,PORT-8826D0B469EE,DISCLOSED_PATH,True,True,True,429.154227,100,64.091199,1.262515,64.091199,1.262515,13.437587,2.245198,27505.009,541.813757,33271.806,928.03293,27588.0,0.0,43061.300667,541.81322,15556.292,0.0,3918.696667,12.086339,54.831376,1.796149,0.0,0.0,0.0,0.0,0.0,0.0
POSCO_KR,POSCO,CAND-6339E6B83A8408,P3,PORT-8826D0B469EE,ACCELERATED_15C,True,True,True,429.154227,100,51.28342,1.47736,51.28342,1.47736,14.242383,2.248122,22008.496333,634.015538,28120.676,896.997251,27588.0,0.0,44737.958,634.015008,22729.461,0.0,5470.068667,11.827658,31.345729,0.784301,0.0,0.0,0.0,0.0,0.0,0.0
POSCO_KR,POSCO,CAND-82FF2AA13BA34C,P2,PORT-8826D0B469EE,DISCLOSED_PATH,True,True,True,429.154227,100,66.285789,1.638885,66.285789,1.638885,16.752115,2.818977,28446.826667,703.334491,35636.067333,1153.384384,27588.0,0.0,44003.118,703.334033,15556.292,0.0,3054.602,18.25775,57.025965,2.172567,0.0,0.0,0.0,0.0,0.0,0.0
POSCO_KR,POSCO,CAND-82FF2AA13BA34C,P2,PORT-8826D0B469EE,ACCELERATED_15C,True,True,True,429.154227,100,54.338224,1.905498,54.338224,1.905498,17.976236,2.80571,23319.478333,817.752827,31034.056667,1163.894798,27588.0,0.0,46048.939333,817.752827,22729.461,0.0,4219.588667,24.084464,34.400533,1.212681,0.0,0.0,0.0,0.0,0.0,0.0
POSCO_KR,POSCO,CAND-C9724A8933A429,P1,PORT-8826D0B469EE,DISCLOSED_PATH,True,True,True,429.154227,100,67.824232,1.88301,67.824232,1.88301,19.321004,3.291272,29107.055667,808.101664,37398.746,1339.894061,27588.0,0.0,44663.347333,808.10173,15556.292,0.0,2454.903,51.836444,58.564408,2.416638,0.0,0.0,0.0,0.0,0.0,0.0
POSCO_KR,POSCO,CAND-C9724A8933A429,P1,PORT-8826D0B469EE,ACCELERATED_15C,True,True,True,429.154227,100,56.430426,2.242108,56.430426,2.242108,20.953059,3.330083,24217.355667,962.210265,33209.45,1395.834168,27588.0,0.0,46946.817,962.2102,22729.461,0.0,3328.508,68.779272,36.492735,1.548922,0.0,0.0,0.0,0.0,0.0,0.0
POSCO_KR,POSCO,CAND-921D50D4015721,P3,PORT-96133A6427FE,DISCLOSED_PATH,True,True,True,430.20423,100,68.029299,0.603578,68.029299,0.603578,14.104341,1.08544,29266.492333,259.66206,35334.239333,664.025998,26602.0,0.0,44864.429333,259.66206,15597.937,0.0,3957.769,47.708499,58.769476,0.883576,0.0,0.0,0.0,0.0,0.0,0.0
POSCO_KR,POSCO,CAND-921D50D4015721,P3,PORT-96133A6427FE,ACCELERATED_15C,True,True,True,430.20423,100,55.382515,0.708956,55.382515,0.708956,14.872273,0.855763,23825.792333,304.996006,30223.907,601.856957,26602.0,0.0,46609.253333,304.996006,22783.461,0.0,5534.804,56.717643,35.444824,0.887063,0.0,0.0,0.0,0.0,0.0,0.0
POSCO_KR,POSCO,CAND-4EF614D30D6D91,P2,PORT-96133A6427FE,DISCLOSED_PATH,True,True,True,430.20423,100,70.433802,0.746698,70.433802,0.746698,17.561327,1.385973,30300.919667,321.232521,37855.876667,840.256895,26602.0,0.0,45898.856667,321.232521,15597.937,0.0,3030.161,56.770235,61.173979,1.008223,0.0,0.0,0.0,0.0,0.0,0.0
POSCO_KR,POSCO,CAND-4EF614D30D6D91,P2,PORT-96133A6427FE,ACCELERATED_15C,True,True,True,430.20423,100,58.798712,0.865522,58.798712,0.865522,18.918366,1.039707,25295.454333,372.351502,33434.215333,735.98189,26602.0,0.0,48078.915667,372.350926,22783.461,0.0,4164.424333,78.315208,38.861021,1.00906,0.0,0.0,0.0,0.0,0.0,0.0
