company_id,company_name,country_code,reported_production_mt,reported_scope12_emissions_mtco2,scenario_id,portfolio_origin_scenario_id,portfolio_id,scenario_feasible,first_budget_breach_year,max_annual_budget_excess_mtco2,minimum_annual_budget_margin_mtco2,plan_id,plan_name,is_disclosed_plan,aligned_capex_bn_krw,peak_capex_year,peak_capex_bn_krw,expected_cost_p50_kkrw_per_tco2,expected_cost_p50_bn_krw,absolute_npv_p50_bn_krw,absolute_npv_p90_bn_krw,scenario_avoided_emissions_mtco2,common_avoided_emissions_mtco2,net_economic_cost_p50_kkrw_per_tco2_common_denominator,net_cash_cost_after_support_p50_kkrw_per_tco2_common_denominator,cash_cost_before_support_p50_bn_krw,net_cash_cost_after_support_p50_bn_krw,net_cash_cost_after_support_p90_bn_krw,avoided_carbon_cost_value_p50_bn_krw,policy_support_value_p50_bn_krw,cash_policy_p50_nonadditivity_bn_krw,economic_cost_p50_identity_delta_bn_krw,p90_cost_kkrw_per_tco2,tcar_kkrw_per_tco2,gross_cost_p50_kkrw_per_tco2,policy_support_dependence_kkrw_per_tco2,electricity_variance_share,hydrogen_variance_share,capex_variance_share,policy_uncertainty_exposure_kkrw_per_tco2,flexibility_value_kkrw_per_tco2,avoided_emissions_mtco2,p90_net_cost_bn_krw,p90_cost_to_ebitda_x,p90_cost_to_annual_capex_x,capex_cost_p50_bn_krw,fixed_opex_cost_p50_bn_krw,electricity_cost_p50_bn_krw,hydrogen_cost_p50_bn_krw,contract_premium_p50_bn_krw,carbon_value_p50_bn_krw,policy_support_p50_bn_krw,component_reconciliation_p50_bn_krw
POSCO_KR,POSCO,KR,34.537,69.84605,DISCLOSED_PATH,DISCLOSED_PATH,PORT-DE64C6FAC717,True,,0.0,2.0275124185786808e-05,P1,지연·현물조달,False,15748.0,2035,5768.0,12.007338,2214.409,2214.409,3656.043,184.421263,184.421263,12.007338,48.129584,9494.483,8876.119,10317.753,6661.71,641.432,23.068,-0.0,19.82441,7.817072,15.360336,3.352997,0.534497,0.0,0.465503,15.240755,0.0,184.421263,3656.043,0.864313,1.546603,4518.879,715.17,4198.295,0.0,0.0,-6661.71,-556.022,-0.204
POSCO_KR,POSCO,KR,34.537,69.84605,DISCLOSED_PATH,DISCLOSED_PATH,PORT-39601EAF8865,True,,0.0,2.0275124185786808e-05,P2,지연·부분헤지,False,19250.0,2037,9270.0,61.195072,11867.209,11867.209,14269.553,193.924259,193.924259,61.195072,97.306086,20154.224,18870.011,21272.355,7002.802,1398.605,114.391,-0.0,73.583127,12.388055,67.817315,6.622243,0.81201,0.006302,0.181688,13.414156,48.66187,193.924259,14269.553,3.373417,6.036399,5791.217,844.557,3663.818,9805.746,27.223,-7002.802,-1262.298,-0.252
POSCO_KR,POSCO,KR,34.537,69.84605,DISCLOSED_PATH,DISCLOSED_PATH,PORT-AD0B41B0F73F,True,,0.0,2.0275124185786808e-05,P3,균형형 라이트헤지,False,22752.0,2035,9270.0,123.084406,25623.005,25623.005,29210.642,208.174258,208.174258,123.084406,159.201074,36381.813,33141.565,36729.202,7518.561,3266.021,25.774,0.0,140.318223,17.233817,138.649479,15.565073,0.908401,0.010658,0.080941,10.659211,110.500831,208.174258,29210.642,6.905589,12.356876,8865.147,1049.735,3238.854,23129.602,144.045,-7518.561,-3255.763,-30.056
POSCO_KR,POSCO,KR,34.537,69.84605,DISCLOSED_PATH,DISCLOSED_PATH,PORT-DDCBA267CA97,True,,0.0,2.0275124185786808e-05,P4,균형형 전환,False,22752.0,2034,9270.0,118.562707,29254.908,29254.908,32439.889,246.746291,246.746291,118.562707,154.777744,43022.224,38190.834,41375.815,8935.926,4780.083,-51.307,0.0,131.470624,12.907917,138.143101,19.580394,0.9317,0.010329,0.057971,12.83034,106.724012,246.746291,32439.889,7.669004,13.722933,9875.237,1264.538,3783.856,27736.726,378.938,-8935.926,-4839.748,-8.713
POSCO_KR,POSCO,KR,34.537,69.84605,DISCLOSED_PATH,DISCLOSED_PATH,PORT-C07B5FF15869,True,,0.0,2.0275124185786808e-05,P5,조기 계약형 전환,False,27562.0,2034,9270.0,124.1272,44977.032,44977.032,48160.797,362.346302,362.346302,124.1272,160.41519,68000.228,58125.851,61309.616,13148.819,9874.377,0.0,0.0,132.913727,8.786526,151.378415,27.251214,0.940878,0.010644,0.048478,15.492407,112.588568,362.346302,48160.797,11.385531,20.373294,12696.43,1735.149,6078.201,46462.353,1058.081,-13148.819,-9876.765,-27.599
POSCO_KR,POSCO,KR,34.537,69.84605,DISCLOSED_PATH,DISCLOSED_PATH,PORT-73B2FF1A66A0,True,,0.0,2.0275124185786808e-05,P6,조기 고헤지,False,32892.0,2033,9270.0,128.847412,74615.885,74615.885,76857.379,579.10271,579.10271,128.847412,165.1433,117088.803,95634.932,97876.426,21019.047,21453.871,0.0,0.0,132.718045,3.870633,165.894157,37.046745,0.954268,0.012128,0.033604,19.666142,118.037159,579.10271,76857.379,18.169593,32.51271,17694.566,2750.76,10567.878,82829.624,3314.697,-21019.047,-21469.998,-52.594
POSCO_KR,POSCO,KR,34.537,69.84605,DISCLOSED_PATH,DISCLOSED_PATH,PORT-47C5D429DB2E,True,,0.0,2.0275124185786808e-05,P7,완전 수소·계약형,False,32892.0,2032,9270.0,127.528464,80075.016,80075.016,80819.55,627.899166,627.899166,127.528464,163.840053,129041.541,102875.033,103619.566,22800.016,26166.508,0.0,-0.0,128.714217,1.185753,169.20157,41.673105,0.933185,0.014784,0.052031,21.815414,115.965216,627.899166,80819.55,19.106276,34.188813,18413.828,3034.098,11581.163,90840.132,5186.363,-22800.016,-26172.316,-8.236
POSCO_KR,POSCO,KR,34.537,69.84605,DISCLOSED_PATH,DISCLOSED_PATH,PORT-69189DCC5A53,True,,0.0,2.0275124185786808e-05,CURRENT,POSCO 공시전략 프록시,True,22752.0,2033,9270.0,127.584561,36402.213,36402.213,43596.599,285.318325,285.318325,127.584561,163.873725,49860.867,46756.177,53950.562,10353.963,3265.265,160.575,0.0,152.799855,25.215294,138.466058,10.881497,0.959263,0.010827,0.02991,9.228798,114.490732,285.318325,43596.599,10.306525,18.442517,12013.675,1491.155,4387.87,32444.282,122.961,-10353.963,-3704.644,0.878
POSCO_KR,POSCO,KR,34.537,69.84605,ACCELERATED_15C,DISCLOSED_PATH,PORT-DE64C6FAC717,False,2030,16.324744844999994,-16.324744844999994,P1,지연·현물조달,False,15748.0,2035,5768.0,-3.233417,-596.311,-596.311,734.621,184.421263,184.421263,-3.233417,49.976876,10020.605,9216.799,10547.731,9813.109,856.355,52.549,-0.0,3.983388,7.216805,1.125117,4.358534,0.621636,0.0,0.378364,15.240755,0.0,184.421263,734.621,0.173669,0.310764,5171.6,715.17,4237.87,0.0,0.0,-9813.109,-908.597,0.756
POSCO_KR,POSCO,KR,34.537,69.84605,ACCELERATED_15C,DISCLOSED_PATH,PORT-39601EAF8865,False,2030,13.94899577,-13.94899577,P2,지연·부분헤지,False,19250.0,2037,9270.0,47.780916,9265.879,9265.879,12040.101,193.924259,193.924259,47.780916,100.986839,21539.411,19583.798,22358.02,10317.919,1934.705,-20.908,0.0,62.086615,14.305699,57.865335,10.084419,0.866951,0.004157,0.128892,13.414156,0.0,193.924259,12040.101,2.84636,5.093282,7555.767,844.557,3653.264,9647.168,28.772,-10317.919,-2145.805,0.075
