scenario_id,required_output_id,official_query_title,target_region,raw_unit,transformation_status,transformation_note,output_file,output_sha256,extraction_status,data_status,source_url,source_note
GCAM_15C,global_mean_temperature,global mean temperature,World,query_export_metadata_required,direct_pending,Verify target achievement and temperature baseline from exported metadata,,,pending,query_spec_verified_output_pending,https://github.com/JGCRI/gcam-core/blob/gcam-v9.1/output/queries/Main_queries.xml,Official Main_queries.xml title verified
GCAM_15C,total_climate_forcing,total climate forcing,World,W/m2,direct_pending,Retain forcing alongside temperature for target audit,,,pending,query_spec_verified_output_pending,https://github.com/JGCRI/gcam-core/blob/gcam-v9.1/output/queries/Main_queries.xml,Official Main_queries.xml title verified
GCAM_15C,co2_price,CO2 prices,Korea;Japan,query_export_metadata_required,conversion_pending,Convert exported GCAM currency and carbon basis to KRW/tCO2 with explicit FX and deflator,,,pending,query_spec_verified_output_pending,https://github.com/JGCRI/gcam-core/blob/gcam-v9.1/output/queries/Main_queries.xml,Official Main_queries.xml title verified
GCAM_15C,iron_steel_production_by_tech,iron and steel production by tech,Korea;Japan,query_export_metadata_required,aggregation_pending,Retain GCAM technology detail and aggregate only with a documented mapping,,,pending,query_spec_verified_output_pending,https://github.com/JGCRI/gcam-core/blob/gcam-v9.1/output/queries/Main_queries.xml,Official Main_queries.xml title verified
GCAM_15C,iron_steel_inputs_by_tech,iron and steel inputs by tech (energy and feedstocks),Korea;Japan,query_export_metadata_required,aggregation_pending,Use electricity hydrogen and feedstock inputs for resource constraints after unit audit,,,pending,query_spec_verified_output_pending,https://github.com/JGCRI/gcam-core/blob/gcam-v9.1/output/queries/Main_queries.xml,Official Main_queries.xml title verified
GCAM_15C,iron_steel_co2_emissions,CO2 emissions by sector (excluding resource production),Korea;Japan,query_export_metadata_required,filter_pending,Filter iron and steel sector and preserve regional boundary,,,pending,query_spec_verified_output_pending,https://github.com/JGCRI/gcam-core/blob/gcam-v9.1/output/queries/Main_queries.xml,Official Main_queries.xml title verified
GCAM_15C,electricity_price,elec prices by sector,Korea;Japan,query_export_metadata_required,conversion_pending,Convert regional price to KRW/kWh with explicit currency year and energy unit,,,pending,query_spec_verified_output_pending,https://github.com/JGCRI/gcam-core/blob/gcam-v9.1/output/queries/Main_queries.xml,Official Main_queries.xml title verified
GCAM_15C,hydrogen_price,hydrogen prices by sector,Korea;Japan,query_export_metadata_required,conversion_pending,Convert relevant industrial hydrogen sector price to KRW/kg,,,pending,query_spec_verified_output_pending,https://github.com/JGCRI/gcam-core/blob/gcam-v9.1/output/queries/Main_queries.xml,Official Main_queries.xml title verified
GCAM_15C,company_carbon_budget,CO2 emissions by sector (excluding resource production),Korea;Japan,query_export_metadata_required,model_disaggregation_pending,Allocate regional iron and steel emissions to companies using disclosed base-year production/emissions shares; never label as raw GCAM,,,pending,query_spec_verified_output_pending,https://jgcri.github.io/gcam-doc/user-guide.html,Company values require a transparent model transformation
GCAM_15C,electrolyzer_capex_index,not a direct GCAM query,Korea;Japan,dimensionless,separate_assumption_pending,Use a separately sourced technology-cost index or hold at common assumption; do not infer from GCAM price output,,,pending,external_input_required,https://jgcri.github.io/gcam-doc/overview.html,Scenario anchor field is not a direct standard GCAM output
GCAM_2C,global_mean_temperature,global mean temperature,World,query_export_metadata_required,direct_pending,Verify target achievement and temperature baseline from exported metadata,,,pending,query_spec_verified_output_pending,https://github.com/JGCRI/gcam-core/blob/gcam-v9.1/output/queries/Main_queries.xml,Official Main_queries.xml title verified
GCAM_2C,total_climate_forcing,total climate forcing,World,W/m2,direct_pending,Retain forcing alongside temperature for target audit,,,pending,query_spec_verified_output_pending,https://github.com/JGCRI/gcam-core/blob/gcam-v9.1/output/queries/Main_queries.xml,Official Main_queries.xml title verified
GCAM_2C,co2_price,CO2 prices,Korea;Japan,query_export_metadata_required,conversion_pending,Convert exported GCAM currency and carbon basis to KRW/tCO2 with explicit FX and deflator,,,pending,query_spec_verified_output_pending,https://github.com/JGCRI/gcam-core/blob/gcam-v9.1/output/queries/Main_queries.xml,Official Main_queries.xml title verified
GCAM_2C,iron_steel_production_by_tech,iron and steel production by tech,Korea;Japan,query_export_metadata_required,aggregation_pending,Retain GCAM technology detail and aggregate only with a documented mapping,,,pending,query_spec_verified_output_pending,https://github.com/JGCRI/gcam-core/blob/gcam-v9.1/output/queries/Main_queries.xml,Official Main_queries.xml title verified
GCAM_2C,iron_steel_inputs_by_tech,iron and steel inputs by tech (energy and feedstocks),Korea;Japan,query_export_metadata_required,aggregation_pending,Use electricity hydrogen and feedstock inputs for resource constraints after unit audit,,,pending,query_spec_verified_output_pending,https://github.com/JGCRI/gcam-core/blob/gcam-v9.1/output/queries/Main_queries.xml,Official Main_queries.xml title verified
GCAM_2C,iron_steel_co2_emissions,CO2 emissions by sector (excluding resource production),Korea;Japan,query_export_metadata_required,filter_pending,Filter iron and steel sector and preserve regional boundary,,,pending,query_spec_verified_output_pending,https://github.com/JGCRI/gcam-core/blob/gcam-v9.1/output/queries/Main_queries.xml,Official Main_queries.xml title verified
GCAM_2C,electricity_price,elec prices by sector,Korea;Japan,query_export_metadata_required,conversion_pending,Convert regional price to KRW/kWh with explicit currency year and energy unit,,,pending,query_spec_verified_output_pending,https://github.com/JGCRI/gcam-core/blob/gcam-v9.1/output/queries/Main_queries.xml,Official Main_queries.xml title verified
GCAM_2C,hydrogen_price,hydrogen prices by sector,Korea;Japan,query_export_metadata_required,conversion_pending,Convert relevant industrial hydrogen sector price to KRW/kg,,,pending,query_spec_verified_output_pending,https://github.com/JGCRI/gcam-core/blob/gcam-v9.1/output/queries/Main_queries.xml,Official Main_queries.xml title verified
GCAM_2C,company_carbon_budget,CO2 emissions by sector (excluding resource production),Korea;Japan,query_export_metadata_required,model_disaggregation_pending,Allocate regional iron and steel emissions to companies using disclosed base-year production/emissions shares; never label as raw GCAM,,,pending,query_spec_verified_output_pending,https://jgcri.github.io/gcam-doc/user-guide.html,Company values require a transparent model transformation
GCAM_2C,electrolyzer_capex_index,not a direct GCAM query,Korea;Japan,dimensionless,separate_assumption_pending,Use a separately sourced technology-cost index or hold at common assumption; do not infer from GCAM price output,,,pending,external_input_required,https://jgcri.github.io/gcam-doc/overview.html,Scenario anchor field is not a direct standard GCAM output
