candidate_id,company_id,company_name,template_plan_id,template_plan_name,physical_portfolio_id,origin_scenario_id,facility_action_count,earliest_transition_year,latest_transition_year,bf_reline_capacity_share,scrap_eaf_capacity_share,h2_dri_eaf_capacity_share,renewable_eaf_capacity_share,ppa_share,hydrogen_contract_share,fixed_epc_share,ccfd_share,contract_premium_pct,common_avoided_emissions_mtco2,action_signature,data_status,source_note
CAND-00B5592B22DA24,POSCO_KR,POSCO,P4,균형형 전환,PORT-66E75B54664A,DISCLOSED_PATH,5,2028,2036,0.0,0.219251,0.748663,0.032086,0.5,0.45,0.5,0.4,0.02,505.60626,POS-GWY-E:H2_DRI_EAF:2036|POS-GWY-EAF:EAF_RENEWABLE:2032|POS-GWY-W:H2_DRI_EAF:2034|POS-POH-N:SCRAP_EAF:2028|POS-POH-S:H2_DRI_EAF:2031,model_generated_candidate,"Generated from disclosed-path facility calendar, technology set and template contracting assumptions; not a company-announced project"
CAND-014834EFF571CA,POSCO_KR,POSCO,P2,지연·부분헤지,PORT-26982033AA0F,DISCLOSED_PATH,5,2029,2037,0.770053,0.0,0.197861,0.032086,0.15,0.1,0.2,0.1,0.01,150.693902,POS-GWY-E:BF_RELINE:2037|POS-GWY-EAF:EAF_RENEWABLE:2033|POS-GWY-W:BF_RELINE:2035|POS-POH-N:BF_RELINE:2029|POS-POH-S:H2_DRI_EAF:2032,model_generated_candidate,"Generated from disclosed-path facility calendar, technology set and template contracting assumptions; not a company-announced project"
CAND-022C4C9D65C291,POSCO_KR,POSCO,P2,지연·부분헤지,PORT-3D4DF75A91D4,DISCLOSED_PATH,5,2029,2037,0.494652,0.0,0.473262,0.032086,0.15,0.1,0.2,0.1,0.01,247.593892,POS-GWY-E:BF_RELINE:2037|POS-GWY-EAF:EAF_RENEWABLE:2033|POS-GWY-W:H2_DRI_EAF:2035|POS-POH-N:BF_RELINE:2029|POS-POH-S:H2_DRI_EAF:2032,model_generated_candidate,"Generated from disclosed-path facility calendar, technology set and template contracting assumptions; not a company-announced project"
CAND-03F5DDC22322D9,POSCO_KR,POSCO,P1,지연·현물조달,PORT-2E4122B1D61A,DISCLOSED_PATH,5,2029,2037,0.550802,0.0,0.417112,0.032086,0.0,0.0,0.1,0.0,0.0,305.733857,POS-GWY-E:BF_RELINE:2037|POS-GWY-EAF:EAF_RENEWABLE:2033|POS-GWY-W:BF_RELINE:2035|POS-POH-N:H2_DRI_EAF:2029|POS-POH-S:H2_DRI_EAF:2032,model_generated_candidate,"Generated from disclosed-path facility calendar, technology set and template contracting assumptions; not a company-announced project"
CAND-0792E2DF105A73,POSCO_KR,POSCO,P5,조기 계약형 전환,PORT-C07B5FF15869,DISCLOSED_PATH,5,2028,2036,0.219251,0.0,0.748663,0.032086,0.7,0.65,0.65,0.6,0.025,362.346302,POS-GWY-E:H2_DRI_EAF:2036|POS-GWY-EAF:EAF_RENEWABLE:2032|POS-GWY-W:H2_DRI_EAF:2034|POS-POH-N:BF_RELINE:2028|POS-POH-S:H2_DRI_EAF:2031,model_generated_candidate,"Generated from disclosed-path facility calendar, technology set and template contracting assumptions; not a company-announced project"
CAND-0A4190A420448F,POSCO_KR,POSCO,P1,지연·현물조달,PORT-92AEBEABC7A8,DISCLOSED_PATH,5,2029,2037,0.494652,0.197861,0.275401,0.032086,0.0,0.0,0.1,0.0,0.0,232.293891,POS-GWY-E:BF_RELINE:2037|POS-GWY-EAF:EAF_RENEWABLE:2033|POS-GWY-W:H2_DRI_EAF:2035|POS-POH-N:BF_RELINE:2029|POS-POH-S:SCRAP_EAF:2032,model_generated_candidate,"Generated from disclosed-path facility calendar, technology set and template contracting assumptions; not a company-announced project"
CAND-0B0DF7CC24CCF4,POSCO_KR,POSCO,P3,균형형 라이트헤지,PORT-7DC46150E6EE,DISCLOSED_PATH,5,2029,2037,0.275401,0.275401,0.417112,0.032086,0.3,0.25,0.35,0.25,0.015,388.383849,POS-GWY-E:BF_RELINE:2037|POS-GWY-EAF:EAF_RENEWABLE:2033|POS-GWY-W:SCRAP_EAF:2035|POS-POH-N:H2_DRI_EAF:2029|POS-POH-S:H2_DRI_EAF:2032,model_generated_candidate,"Generated from disclosed-path facility calendar, technology set and template contracting assumptions; not a company-announced project"
CAND-0BE357EA5504BE,POSCO_KR,POSCO,P2,지연·부분헤지,PORT-4FCB78A64B21,DISCLOSED_PATH,5,2029,2037,0.219251,0.473262,0.275401,0.032086,0.15,0.1,0.2,0.1,0.01,282.664267,POS-GWY-E:H2_DRI_EAF:2037|POS-GWY-EAF:EAF_RENEWABLE:2033|POS-GWY-W:SCRAP_EAF:2035|POS-POH-N:BF_RELINE:2029|POS-POH-S:SCRAP_EAF:2032,model_generated_candidate,"Generated from disclosed-path facility calendar, technology set and template contracting assumptions; not a company-announced project"
CAND-0CC63FAC54D3C0,POSCO_KR,POSCO,P2,지연·부분헤지,PORT-A620DB8F058C,DISCLOSED_PATH,5,2029,2037,0.0,0.494652,0.473262,0.032086,0.15,0.1,0.2,0.1,0.01,434.951232,POS-GWY-E:SCRAP_EAF:2037|POS-GWY-EAF:EAF_RENEWABLE:2033|POS-GWY-W:H2_DRI_EAF:2035|POS-POH-N:SCRAP_EAF:2029|POS-POH-S:H2_DRI_EAF:2032,model_generated_candidate,"Generated from disclosed-path facility calendar, technology set and template contracting assumptions; not a company-announced project"
CAND-0CC93D992FF190,POSCO_KR,POSCO,P3,균형형 라이트헤지,PORT-531039DEA968,DISCLOSED_PATH,5,2029,2037,0.219251,0.275401,0.473262,0.032086,0.3,0.25,0.35,0.25,0.015,297.964268,POS-GWY-E:H2_DRI_EAF:2037|POS-GWY-EAF:EAF_RENEWABLE:2033|POS-GWY-W:SCRAP_EAF:2035|POS-POH-N:BF_RELINE:2029|POS-POH-S:H2_DRI_EAF:2032,model_generated_candidate,"Generated from disclosed-path facility calendar, technology set and template contracting assumptions; not a company-announced project"
