company_id,company_name,plan_id,plan_name,portfolio_id,portfolio_origin_scenario_id,from_scenario_id,to_scenario_id,from_scenario_feasible,to_scenario_feasible,same_physical_portfolio,common_avoided_emissions_mtco2,delta_p50_common_kkrw_per_tco2,delta_tcar_kkrw_per_tco2,delta_absolute_npv_p50_bn_krw,delta_absolute_npv_p90_bn_krw,delta_aligned_capex_bn_krw,delta_net_cash_cost_p50_bn_krw,delta_avoided_carbon_value_p50_bn_krw,delta_policy_support_value_p50_bn_krw
POSCO_KR,POSCO,P1,지연·현물조달,PORT-DE64C6FAC717,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,True,False,True,184.421263,-15.546573,0.479615,-2867.119,-2778.667,0.0,284.28,3151.399,211.148
POSCO_KR,POSCO,P2,지연·부분헤지,PORT-39601EAF8865,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,True,False,True,193.924259,-12.588458,1.054518,-2441.207,-2236.711,0.0,873.91,3315.117,522.649
POSCO_KR,POSCO,P3,균형형 라이트헤지,PORT-AD0B41B0F73F,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,True,False,True,208.174258,-10.882928,1.298486,-2265.545,-1995.234,0.0,1294.829,3560.374,1301.977
POSCO_KR,POSCO,P4,균형형 전환,PORT-DDCBA267CA97,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,True,False,True,246.746291,-12.693015,0.870169,-3131.954,-2917.244,0.0,1070.468,4202.422,1999.166
POSCO_KR,POSCO,P5,조기 계약형 전환,PORT-C07B5FF15869,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,True,False,True,362.346302,-15.53202,-0.227638,-5627.97,-5710.453,0.0,495.985,6123.955,4287.229
POSCO_KR,POSCO,P6,조기 고헤지,PORT-73B2FF1A66A0,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,False,True,True,579.10271,-19.648581,-0.299347,-11378.546,-11551.899,0.0,-1860.395,9518.151,9593.494
POSCO_KR,POSCO,P7,완전 수소·계약형,PORT-47C5D429DB2E,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,False,False,True,627.899166,-21.801626,-0.131448,-13689.224,-13771.759,0.0,-3436.364,10252.86,11816.779
POSCO_KR,POSCO,CURRENT,POSCO 공시전략 프록시,PORT-69189DCC5A53,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,True,False,True,285.318325,-9.427901,2.40706,-2689.953,-2003.174,0.0,2138.84,4828.793,1315.381
NIPPON_STEEL_JP,Nippon Steel,P1,지연·현물조달,PORT-7DCD4991144C,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,True,False,True,313.643967,-13.784568,0.718244,-4323.446,-4098.174,0.0,849.704,5173.151,338.781
NIPPON_STEEL_JP,Nippon Steel,P2,지연·부분헤지,PORT-92BAA222AC4A,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,True,False,True,365.968973,-11.146474,1.448441,-4079.264,-3549.179,0.0,1995.283,6074.547,886.649
NIPPON_STEEL_JP,Nippon Steel,P3,균형형 라이트헤지,PORT-92BAA222AC4A,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,True,False,True,365.968973,-12.069875,1.12604,-4417.2,-4005.103,0.0,1657.348,6074.547,1226.854
NIPPON_STEEL_JP,Nippon Steel,P4,균형형 전환,PORT-DF77606A395F,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,False,False,True,431.518975,-12.115199,0.493713,-5227.938,-5014.891,0.0,1855.276,7083.215,3380.768
NIPPON_STEEL_JP,Nippon Steel,P5,조기 계약형 전환,PORT-C942BD99A66C,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,False,True,True,536.918941,-15.836658,-0.134384,-8503.002,-8575.155,0.0,332.199,8835.201,7187.354
NIPPON_STEEL_JP,Nippon Steel,P6,조기 고헤지,PORT-7C945F726D00,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,False,True,True,498.719413,-25.352273,-0.467304,-12643.671,-12876.725,0.0,-4485.199,8158.472,13765.386
NIPPON_STEEL_JP,Nippon Steel,P7,완전 수소·계약형,PORT-2ECB61BA4654,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,False,False,True,663.14981,-29.634039,-0.151478,-19651.808,-19752.261,0.0,-8867.984,10783.823,21589.939
NIPPON_STEEL_JP,Nippon Steel,CURRENT,Nippon Steel 공시전략 프록시,PORT-FFBF1A00D2CE,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,False,False,True,333.598962,-11.233823,1.344264,-3747.592,-3299.146,0.0,1670.137,5417.729,1325.788
JFE_STEEL_JP,JFE Steel,P1,지연·현물조달,PORT-9D97003767D5,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,False,False,True,263.895884,-13.606106,1.008234,-3590.596,-3324.527,0.0,765.026,4355.621,250.302
JFE_STEEL_JP,JFE Steel,P2,지연·부분헤지,PORT-25A7E18292F6,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,False,False,True,310.220867,-11.679374,1.107595,-3623.185,-3279.587,0.0,1530.542,5153.728,560.649
JFE_STEEL_JP,JFE Steel,P3,균형형 라이트헤지,PORT-CCD4397FA6D4,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,True,False,True,281.895878,-10.364877,1.042565,-2921.816,-2627.921,0.0,1739.961,4661.776,1464.77
JFE_STEEL_JP,JFE Steel,P4,균형형 전환,PORT-2883A9539B06,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,False,True,True,367.500849,-12.05641,0.525625,-4430.741,-4237.573,0.0,1598.179,6028.919,3240.351
JFE_STEEL_JP,JFE Steel,P5,조기 계약형 전환,PORT-2883A9539B06,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,False,True,True,367.500849,-15.534998,-0.042411,-5709.124,-5724.711,0.0,319.795,6028.919,4564.347
JFE_STEEL_JP,JFE Steel,P6,조기 고헤지,PORT-576B945395C2,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,False,False,True,417.556839,-25.845714,-0.519629,-10792.054,-11009.03,0.0,-3987.049,6805.006,11895.089
JFE_STEEL_JP,JFE Steel,P7,완전 수소·계약형,PORT-B91429E42CEB,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,False,False,True,445.512827,-29.783812,-0.205266,-13269.071,-13360.52,0.0,-6054.464,7214.607,14493.0
JFE_STEEL_JP,JFE Steel,CURRENT,JFE Steel 공시전략 프록시,PORT-D228BC8B7EB8,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,False,False,True,384.280845,-12.159317,0.638047,-4672.593,-4427.404,0.0,1510.954,6183.546,1127.44
KOBE_STEEL_JP,Kobe Steel,P1,지연·현물조달,PORT-3DA05887C62D,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,False,False,True,93.541093,-13.889451,0.684743,-1299.235,-1235.183,0.0,227.563,1526.797,83.818
KOBE_STEEL_JP,Kobe Steel,P2,지연·부분헤지,PORT-8384667F6B8E,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,True,False,True,96.451092,-11.347662,1.353105,-1094.495,-963.986,0.0,482.437,1576.93,191.707
KOBE_STEEL_JP,Kobe Steel,P3,균형형 라이트헤지,PORT-8384667F6B8E,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,True,False,True,96.451092,-12.075223,0.922925,-1164.669,-1075.651,0.0,412.263,1576.93,269.369
