facility_id,year,production,emissions_s1,emissions_s2,energy_coal,energy_gas,energy_elec,energy_naphtha,source_id
POSCO_POH_BF2,2020,4935690.776490616,9377812.475332169,148070.72329471845,64163980.094378,1974276.3105962463,394855.26211924927,,SAMPLE_SYNTH
POSCO_POH_BF2,2021,5123180.308868038,9734042.58684927,153695.40926604113,66601344.015284486,2049272.123547215,409854.424709443,,SAMPLE_SYNTH
POSCO_POH_BF2,2022,5039447.440578938,9574950.137099983,151183.42321736814,65512816.7275262,2015778.9762315755,403155.7952463151,,SAMPLE_SYNTH
POSCO_POH_BF2,2023,4660167.7539035175,8854318.732416682,139805.03261710552,60582180.800745726,1864067.101561407,372813.4203122814,,SAMPLE_SYNTH
POSCO_POH_BF2,2024,4711814.570303834,8952447.683577284,141354.437109115,61253589.41394984,1884725.8281215336,376945.1656243067,,SAMPLE_SYNTH
POSCO_POH_BF3,2020,4432384.960346965,8421531.424659234,132971.54881040895,57621004.48451055,1772953.984138786,354590.7968277572,,SAMPLE_SYNTH
POSCO_POH_BF3,2021,3913148.6521302136,7434982.4390474055,117394.4595639064,50870932.477692775,1565259.4608520856,313051.89217041706,,SAMPLE_SYNTH
POSCO_POH_BF3,2022,4401094.594192894,8362079.728966499,132032.83782578682,57214229.72450762,1760437.8376771577,352087.56753543153,,SAMPLE_SYNTH
POSCO_POH_BF3,2023,4386647.518393723,8334630.284948074,131599.4255518117,57026417.739118405,1754659.0073574893,350931.80147149786,,SAMPLE_SYNTH
POSCO_POH_BF3,2024,4189825.101800545,7960667.693421035,125694.75305401634,54467726.323407084,1675930.040720218,335186.0081440436,,SAMPLE_SYNTH
POSCO_GWY_BF1,2020,4891668.185175809,9294169.551834038,146750.04555527426,63591686.40728552,1956667.2740703237,391333.4548140647,,SAMPLE_SYNTH
POSCO_GWY_BF1,2021,4874074.312652053,9260741.194038901,146222.22937956158,63362966.06447669,1949629.7250608215,389925.94501216424,,SAMPLE_SYNTH
POSCO_GWY_BF1,2022,4857231.755172699,9228740.334828127,145716.95265518097,63144012.81724508,1942892.7020690795,388578.54041381594,,SAMPLE_SYNTH
POSCO_GWY_BF1,2023,4993229.558706092,9487136.161541574,149796.88676118274,64911984.26317919,1997291.8234824368,399458.3646964873,,SAMPLE_SYNTH
POSCO_GWY_BF1,2024,5035752.005154937,9567928.80979438,151072.5601546481,65464776.06701417,2014300.8020619748,402860.1604123949,,SAMPLE_SYNTH
POSCO_GWY_BF4,2020,4886359.675579325,9284083.383600717,146590.79026737975,63522675.78253123,1954543.8702317302,390908.774046346,,SAMPLE_SYNTH
POSCO_GWY_BF4,2021,5190899.695286296,9862709.421043962,155726.9908585889,67481696.03872186,2076359.8781145187,415271.97562290373,,SAMPLE_SYNTH
POSCO_GWY_BF4,2022,5051144.062338276,9597173.718442723,151534.32187014827,65664872.81039759,2020457.6249353103,404091.5249870621,,SAMPLE_SYNTH
POSCO_GWY_BF4,2023,4933681.489084961,9373994.829261426,148010.44467254882,64137859.35810449,1973472.5956339845,394694.51912679686,,SAMPLE_SYNTH
POSCO_GWY_BF4,2024,5186393.541752819,9854147.729330355,155591.80625258456,67423116.04278664,2074557.4167011278,414911.48334022553,,SAMPLE_SYNTH
NSC_KIM_BF3,2020,4214352.627699014,8007269.9926281255,126430.57883097041,54786584.16008718,1685741.0510796057,337148.2102159211,,SAMPLE_SYNTH
NSC_KIM_BF3,2021,4179972.309127295,7941947.38734186,125399.16927381884,54339640.01865483,1671988.923650918,334397.7847301836,,SAMPLE_SYNTH
NSC_KIM_BF3,2022,4462224.713066371,8478226.954826105,133866.74139199112,58008921.26986282,1784889.8852265486,356977.9770453097,,SAMPLE_SYNTH
NSC_KIM_BF3,2023,4107419.812967903,7804097.644639015,123222.59438903708,53396457.568582736,1642967.9251871612,328593.58503743226,,SAMPLE_SYNTH
NSC_KIM_BF3,2024,4102264.4939547237,7794302.538513974,123067.9348186417,53329438.42141141,1640905.7975818897,328181.1595163779,,SAMPLE_SYNTH
NSC_KIM_BF4,2020,4768064.842503446,9059323.200756548,143041.94527510338,61984842.9525448,1907225.9370013785,381445.1874002757,,SAMPLE_SYNTH
NSC_KIM_BF4,2021,4735155.273119896,8996795.018927801,142054.65819359687,61557018.55055864,1894062.1092479583,378812.42184959166,,SAMPLE_SYNTH
NSC_KIM_BF4,2022,5040005.414678368,9576010.287888898,151200.16244035104,65520070.39081878,2016002.1658713473,403200.43317426945,,SAMPLE_SYNTH
NSC_KIM_BF4,2023,4845356.948035923,9206178.201268254,145360.70844107767,62989640.324466996,1938142.7792143691,387628.5558428738,,SAMPLE_SYNTH
NSC_KIM_BF4,2024,4767543.529101271,9058332.705292415,143026.30587303813,61978065.87831652,1907017.4116405086,381403.4823281017,,SAMPLE_SYNTH
NSC_NGO_BF1,2020,4115670.9597052,7819774.823439879,123470.12879115599,53503722.476167604,1646268.3838820802,329253.676776416,,SAMPLE_SYNTH
NSC_NGO_BF1,2021,3969796.2293859883,7542612.835833377,119093.88688157964,51607350.982017845,1587918.4917543954,317583.6983508791,,SAMPLE_SYNTH
NSC_NGO_BF1,2022,3831899.504942366,7280609.059390495,114956.98514827098,49814693.56425076,1532759.8019769464,306551.9603953893,,SAMPLE_SYNTH
NSC_NGO_BF1,2023,3937555.254231407,7481354.9830396725,118126.65762694221,51188218.30500829,1575022.101692563,315004.4203385126,,SAMPLE_SYNTH
NSC_NGO_BF1,2024,4229838.790715876,8036693.702360164,126895.16372147627,54987904.27930639,1691935.5162863506,338387.10325727006,,SAMPLE_SYNTH
LOTTE_YEO_NCC,2020,1051294.6489419711,946165.1840477741,157694.19734129566,0.0,8410357.191535769,367953.12712968985,3364142.876614308,SAMPLE_SYNTH
LOTTE_YEO_NCC,2021,1077647.6644539442,969882.8980085498,161647.14966809162,0.0,8621181.315631554,377176.6825588804,3448472.526252622,SAMPLE_SYNTH
LOTTE_YEO_NCC,2022,1020582.5417601239,918524.2875841116,153087.3812640186,0.0,8164660.334080991,357203.88961604337,3265864.133632397,SAMPLE_SYNTH
LOTTE_YEO_NCC,2023,1149487.4458490724,1034538.7012641652,172423.11687736085,0.0,9195899.56679258,402320.6060471753,3678359.826717032,SAMPLE_SYNTH
LOTTE_YEO_NCC,2024,1044095.9286455846,939686.3357810262,156614.38929683767,0.0,8352767.429164677,365433.5750259546,3341106.971665871,SAMPLE_SYNTH
