company_id,year,revenue,ebitda,capex_total,total_debt,net_debt,interest_expense,cash,source_id
POSCO,2020,36524.413687043445,4325.259515570934,4613.610149942329,15000,8000,450,7000,SAMPLE_SYNTH
POSCO,2021,37254.901960784315,4411.764705882353,4705.882352941177,15000,8000,450,7000,SAMPLE_SYNTH
POSCO,2022,38000.0,4500.0,4800.0,15000,8000,450,7000,SAMPLE_SYNTH
POSCO,2023,38760.0,4590.0,4896.0,15000,8000,450,7000,SAMPLE_SYNTH
POSCO,2024,39535.2,4681.8,4993.92,15000,8000,450,7000,SAMPLE_SYNTH
NSC,2020,57670.12687427912,7208.76585928489,5286.428296808919,25000,15000,600,10000,SAMPLE_SYNTH
NSC,2021,58823.529411764706,7352.941176470588,5392.156862745098,25000,15000,600,10000,SAMPLE_SYNTH
NSC,2022,60000.0,7500.0,5500.0,25000,15000,600,10000,SAMPLE_SYNTH
NSC,2023,61200.0,7650.0,5610.0,25000,15000,600,10000,SAMPLE_SYNTH
NSC,2024,62424.0,7803.0,5722.2,25000,15000,600,10000,SAMPLE_SYNTH
LOTTE,2020,17301.038062283737,865.0519031141868,1730.1038062283735,9000,6000,320,3000,SAMPLE_SYNTH
LOTTE,2021,17647.058823529413,882.3529411764705,1764.705882352941,9000,6000,320,3000,SAMPLE_SYNTH
LOTTE,2022,18000.0,900.0,1800.0,9000,6000,320,3000,SAMPLE_SYNTH
LOTTE,2023,18360.0,918.0,1836.0,9000,6000,320,3000,SAMPLE_SYNTH
LOTTE,2024,18727.2,936.36,1872.72,9000,6000,320,3000,SAMPLE_SYNTH
MCI,2020,13456.362937331794,1537.8700499807765,1153.4025374855823,6000,4000,180,2000,SAMPLE_SYNTH
MCI,2021,13725.49019607843,1568.627450980392,1176.4705882352941,6000,4000,180,2000,SAMPLE_SYNTH
MCI,2022,14000.0,1600.0,1200.0,6000,4000,180,2000,SAMPLE_SYNTH
MCI,2023,14280.0,1632.0,1224.0,6000,4000,180,2000,SAMPLE_SYNTH
MCI,2024,14565.6,1664.6399999999999,1248.48,6000,4000,180,2000,SAMPLE_SYNTH
