scenario,region,sector,year,carbon_budget,gcam_version,source_id
NZ15,Korea,steel,2025,75.0,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
NZ15,Korea,steel,2030,44.488002816000005,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
NZ15,Korea,steel,2035,26.06330725341794,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
NZ15,Korea,steel,2040,15.03061371368577,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
NZ15,Korea,steel,2045,8.491199812325851,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
NZ15,Korea,steel,2050,4.663660755086065,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
NZ15,Korea,petchem,2025,25.0,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
NZ15,Korea,petchem,2030,14.829334272000002,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
NZ15,Korea,petchem,2035,8.687769084472647,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
NZ15,Korea,petchem,2040,5.0102045712285905,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
NZ15,Korea,petchem,2045,2.8303999374419506,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
NZ15,Korea,petchem,2050,1.5545535850286885,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
NZ15,Japan,steel,2025,90.0,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
NZ15,Japan,steel,2030,53.385603379200006,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
NZ15,Japan,steel,2035,31.275968704101526,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
NZ15,Japan,steel,2040,18.036736456422926,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
NZ15,Japan,steel,2045,10.189439774791023,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
NZ15,Japan,steel,2050,5.596392906103278,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
NZ15,Japan,petchem,2025,20.0,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
NZ15,Japan,petchem,2030,11.863467417600003,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
NZ15,Japan,petchem,2035,6.950215267578117,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
NZ15,Japan,petchem,2040,4.008163656982872,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
NZ15,Japan,petchem,2045,2.2643199499535607,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
NZ15,Japan,petchem,2050,1.2436428680229508,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
B20,Korea,steel,2025,75.0,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
B20,Korea,steel,2030,58.095304703999986,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
B20,Korea,steel,2035,44.876202929426306,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
B20,Korea,steel,2040,34.55800671613294,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
B20,Korea,steel,2045,26.520146032764444,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
B20,Korea,steel,2050,20.272315323263513,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
B20,Korea,petchem,2025,25.0,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
B20,Korea,petchem,2030,19.365101567999996,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
B20,Korea,petchem,2035,14.958734309808769,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
B20,Korea,petchem,2040,11.519335572044312,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
B20,Korea,petchem,2045,8.840048677588149,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
B20,Korea,petchem,2050,6.757438441087837,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
B20,Japan,steel,2025,90.0,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
B20,Japan,steel,2030,69.71436564479998,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
B20,Japan,steel,2035,53.851443515311566,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
B20,Japan,steel,2040,41.46960805935952,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
B20,Japan,steel,2045,31.824175239317334,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
B20,Japan,steel,2050,24.326778387916214,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
B20,Japan,petchem,2025,20.0,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
B20,Japan,petchem,2030,15.492081254399997,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
B20,Japan,petchem,2035,11.966987447847014,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
B20,Japan,petchem,2040,9.215468457635449,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
B20,Japan,petchem,2045,7.0720389420705185,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
B20,Japan,petchem,2050,5.40595075287027,GCAM 6.0 NGFS P5,SAMPLE_SYNTH
