date,series_id,value,unit,source_id
2015-01,smp_krw_mwh,89.075,KRW/kWh,SAMPLE_SYNTH
2015-02,smp_krw_mwh,92.894,KRW/kWh,SAMPLE_SYNTH
2015-03,smp_krw_mwh,92.616,KRW/kWh,SAMPLE_SYNTH
2015-04,smp_krw_mwh,96.496,KRW/kWh,SAMPLE_SYNTH
2015-05,smp_krw_mwh,105.3,KRW/kWh,SAMPLE_SYNTH
2015-06,smp_krw_mwh,101.218,KRW/kWh,SAMPLE_SYNTH
2015-07,smp_krw_mwh,102.561,KRW/kWh,SAMPLE_SYNTH
2015-08,smp_krw_mwh,99.849,KRW/kWh,SAMPLE_SYNTH
2015-09,smp_krw_mwh,100.715,KRW/kWh,SAMPLE_SYNTH
2015-10,smp_krw_mwh,93.885,KRW/kWh,SAMPLE_SYNTH
2015-11,smp_krw_mwh,90.768,KRW/kWh,SAMPLE_SYNTH
2015-12,smp_krw_mwh,89.796,KRW/kWh,SAMPLE_SYNTH
2016-01,smp_krw_mwh,94.866,KRW/kWh,SAMPLE_SYNTH
2016-02,smp_krw_mwh,101.715,KRW/kWh,SAMPLE_SYNTH
2016-03,smp_krw_mwh,94.044,KRW/kWh,SAMPLE_SYNTH
2016-04,smp_krw_mwh,89.755,KRW/kWh,SAMPLE_SYNTH
2016-05,smp_krw_mwh,93.401,KRW/kWh,SAMPLE_SYNTH
2016-06,smp_krw_mwh,82.96,KRW/kWh,SAMPLE_SYNTH
2016-07,smp_krw_mwh,80.767,KRW/kWh,SAMPLE_SYNTH
2016-08,smp_krw_mwh,80.377,KRW/kWh,SAMPLE_SYNTH
2016-09,smp_krw_mwh,86.76,KRW/kWh,SAMPLE_SYNTH
2016-10,smp_krw_mwh,90.515,KRW/kWh,SAMPLE_SYNTH
2016-11,smp_krw_mwh,88.844,KRW/kWh,SAMPLE_SYNTH
2016-12,smp_krw_mwh,86.988,KRW/kWh,SAMPLE_SYNTH
2017-01,smp_krw_mwh,85.777,KRW/kWh,SAMPLE_SYNTH
2017-02,smp_krw_mwh,94.082,KRW/kWh,SAMPLE_SYNTH
2017-03,smp_krw_mwh,91.788,KRW/kWh,SAMPLE_SYNTH
2017-04,smp_krw_mwh,90.221,KRW/kWh,SAMPLE_SYNTH
2017-05,smp_krw_mwh,92.242,KRW/kWh,SAMPLE_SYNTH
2017-06,smp_krw_mwh,91.668,KRW/kWh,SAMPLE_SYNTH
2017-07,smp_krw_mwh,90.68,KRW/kWh,SAMPLE_SYNTH
2017-08,smp_krw_mwh,84.901,KRW/kWh,SAMPLE_SYNTH
2017-09,smp_krw_mwh,84.928,KRW/kWh,SAMPLE_SYNTH
2017-10,smp_krw_mwh,82.78,KRW/kWh,SAMPLE_SYNTH
2017-11,smp_krw_mwh,88.868,KRW/kWh,SAMPLE_SYNTH
2017-12,smp_krw_mwh,92.512,KRW/kWh,SAMPLE_SYNTH
2018-01,smp_krw_mwh,92.47,KRW/kWh,SAMPLE_SYNTH
2018-02,smp_krw_mwh,96.35,KRW/kWh,SAMPLE_SYNTH
2018-03,smp_krw_mwh,94.5,KRW/kWh,SAMPLE_SYNTH
2018-04,smp_krw_mwh,100.759,KRW/kWh,SAMPLE_SYNTH
2018-05,smp_krw_mwh,100.827,KRW/kWh,SAMPLE_SYNTH
2018-06,smp_krw_mwh,104.523,KRW/kWh,SAMPLE_SYNTH
2018-07,smp_krw_mwh,96.83,KRW/kWh,SAMPLE_SYNTH
2018-08,smp_krw_mwh,98.964,KRW/kWh,SAMPLE_SYNTH
