scenario,region,sector,year,carbon_budget,gcam_version,source_id
NZ15,Korea,steel,2025,94.5,EST_v0 (비GCAM 잠정),EST_D2A_V0
NZ15,Korea,steel,2030,81.6,EST_v0 (비GCAM 잠정),EST_D2A_V0
NZ15,Korea,steel,2035,68.4,EST_v0 (비GCAM 잠정),EST_D2A_V0
NZ15,Korea,steel,2040,47.1,EST_v0 (비GCAM 잠정),EST_D2A_V0
NZ15,Korea,steel,2045,25.9,EST_v0 (비GCAM 잠정),EST_D2A_V0
NZ15,Korea,steel,2050,4.6,EST_v0 (비GCAM 잠정),KR_NETZERO_2050
NZ15,Korea,petchem,2025,58.6,EST_v0 (비GCAM 잠정),EST_D2A_V0
NZ15,Korea,petchem,2030,50.7,EST_v0 (비GCAM 잠정),EST_D2A_V0
NZ15,Korea,petchem,2035,42.7,EST_v0 (비GCAM 잠정),EST_D2A_V0
NZ15,Korea,petchem,2040,34.8,EST_v0 (비GCAM 잠정),EST_D2A_V0
NZ15,Korea,petchem,2045,26.6,EST_v0 (비GCAM 잠정),EST_D2A_V0
NZ15,Korea,petchem,2050,16.9,EST_v0 (비GCAM 잠정),KR_NETZERO_2050
NZ15,Japan,steel,2025,144.9,EST_v0 (비GCAM 잠정),EST_D2A_V0
NZ15,Japan,steel,2030,127.5,EST_v0 (비GCAM 잠정),EST_D2A_V0
NZ15,Japan,steel,2035,102.1,EST_v0 (비GCAM 잠정),EST_D2A_V0
NZ15,Japan,steel,2040,68.1,EST_v0 (비GCAM 잠정),EST_D2A_V0
NZ15,Japan,steel,2045,34.0,EST_v0 (비GCAM 잠정),EST_D2A_V0
NZ15,Japan,steel,2050,0.0,EST_v0 (비GCAM 잠정),EST_D2A_V0
NZ15,Japan,petchem,2025,49.1,EST_v0 (비GCAM 잠정),EST_D2A_V0
NZ15,Japan,petchem,2030,42.6,EST_v0 (비GCAM 잠정),EST_D2A_V0
NZ15,Japan,petchem,2035,31.9,EST_v0 (비GCAM 잠정),EST_D2A_V0
NZ15,Japan,petchem,2040,21.3,EST_v0 (비GCAM 잠정),EST_D2A_V0
NZ15,Japan,petchem,2045,10.6,EST_v0 (비GCAM 잠정),EST_D2A_V0
NZ15,Japan,petchem,2050,0.0,EST_v0 (비GCAM 잠정),EST_D2A_V0
B20,Korea,steel,2025,94.5,EST_v0 (비GCAM 잠정),EST_D2A_V0
B20,Korea,steel,2030,81.6,EST_v0 (비GCAM 잠정),EST_D2A_V0
B20,Korea,steel,2035,68.8,EST_v0 (비GCAM 잠정),EST_D2A_V0
B20,Korea,steel,2040,56.0,EST_v0 (비GCAM 잠정),EST_D2A_V0
B20,Korea,steel,2045,43.2,EST_v0 (비GCAM 잠정),EST_D2A_V0
B20,Korea,steel,2050,30.4,EST_v0 (비GCAM 잠정),EST_D2A_V0
B20,Korea,petchem,2025,58.6,EST_v0 (비GCAM 잠정),EST_D2A_V0
B20,Korea,petchem,2030,50.7,EST_v0 (비GCAM 잠정),EST_D2A_V0
B20,Korea,petchem,2035,42.7,EST_v0 (비GCAM 잠정),EST_D2A_V0
B20,Korea,petchem,2040,34.8,EST_v0 (비GCAM 잠정),EST_D2A_V0
B20,Korea,petchem,2045,26.8,EST_v0 (비GCAM 잠정),EST_D2A_V0
B20,Korea,petchem,2050,18.8,EST_v0 (비GCAM 잠정),EST_D2A_V0
B20,Japan,steel,2025,144.9,EST_v0 (비GCAM 잠정),EST_D2A_V0
B20,Japan,steel,2030,127.5,EST_v0 (비GCAM 잠정),EST_D2A_V0
B20,Japan,steel,2035,110.2,EST_v0 (비GCAM 잠정),EST_D2A_V0
B20,Japan,steel,2040,92.9,EST_v0 (비GCAM 잠정),EST_D2A_V0
B20,Japan,steel,2045,75.6,EST_v0 (비GCAM 잠정),EST_D2A_V0
B20,Japan,steel,2050,58.3,EST_v0 (비GCAM 잠정),EST_D2A_V0
B20,Japan,petchem,2025,49.1,EST_v0 (비GCAM 잠정),EST_D2A_V0
B20,Japan,petchem,2030,43.1,EST_v0 (비GCAM 잠정),EST_D2A_V0
B20,Japan,petchem,2035,37.0,EST_v0 (비GCAM 잠정),EST_D2A_V0
B20,Japan,petchem,2040,30.9,EST_v0 (비GCAM 잠정),EST_D2A_V0
B20,Japan,petchem,2045,24.9,EST_v0 (비GCAM 잠정),EST_D2A_V0
B20,Japan,petchem,2050,18.8,EST_v0 (비GCAM 잠정),EST_D2A_V0
