company_id,company_name,country_code,reported_production_mt,reported_scope12_emissions_mtco2,scenario_id,plan_id,plan_name,is_disclosed_plan,aligned_capex_bn_krw,peak_capex_year,peak_capex_bn_krw,expected_cost_p50_kkrw_per_tco2,expected_cost_p50_bn_krw,p90_cost_kkrw_per_tco2,tcar_kkrw_per_tco2,gross_cost_p50_kkrw_per_tco2,policy_support_dependence_kkrw_per_tco2,electricity_variance_share,hydrogen_variance_share,capex_variance_share,policy_uncertainty_exposure_kkrw_per_tco2,flexibility_value_kkrw_per_tco2,avoided_emissions_mtco2,p90_net_cost_bn_krw,p90_cost_to_ebitda_x,p90_cost_to_annual_capex_x,capex_cost_p50_bn_krw,fixed_opex_cost_p50_bn_krw,electricity_cost_p50_bn_krw,hydrogen_cost_p50_bn_krw,contract_premium_p50_bn_krw,carbon_value_p50_bn_krw,policy_support_p50_bn_krw,component_reconciliation_p50_bn_krw
POSCO_KR,POSCO,KR,34.537,69.84605,ACCELERATED_15C,P1,지연·현물조달,False,20584.0,2035,5768.0,-4.626172,-1875.456,4.005375,8.631547,-0.338175,4.287997,0.823069,0.0,0.176931,16.415174,0.0,405.401232,1623.784,0.383873,0.686904,9249.705,1165.507,11029.327,0.0,0.0,-21463.636,-1845.693,-10.666
POSCO_KR,POSCO,KR,34.537,69.84605,ACCELERATED_15C,P2,지연·부분헤지,False,24086.0,2037,9270.0,19.176884,7956.57,32.00341,12.826526,25.920845,6.743961,0.912708,0.001936,0.085356,40.875189,23.873211,414.904229,13278.35,3.13909,5.617094,13164.828,1294.893,9907.361,8863.189,46.468,-21968.445,-3350.392,-1.331
POSCO_KR,POSCO,KR,34.537,69.84605,ACCELERATED_15C,P3,균형형 라이트헤지,False,27588.0,2035,9270.0,50.605822,21717.703,67.034205,16.428383,63.502781,12.896958,0.94831,0.004345,0.047345,70.755598,55.486805,429.154227,28768.012,6.800949,12.169632,12109.119,1500.071,10626.163,25340.948,204.242,-22729.461,-5331.89,-1.489
POSCO_KR,POSCO,KR,34.537,69.84605,ACCELERATED_15C,P4,균형형 전환,False,27588.0,2034,9270.0,50.758097,24800.724,61.432211,10.674114,66.289968,15.531871,0.949197,0.004744,0.046059,67.041281,55.53143,488.606259,30016.163,7.09602,12.697633,11147.276,1771.894,12804.916,31634.167,522.273,-25790.307,-7289.572,0.077
POSCO_KR,POSCO,KR,34.537,69.84605,ACCELERATED_15C,P5,조기 계약형 전환,False,30104.0,2034,9270.0,76.664226,38761.913,84.962815,8.298589,105.77807,29.113844,0.946703,0.006523,0.046774,47.532519,81.340771,505.60626,42957.731,10.155492,18.172259,15107.969,2046.417,11452.519,50302.302,1252.055,-26692.429,-14731.063,24.142
POSCO_KR,POSCO,KR,34.537,69.84605,ACCELERATED_15C,P6,조기 고헤지,False,32892.0,2033,9270.0,109.394234,63350.498,113.297379,3.903144,163.114699,53.720465,0.948618,0.009822,0.041559,19.682801,113.912577,579.10271,65610.819,15.510832,27.755116,17760.694,2750.76,11742.495,89208.142,3539.236,-30537.198,-31115.793,2.162
POSCO_KR,POSCO,KR,34.537,69.84605,ACCELERATED_15C,P7,완전 수소·계약형,False,32892.0,2032,9270.0,105.75769,66405.165,106.878277,1.120587,166.266685,60.508995,0.932697,0.01246,0.054843,21.804561,110.326411,627.899166,67108.781,15.86496,28.388794,18573.951,3034.098,12820.136,97493.96,5532.181,-33052.876,-37995.699,-0.586
POSCO_KR,POSCO,KR,34.537,69.84605,ACCELERATED_15C,CURRENT,POSCO 공시전략 프록시,True,27588.0,2033,9270.0,59.60315,32666.001,79.789074,20.185924,69.8397,10.23655,0.961978,0.005588,0.032434,67.476559,63.986323,548.05829,43729.064,10.33784,18.498554,12651.798,2058.667,13409.031,38460.166,181.387,-28789.227,-5304.882,-0.94
POSCO_KR,POSCO,KR,34.537,69.84605,DISCLOSED_PATH,P1,지연·현물조달,False,15748.0,2035,5768.0,11.789002,2174.143,20.583074,8.794072,15.264723,3.475722,0.59419,0.0,0.40581,16.415174,0.0,184.421263,3795.956,0.897389,1.60579,5620.278,715.17,3239.493,0.0,0.0,-6661.71,-738.246,-0.843
POSCO_KR,POSCO,KR,34.537,69.84605,DISCLOSED_PATH,P2,지연·부분헤지,False,19250.0,2037,9270.0,60.052073,11645.554,78.803081,18.751008,67.321667,7.269594,0.867947,0.005362,0.126691,40.875189,48.446799,193.924259,15281.829,3.612726,6.464619,7110.401,844.557,3303.95,8901.832,27.223,-7002.802,-1538.532,-1.075
POSCO_KR,POSCO,KR,34.537,69.84605,DISCLOSED_PATH,P3,균형형 라이트헤지,False,22752.0,2035,9270.0,121.36142,25264.324,148.499252,27.137832,136.964673,15.603253,0.926909,0.009619,0.063472,70.755598,109.869435,208.174258,30913.722,7.308208,13.077324,7603.009,1049.735,3249.581,23786.52,144.045,-7518.561,-3053.781,3.776
POSCO_KR,POSCO,KR,34.537,69.84605,DISCLOSED_PATH,P4,균형형 전환,False,22752.0,2034,9270.0,117.799378,29066.56,136.092758,18.293379,136.790586,18.991208,0.931571,0.01035,0.058079,67.041281,106.166103,246.746291,33580.383,7.938625,14.205393,8846.268,1264.538,3877.43,28310.57,378.938,-8935.926,-4672.414,-2.843
POSCO_KR,POSCO,KR,34.537,69.84605,DISCLOSED_PATH,P5,조기 계약형 전환,False,27562.0,2034,9270.0,124.196745,45002.231,134.985,10.788255,151.469655,27.27291,0.931761,0.011507,0.056732,47.532519,112.495133,362.346302,48911.315,11.562959,20.690783,12951.465,1735.149,6075.914,46217.516,1058.081,-13148.819,-9894.126,7.052
POSCO_KR,POSCO,KR,34.537,69.84605,DISCLOSED_PATH,P6,조기 고헤지,False,32892.0,2033,9270.0,129.077035,74748.861,133.250692,4.173657,166.186065,37.10903,0.939321,0.014304,0.046376,19.682801,117.314785,579.10271,77165.837,18.242515,32.643195,18042.644,2750.76,10579.876,82570.301,3314.697,-21019.047,-21490.567,0.198
