company_id,scenario,support,capex_total_bnkrw,capex_peak_bnkrw,capex_peak_year,p50_bnkrw,cost_per_tco2_thkrw,tcar_bnkrw,flex_value_bnkrw,p50_incl_carbon_bnkrw,carbon_delta_bnkrw,policy_exposure_bnkrw
LOTTE,B20,current,139.79999999999998,73.8,2029,116.89122482160678,169.89791977847352,17.155630456915333,303.88152225114203,91.51196263083466,-25.379262190772124,647.2333345990785
LOTTE,B20,none,139.79999999999998,73.8,2029,116.89122482160678,169.89791977847352,17.155630456915333,303.88152225114203,91.51196263083466,-25.379262190772124,647.2333345990785
LOTTE,NZ15,current,158.44,79.22,2041,764.1245594206853,274.93972990375136,2212.7851261902474,331.7914786369235,50.19365993448537,-713.9308994861999,647.2333345990785
LOTTE,NZ15,none,158.44,79.22,2041,764.1245594206853,274.93972990375136,2212.7851261902474,331.7914786369235,50.19365993448537,-713.9308994861999,647.2333345990785
MCI,B20,current,60.48,33.18,2025,57.88099907292013,160.45165464738614,2.7380031503349542,128.02082875366258,45.35004953332577,-12.53094953959436,247.21915637397632
MCI,B20,none,60.48,33.18,2025,57.88099907292013,160.45165464738614,2.7380031503349542,128.02082875366258,45.35004953332577,-12.53094953959436,247.21915637397632
MCI,NZ15,current,68.544,34.272,2041,305.10015544689645,237.18785536239577,859.8514804099889,104.16192700163138,-18.6736587607852,-323.77381420768165,247.21915637397632
MCI,NZ15,none,68.544,34.272,2041,305.10015544689645,237.18785536239577,859.8514804099889,104.16192700163138,-18.6736587607852,-323.77381420768165,247.21915637397632
NSC,B20,current,10757.620859999999,1470.8776666666668,2035,18626.11227047078,83.16829095959983,6387.340230929069,1508.622017956104,7770.323040191339,-10855.789230279443,36921.93325606444
NSC,B20,none,10757.620859999999,1470.8776666666668,2035,18626.11227047078,83.16829095959983,6387.340230929069,1508.622017956104,7770.323040191339,-10855.789230279443,36921.93325606444
NSC,NZ15,current,31699.357746666672,2978.2080650000003,2036,55548.04552653522,165.3152631296655,34636.79302574476,1222.3464026947222,-949.2255780226988,-56497.27110455792,36921.93325606444
NSC,NZ15,none,31699.357746666672,2978.2080650000003,2036,55548.04552653522,165.3152631296655,34636.79302574476,1222.3464026947222,-949.2255780226988,-56497.27110455792,36921.93325606444
POSCO,B20,current,5390.933333333333,1025.3333333333333,2038,11938.879312617188,43.55434729465902,2136.9436106098383,1696.6219063556846,732.5259484614871,-11206.3533641557,29584.84462687251
POSCO,B20,none,5390.933333333333,1025.3333333333333,2038,11938.879312617188,43.55434729465902,2136.9436106098383,1696.6219063556846,732.5259484614871,-11206.3533641557,29584.84462687251
POSCO,NZ15,current,20564.834,3390.5179444444443,2041,41523.7239394897,114.92216198291662,26916.311903359143,5584.725585842949,-17941.98737322699,-59465.71131271669,29584.84462687251
POSCO,NZ15,none,20564.834,3390.5179444444443,2041,41523.7239394897,114.92216198291662,26916.311903359143,5584.725585842949,-17941.98737322699,-59465.71131271669,29584.84462687251
