company_id,year,production_t,emissions_s1_tco2,emissions_s2_tco2,energy_elec_mwh,energy_coal_gj,energy_gas_gj
LOTTE,2022,2097000.0,1992150.0,0.0,733950.0,0.0,16776000.0
LOTTE,2023,2097000.0,1992150.0,0.0,733950.0,0.0,16776000.0
LOTTE,2024,2097000.0,1992150.0,0.0,733950.0,0.0,16776000.0
MCI,2022,907200.0,861840.0,119735.3827963346,317520.0,0.0,7257600.0
MCI,2023,907200.0,861840.0,136039.77534732484,317520.0,0.0,7257600.0
MCI,2024,907200.0,861840.0,123811.48093408217,317520.0,0.0,7257600.0
NSC,2022,34250000.0,63403000.0,11912000.0,2740000.0,462374999.99999994,13700000.0
NSC,2023,34990000.0,64020000.0,12425000.0,2799200.0,472365000.0,13996000.0
NSC,2024,34300000.0,63672000.0,11423000.000000002,2744000.0,463049999.99999994,13720000.0
POSCO,2022,34219000.0,68305993.0,1879630.0,3843021.9277642365,430338234.98781294,15052417.194770662
POSCO,2023,35682000.0,70588012.0,1383895.0,4007326.585419898,448736926.8779083,15695968.623975184
POSCO,2024,35048000.0,69665353.0,1399825.0,3936124.1568801245,440763741.1921117,15417081.675160648
