scenario,region,variable,year,value,unit,source_id
NZ15,Korea,elec_price,2025,110200.0,KRW/MWh,EST_D2B_V0
NZ15,Korea,elec_price,2030,123200.0,KRW/MWh,EST_D2B_V0
NZ15,Korea,elec_price,2035,136200.0,KRW/MWh,EST_D2B_V0
NZ15,Korea,elec_price,2040,149300.0,KRW/MWh,EST_D2B_V0
NZ15,Korea,elec_price,2045,162300.0,KRW/MWh,EST_D2B_V0
NZ15,Korea,elec_price,2050,175300.0,KRW/MWh,EST_D2B_V0
NZ15,Korea,h2_price,2025,,KRW/kg,EST_D2B_V0
NZ15,Korea,h2_price,2030,3500.0,KRW/kg,MOTIE_H2_PLAN_2021
NZ15,Korea,h2_price,2035,3250.0,KRW/kg,EST_D2B_V0
NZ15,Korea,h2_price,2040,3000.0,KRW/kg,EST_D2B_V0
NZ15,Korea,h2_price,2045,2750.0,KRW/kg,EST_D2B_V0
NZ15,Korea,h2_price,2050,2500.0,KRW/kg,MOTIE_H2_PLAN_2021
NZ15,Korea,co2_price,2025,9450.0,KRW/tCO2,"IEA_GECM_DOC_2025 (NZE adv., PREP 대체)"
NZ15,Korea,co2_price,2030,189000.0,KRW/tCO2,"IEA_GECM_DOC_2025 (NZE adv., PREP 대체)"
NZ15,Korea,co2_price,2035,243000.0,KRW/tCO2,"IEA_GECM_DOC_2025 (NZE adv., PREP 대체)"
NZ15,Korea,co2_price,2040,276750.0,KRW/tCO2,"IEA_GECM_DOC_2025 (NZE adv., PREP 대체)"
NZ15,Korea,co2_price,2045,306450.0,KRW/tCO2,"IEA_GECM_DOC_2025 (NZE adv., PREP 대체)"
NZ15,Korea,co2_price,2050,337500.0,KRW/tCO2,"IEA_GECM_DOC_2025 (NZE adv., PREP 대체)"
NZ15,Korea,coal_price,2025,192375.0,KRW/t,EST_D2B_V0
NZ15,Korea,coal_price,2030,134595.0,KRW/t,EST_D2B_V0
NZ15,Korea,coal_price,2035,76950.0,KRW/t,IEA_GECM_DOC_2025
NZ15,Korea,coal_price,2040,73305.0,KRW/t,EST_D2B_V0
NZ15,Korea,coal_price,2045,69795.0,KRW/t,EST_D2B_V0
NZ15,Korea,coal_price,2050,66150.0,KRW/t,IEA_GECM_DOC_2025
NZ15,Korea,gas_price,2025,891540.0,KRW/t,EST_D2B_V0
NZ15,Korea,gas_price,2030,617760.0,KRW/t,EST_D2B_V0
NZ15,Korea,gas_price,2035,343980.0,KRW/t,IEA_GECM_DOC_2025
NZ15,Korea,gas_price,2040,343980.0,KRW/t,IEA_GECM_DOC_2025
NZ15,Korea,gas_price,2045,343980.0,KRW/t,EST_D2B_V0
NZ15,Korea,gas_price,2050,343980.0,KRW/t,IEA_GECM_DOC_2025
NZ15,Japan,elec_price,2025,119600.0,KRW/MWh,EST_D2B_V0
