company_id,scenario,plan,year,emissions_tco2,budget_tco2
LOTTE,NZ15,baseline,2025,1992150.0,1992150.0
LOTTE,NZ15,baseline,2026,1992150.0,1938436.7406143344
LOTTE,NZ15,baseline,2027,1992150.0,1884723.481228669
LOTTE,NZ15,baseline,2028,1992150.0,1831010.2218430033
LOTTE,NZ15,baseline,2029,1992150.0,1777296.962457338
LOTTE,NZ15,baseline,2030,1992150.0,1723583.7030716722
LOTTE,NZ15,baseline,2031,1992150.0,1669190.529010239
LOTTE,NZ15,baseline,2032,1992150.0,1614797.3549488054
LOTTE,NZ15,baseline,2033,1992150.0,1560404.1808873722
LOTTE,NZ15,baseline,2034,1992150.0,1506011.0068259386
LOTTE,NZ15,baseline,2035,1992150.0,1451617.8327645052
LOTTE,NZ15,baseline,2036,1992150.0,1397904.5733788398
LOTTE,NZ15,baseline,2037,1992150.0,1344191.313993174
LOTTE,NZ15,baseline,2038,1992150.0,1290478.0546075085
LOTTE,NZ15,baseline,2039,1992150.0,1236764.7952218428
LOTTE,NZ15,baseline,2040,1992150.0,1183051.5358361774
LOTTE,NZ15,baseline,2041,1992150.0,1127298.532423208
LOTTE,NZ15,baseline,2042,1992150.0,1071545.5290102388
LOTTE,NZ15,baseline,2043,1992150.0,1015792.5255972696
LOTTE,NZ15,baseline,2044,1992150.0,960039.5221843004
LOTTE,NZ15,baseline,2045,1992150.0,904286.5187713312
LOTTE,NZ15,baseline,2046,1992150.0,838334.795221843
LOTTE,NZ15,baseline,2047,1992150.0,772383.0716723549
LOTTE,NZ15,baseline,2048,1992150.0,706431.3481228669
LOTTE,NZ15,baseline,2049,1992150.0,640479.6245733788
LOTTE,NZ15,baseline,2050,1992150.0,574527.9010238907
LOTTE,NZ15,cost_min,2025,1992150.0,1992150.0
LOTTE,NZ15,cost_min,2026,1992150.0,1938436.7406143344
LOTTE,NZ15,cost_min,2027,1992150.0,1884723.481228669
LOTTE,NZ15,cost_min,2028,1992150.0,1831010.2218430033
LOTTE,NZ15,cost_min,2029,1992150.0,1777296.962457338
LOTTE,NZ15,cost_min,2030,1992150.0,1723583.7030716722
LOTTE,NZ15,cost_min,2031,1992150.0,1669190.529010239
LOTTE,NZ15,cost_min,2032,1992150.0,1614797.3549488054
LOTTE,NZ15,cost_min,2033,1992150.0,1560404.1808873722
LOTTE,NZ15,cost_min,2034,1992150.0,1506011.0068259386
LOTTE,NZ15,cost_min,2035,1992150.0,1451617.8327645052
LOTTE,NZ15,cost_min,2036,1992150.0,1397904.5733788398
LOTTE,NZ15,cost_min,2037,1992150.0,1344191.313993174
LOTTE,NZ15,cost_min,2038,1992150.0,1290478.0546075085
LOTTE,NZ15,cost_min,2039,1992150.0,1236764.7952218428
LOTTE,NZ15,cost_min,2040,1992150.0,1183051.5358361774
LOTTE,NZ15,cost_min,2041,1992150.0,1127298.532423208
LOTTE,NZ15,cost_min,2042,1992150.0,1071545.5290102388
LOTTE,NZ15,cost_min,2043,1006560.0,1015792.5255972696
LOTTE,NZ15,cost_min,2044,1006560.0,960039.5221843004
LOTTE,NZ15,cost_min,2045,1006560.0,904286.5187713312
LOTTE,NZ15,cost_min,2046,1006560.0,838334.795221843
LOTTE,NZ15,cost_min,2047,1006560.0,772383.0716723549
LOTTE,NZ15,cost_min,2048,1006560.0,706431.3481228669
LOTTE,NZ15,cost_min,2049,1006560.0,640479.6245733788
LOTTE,NZ15,cost_min,2050,1006560.0,574527.9010238907
LOTTE,B20,baseline,2025,1992150.0,1992150.0
LOTTE,B20,baseline,2026,1992150.0,1938436.7406143344
LOTTE,B20,baseline,2027,1992150.0,1884723.481228669
LOTTE,B20,baseline,2028,1992150.0,1831010.2218430033
LOTTE,B20,baseline,2029,1992150.0,1777296.962457338
LOTTE,B20,baseline,2030,1992150.0,1723583.7030716722
LOTTE,B20,baseline,2031,1992150.0,1669190.529010239
LOTTE,B20,baseline,2032,1992150.0,1614797.3549488054
LOTTE,B20,baseline,2033,1992150.0,1560404.1808873722
LOTTE,B20,baseline,2034,1992150.0,1506011.0068259386
LOTTE,B20,baseline,2035,1992150.0,1451617.8327645052
LOTTE,B20,baseline,2036,1992150.0,1397904.5733788398
LOTTE,B20,baseline,2037,1992150.0,1344191.313993174
LOTTE,B20,baseline,2038,1992150.0,1290478.0546075085
LOTTE,B20,baseline,2039,1992150.0,1236764.7952218428
LOTTE,B20,baseline,2040,1992150.0,1183051.5358361774
LOTTE,B20,baseline,2041,1992150.0,1128658.3617747438
LOTTE,B20,baseline,2042,1992150.0,1074265.1877133104
LOTTE,B20,baseline,2043,1992150.0,1019872.0136518772
LOTTE,B20,baseline,2044,1992150.0,965478.8395904436
LOTTE,B20,baseline,2045,1992150.0,911085.6655290102
LOTTE,B20,baseline,2046,1992150.0,856692.4914675767
LOTTE,B20,baseline,2047,1992150.0,802299.3174061433
LOTTE,B20,baseline,2048,1992150.0,747906.1433447099
LOTTE,B20,baseline,2049,1992150.0,693512.9692832764
LOTTE,B20,baseline,2050,1992150.0,639119.7952218431
LOTTE,B20,cost_min,2025,1992150.0,1992150.0
LOTTE,B20,cost_min,2026,1992150.0,1938436.7406143344
LOTTE,B20,cost_min,2027,1992150.0,1884723.481228669
LOTTE,B20,cost_min,2028,1992150.0,1831010.2218430033
LOTTE,B20,cost_min,2029,1962450.0,1777296.962457338
LOTTE,B20,cost_min,2030,1929240.0,1723583.7030716722
LOTTE,B20,cost_min,2031,1929240.0,1669190.529010239
LOTTE,B20,cost_min,2032,1929240.0,1614797.3549488054
LOTTE,B20,cost_min,2033,1929240.0,1560404.1808873722
LOTTE,B20,cost_min,2034,1929240.0,1506011.0068259386
LOTTE,B20,cost_min,2035,1929240.0,1451617.8327645052
LOTTE,B20,cost_min,2036,1929240.0,1397904.5733788398
LOTTE,B20,cost_min,2037,1929240.0,1344191.313993174
LOTTE,B20,cost_min,2038,1929240.0,1290478.0546075085
LOTTE,B20,cost_min,2039,1929240.0,1236764.7952218428
LOTTE,B20,cost_min,2040,1929240.0,1183051.5358361774
LOTTE,B20,cost_min,2041,1929240.0,1128658.3617747438
LOTTE,B20,cost_min,2042,1929240.0,1074265.1877133104
LOTTE,B20,cost_min,2043,1929240.0,1019872.0136518772
LOTTE,B20,cost_min,2044,1929240.0,965478.8395904436
LOTTE,B20,cost_min,2045,1929240.0,911085.6655290102
LOTTE,B20,cost_min,2046,1929240.0,856692.4914675767
LOTTE,B20,cost_min,2047,1929240.0,802299.3174061433
LOTTE,B20,cost_min,2048,1929240.0,747906.1433447099
LOTTE,B20,cost_min,2049,1929240.0,693512.9692832764
LOTTE,B20,cost_min,2050,1929240.0,639119.7952218431
MCI,NZ15,baseline,2025,861840.0,861840.0
MCI,NZ15,baseline,2026,861840.0,839021.4256619145
