tech_id,sector,applies_to_unit,capex_unit,opex_fixed,opex_var,elec_intensity,h2_intensity,emission_factor,avail_year,build_years,lifetime,capex_uncertainty,source_id,retrofit
steel_eaf,steel,NONE,240.0,0.0,0.0,0.667,0.0,0.05,2024,3,20,60,POSCO_GY_EAF,0
steel_h2dri,steel,BF,863.0,102.0,69.0,0.85,51.0,0.053,2030,4,20,40,"DIW_DP2082+VOGL_2018 (ex-electrolyser, 광석공통분 제외)",0
steel_eff,steel,BF,120.0,0.0,6.0,0.0,0.0,1.6,2024,1,15,50,NATURE_STEELEFF_2025,1
petchem_h2fuel,petchem,NCC,68.0,0.0,5.0,0.0,83.0,0.48,2028,2,20,60,"DECARB_TECH_CRACKER (50% displacement, EF rescaled)",1
petchem_bio,petchem,NCC,0.0,0.0,579.0,0.0,0.0,0.865,2025,0,20,30,ICIS_BIONAPHTHA_2025 (10% drop-in blended),1
petchem_eff,petchem,NCC,60.0,0.0,0.0,0.0,0.0,0.92,2024,1,15,40,KBC_CHEMENG_2024,1
steel_h2inj,steel,BF,54.0,1.0,5.0,0.05,28.0,1.72,2030,2,20,50,NSC_SCOURSE50_2024,1
steel_scrap,steel,BF,20.0,0.5,10.0,0.02,0.0,1.88,2025,1,15,30,MDPI_METALS_BOF (스크랩 15%p 상한 blended),1
steel_hbi,steel,BF,20.0,0.5,62.0,0.0,0.0,1.72,2025,1,20,30,KOBELCO_HBI_BF (30% 장입 blended),1
steel_hyrex,steel,FINEX,863.0,102.0,39.0,0.85,51.0,0.05,2035,3,25,50,"POSCO_HYREX (H2DRI 준용, 분광 프리미엄 감액, 실증 2030 후 상용)",0
petchem_ecracker_hybrid,petchem,NCC,270.0,8.0,10.0,1.0,0.0,0.65,2027,2,25,40,"BASF_ECRACKER_2024 (40% 전화 blended, EF rescale)",1
petchem_ecracker,petchem,NCC,608.0,18.0,20.0,2.8,0.0,0.1,2030,2,25,40,BASF_ECRACKER_2024+CHEMRXIV_2025 (90% cut rescale),0
petchem_hp_whr,petchem,NCC,72.0,2.0,0.0,0.19,0.0,0.845,2025,1,20,30,IEA_HTHP (분리계 15% 한계 blended),1
