file,column,schema_required,unit,definition,defined_in
D1a_company_capacity,company_id,,,"Grouping key. The facility identity, site, name, vintage and reinvestment anchors of §3.1 are dropped here, not aggregated",TECHNICAL_GUIDE.md §3.10
D1a_company_capacity,sector,,,"Grouping key. The facility identity, site, name, vintage and reinvestment anchors of §3.1 are dropped here, not aggregated",TECHNICAL_GUIDE.md §3.10
D1a_company_capacity,unit_type,,,"Grouping key. The facility identity, site, name, vintage and reinvestment anchors of §3.1 are dropped here, not aggregated",TECHNICAL_GUIDE.md §3.10
D1a_company_capacity,units,,,Count of facilities in the group that survived the register filter (§3.1),TECHNICAL_GUIDE.md §3.10
D1a_company_capacity,capacity_t_yr,,,"Sum of D1a.capacity over the group. Comparable within a unit_type only — the basis differs across unit types, and 16 of the 23 underlying rows are inner-volume estimates (A-01)",TECHNICAL_GUIDE.md §3.10
D1b_company_panel,company_id,,,Grouping key,TECHNICAL_GUIDE.md §3.10
D1b_company_panel,year,,,Grouping key,TECHNICAL_GUIDE.md §3.10
D1b_company_panel,production_t,,,"Sum of D1b.production over the firm's facilities — mixes hot metal, crude steel and ethylene tonnes, so it is a scale indicator and not a physical total",TECHNICAL_GUIDE.md §3.10
D1b_company_panel,emissions_s1_tco2,,,Sums of the corresponding §3.2 columns. Scope 2 is carried here although no stage reads it,TECHNICAL_GUIDE.md §3.10
D1b_company_panel,emissions_s2_tco2,,,Sums of the corresponding §3.2 columns. Scope 2 is carried here although no stage reads it,TECHNICAL_GUIDE.md §3.10
D1b_company_panel,energy_elec_mwh,,,Sum of D1b.energy_elec,TECHNICAL_GUIDE.md §3.10
D1b_company_panel,energy_coal_gj,,,"Sums of D1b.energy_coal / energy_gas, in gigajoules (§3.2)",TECHNICAL_GUIDE.md §3.10
D1b_company_panel,energy_gas_gj,,,"Sums of D1b.energy_coal / energy_gas, in gigajoules (§3.2)",TECHNICAL_GUIDE.md §3.10
D2a_scenario_budget,scenario,yes,,NZ15 (1.5 °C-consistent) or B20 (below 2 °C),TECHNICAL_GUIDE.md §3.3
D2a_scenario_budget,region,yes,,"Korea or Japan — Korean budgets are direct-emission based and on calendar years, Japanese include purchased power and are on fiscal years",TECHNICAL_GUIDE.md §3.3
D2a_scenario_budget,sector,yes,,steel / petchem,TECHNICAL_GUIDE.md §3.3
D2a_scenario_budget,year,yes,,"Anchor year. Both files are on 5-year anchors that E1 interpolates annually, with re_price the exception noted above — so a row is a knot on a path, not an observation of that year",TECHNICAL_GUIDE.md §3.3
D2a_scenario_budget,carbon_budget,yes,,Sector emissions allowance for that year,TECHNICAL_GUIDE.md §3.3
D2a_scenario_budget,gcam_version,yes,,Provenance tag of the pathway — see the caveat below,TECHNICAL_GUIDE.md §3.3
D2a_scenario_budget,source_id,yes,,"One or more keys into source_register, optionally followed by a free-text derivation note in parentheses. A cell is not a bare key: KR_PPA_2026/REI_JP_PPA_2025 names two, and the qualifier is where the transformation is recorded. Resolution splits on ; | + / and drops the parenthetical (scripts/audit_data.py:source_parts)",TECHNICAL_GUIDE.md §3.3
D2b_scenario_prices,scenario,yes,,NZ15 (1.5 °C-consistent) or B20 (below 2 °C),TECHNICAL_GUIDE.md §3.3
D2b_scenario_prices,region,yes,,"Korea or Japan — Korean budgets are direct-emission based and on calendar years, Japanese include purchased power and are on fiscal years",TECHNICAL_GUIDE.md §3.3
D2b_scenario_prices,variable,yes,,"elec_price, re_price, h2_price, coal_price, gas_price, co2_price",TECHNICAL_GUIDE.md §3.3
D2b_scenario_prices,year,yes,,"Anchor year. Both files are on 5-year anchors that E1 interpolates annually, with re_price the exception noted above — so a row is a knot on a path, not an observation of that year",TECHNICAL_GUIDE.md §3.3
D2b_scenario_prices,value,yes,,"The price and its unit (KRW/MWh, KRW/kg, KRW/t, KRW/tCO₂)",TECHNICAL_GUIDE.md §3.3
D2b_scenario_prices,unit,yes,,"The price and its unit (KRW/MWh, KRW/kg, KRW/t, KRW/tCO₂)",TECHNICAL_GUIDE.md §3.3
D2b_scenario_prices,source_id,yes,,"One or more keys into source_register, optionally followed by a free-text derivation note in parentheses. A cell is not a bare key: KR_PPA_2026/REI_JP_PPA_2025 names two, and the qualifier is where the transformation is recorded. Resolution splits on ; | + / and drops the parenthetical (scripts/audit_data.py:source_parts)",TECHNICAL_GUIDE.md §3.3
D3_tech_options,tech_id,yes,,"e.g. steel_h2dri, petchem_ecracker",TECHNICAL_GUIDE.md §3.4
D3_tech_options,sector,yes,,steel (7 rows) or petchem (6) — the measure is only offered to firms in that sector,TECHNICAL_GUIDE.md §3.4
D3_tech_options,applies_to_unit,yes,,"Which single unit_type it can be applied to, matched as an exact string against D1a.unit_type (src/cap/e2_milp.py:148); NONE marks a greenfield measure applicable to no existing unit (steel_eaf)",TECHNICAL_GUIDE.md §3.4
D3_tech_options,capex_unit,yes,,Unit capital cost,TECHNICAL_GUIDE.md §3.4
D3_tech_options,opex_fixed,yes,,"Fixed / variable operating cost — fixed is charged on capacity, variable on production",TECHNICAL_GUIDE.md §3.4
D3_tech_options,opex_var,yes,,"Fixed / variable operating cost — fixed is charged on capacity, variable on production",TECHNICAL_GUIDE.md §3.4
D3_tech_options,elec_intensity,yes,,"Electricity requirement, priced at re_price",TECHNICAL_GUIDE.md §3.4
D3_tech_options,h2_intensity,yes,,Hydrogen requirement,TECHNICAL_GUIDE.md §3.4
D3_tech_options,emission_factor,yes,,"Post-conversion intensity, not a reduction rate",TECHNICAL_GUIDE.md §3.4
D3_tech_options,avail_year,yes,,Earliest adoption year,TECHNICAL_GUIDE.md §3.4
D3_tech_options,build_years,yes,,Construction duration — CAPEX is spread evenly across it (A-18),TECHNICAL_GUIDE.md §3.4
D3_tech_options,lifetime,yes,,Economic life,TECHNICAL_GUIDE.md §3.4
D3_tech_options,capex_uncertainty,yes,,"Relative CAPEX dispersion, used as a relative multiplier only (A-22)",TECHNICAL_GUIDE.md §3.4
D3_tech_options,source_id,yes,,Foreign key into source_register,TECHNICAL_GUIDE.md §3.4
D3_tech_options,retrofit,,,1 = keeps the incumbent process running and adds the measure's intensities on top; 0 = swaps the process energy out. 9 of 13 rows are retrofits,TECHNICAL_GUIDE.md §3.4
D4_price_history,date,yes,,"Observation date, YYYY-MM-DD. Spacing is irregular — annual for most series, and the interval is never checked",TECHNICAL_GUIDE.md §3.5
D4_price_history,series_id,yes,,Series key. A series is only opened if some factor names it in FACTOR_SERIES (src/cap/calibration.py:24-26); 11 of the 18 series present are named by no factor,TECHNICAL_GUIDE.md §3.5
D4_price_history,value,yes,,"The quoted level. Volatility is estimated from log differences of consecutive values, so only the shape matters, not the level — except for the electrolyzer series, whose last value anchors the hydrogen price path",TECHNICAL_GUIDE.md §3.5
D4_price_history,unit,yes,,"Free text carrying the series' basis and caveats, not a parseable unit code. No stage converts on it, so two series in different units may not be mixed inside one factor",TECHNICAL_GUIDE.md §3.5
D4_price_history,source_id,yes,,Foreign key into source_register,TECHNICAL_GUIDE.md §3.5
D5_policy_support,support_scenario,yes,,"Which support world the row belongs to. Every row in the file is current — none is the absence of rows, not a value: support_params returns an empty object without reading the file",TECHNICAL_GUIDE.md §3.6
D5_policy_support,instrument,yes,,Instrument key — values in §3.0. subsidy_capex and ccfd are the two the code reads and neither occurs,TECHNICAL_GUIDE.md §3.6
D5_policy_support,tech_id,yes,,Which technology the instrument attaches to; all for economy-wide instruments,TECHNICAL_GUIDE.md §3.6
D5_policy_support,param_type,yes,,The parameter and its value; param_type is a Korean label and is not parsed,TECHNICAL_GUIDE.md §3.6
D5_policy_support,value,yes,,The parameter and its value; param_type is a Korean label and is not parsed,TECHNICAL_GUIDE.md §3.6
D5_policy_support,unit,yes,,The parameter and its value; param_type is a Korean label and is not parsed,TECHNICAL_GUIDE.md §3.6
D5_policy_support,valid_from,yes,,Applicability window; a blank end extends to the horizon,TECHNICAL_GUIDE.md §3.6
D5_policy_support,valid_to,yes,,Applicability window; a blank end extends to the horizon,TECHNICAL_GUIDE.md §3.6
D5_policy_support,source_id,yes,,Foreign key into source_register,TECHNICAL_GUIDE.md §3.6
D6_company_financials,company_id,yes,,Composite key,TECHNICAL_GUIDE.md §3.7
D6_company_financials,year,yes,,Composite key,TECHNICAL_GUIDE.md §3.7
D6_company_financials,revenue,yes,,Revenue as reported by the entity named in source_id,TECHNICAL_GUIDE.md §3.7
D6_company_financials,ebitda,yes,,"Earnings before interest, tax, depreciation and amortisation as the filer labels it; for the two Japanese firms the value is reported operating profit, which is not the same quantity",TECHNICAL_GUIDE.md §3.7
D6_company_financials,capex_total,yes,,"Reported capital expenditure, all purposes — not the model's transition CAPEX, which carries the same name in the result files",TECHNICAL_GUIDE.md §3.7
D6_company_financials,total_debt,yes,,Gross interest-bearing debt,TECHNICAL_GUIDE.md §3.7
D6_company_financials,net_debt,yes,,Debt net of cash,TECHNICAL_GUIDE.md §3.7
D6_company_financials,interest_expense,yes,,Interest cost for the year,TECHNICAL_GUIDE.md §3.7
D6_company_financials,cash,yes,,Cash and equivalents,TECHNICAL_GUIDE.md §3.7
D6_company_financials,source_id,yes,,"Foreign key into source_register. It also fixes the legal entity: the POSCO rows are the steel operating company, not the holding company",TECHNICAL_GUIDE.md §3.7
D7_disclosed_plan,company_id,yes,,Who committed,TECHNICAL_GUIDE.md §3.8
D7_disclosed_plan,item_type,yes,,"target (3 rows), tech_commit (7), timing (2)",TECHNICAL_GUIDE.md §3.8
