company_id,company_name,candidate_id,template_plan_id,physical_portfolio_id,from_scenario_id,to_scenario_id,from_scenario_feasible,to_scenario_feasible,same_physical_portfolio,common_avoided_emissions_mtco2,delta_p50_common_kkrw_per_tco2_mean,delta_p50_common_kkrw_per_tco2_std,delta_tcar_kkrw_per_tco2_mean,delta_tcar_kkrw_per_tco2_std,delta_absolute_npv_p50_bn_krw_mean,delta_absolute_npv_p50_bn_krw_std,delta_absolute_npv_p90_bn_krw_mean,delta_absolute_npv_p90_bn_krw_std,delta_aligned_capex_bn_krw_mean,delta_aligned_capex_bn_krw_std,delta_net_cash_cost_p50_bn_krw_mean,delta_net_cash_cost_p50_bn_krw_std,delta_avoided_carbon_value_p50_bn_krw_mean,delta_avoided_carbon_value_p50_bn_krw_std,delta_policy_support_value_p50_bn_krw_mean,delta_policy_support_value_p50_bn_krw_std
JFE_STEEL_JP,JFE Steel,CAND-0B566F19FFC9A2,P2,PORT-CCD4397FA6D4,ACCELERATED_15C,DISCLOSED_PATH,False,True,True,281.895878,8.172096,0.116722,-2.35765,0.123679,2303.68,32.902597,1639.068333,16.018863,0.0,0.0,-2358.096333,32.90315,-4661.776,0.0,-884.820667,6.419965
JFE_STEEL_JP,JFE Steel,CAND-A735954AF09420,P3,PORT-CCD4397FA6D4,ACCELERATED_15C,DISCLOSED_PATH,False,True,True,281.895878,10.292459,0.061934,-1.381418,0.160561,2901.401667,17.458604,2511.985667,27.824216,0.0,0.0,-1760.374667,17.459152,-4661.776,0.0,-1466.480333,26.344087
JFE_STEEL_JP,JFE Steel,CAND-E72109958C3B57,P2,PORT-E5F3D5116135,ACCELERATED_15C,DISCLOSED_PATH,True,False,True,321.408363,8.914029,0.243203,-2.083771,0.392468,2865.044,78.167233,2195.302333,121.313209,0.0,0.0,-2477.471,78.167233,-5342.515,0.0,-943.115,18.224494
JFE_STEEL_JP,JFE Steel,CAND-E8FAD9BDD034A5,P3,PORT-51A2628EF9C2,ACCELERATED_15C,DISCLOSED_PATH,True,True,True,328.220861,9.61188,0.21937,-1.32143,0.192104,3154.819333,72.002097,2721.098667,65.684177,0.0,0.0,-2305.064333,72.001773,-5459.883,0.0,-2026.591667,12.657607
JFE_STEEL_JP,JFE Steel,CAND-F4B6AD5FB08D71,P2,PORT-51A2628EF9C2,ACCELERATED_15C,DISCLOSED_PATH,True,True,True,328.220861,7.15025,0.261259,-2.352139,0.244518,2346.861333,85.750907,1574.840667,17.721874,0.0,0.0,-3113.022,85.750396,-5459.883,0.0,-1210.101333,17.970313
JFE_STEEL_JP,JFE Steel,CAND-FC0AA3F9FE37C6,P3,PORT-E5F3D5116135,ACCELERATED_15C,DISCLOSED_PATH,True,False,True,321.408363,10.830595,0.167869,-1.423285,0.407683,3481.043667,53.954415,3023.587667,94.580281,0.0,0.0,-1861.470667,53.954637,-5342.515,0.0,-1542.778333,5.856753
JFE_STEEL_JP,JFE Steel,CAND-FCDB7C1BD7991A,P1,PORT-51A2628EF9C2,ACCELERATED_15C,DISCLOSED_PATH,True,True,True,328.220861,5.536084,0.33412,-3.313903,0.423033,1817.058,109.665668,729.366333,55.400238,0.0,0.0,-3642.825,109.665668,-5459.883,0.0,-656.869333,7.310165
KOBE_STEEL_JP,Kobe Steel,CAND-0E9003448A63C3,P7,PORT-F194BB679477,ACCELERATED_15C,DISCLOSED_PATH,True,False,True,131.48782,26.087487,0.013469,0.167458,0.018616,3430.187,1.770654,3452.205333,3.375481,0.0,0.0,1308.922,1.770654,-2121.265,0.0,-3455.106,2.82277
KOBE_STEEL_JP,Kobe Steel,CAND-314B41E5534D98,P3,PORT-9862FC05DA24,ACCELERATED_15C,DISCLOSED_PATH,True,True,True,105.301092,8.948652,0.327835,-1.264273,0.913517,942.303,34.521801,809.173333,70.928965,0.0,0.0,-776.415667,34.522253,-1718.719,0.0,-900.507333,6.938431
KOBE_STEEL_JP,Kobe Steel,CAND-4D158AE8BC3521,P3,PORT-1144EBE63B41,ACCELERATED_15C,DISCLOSED_PATH,True,True,True,102.391093,10.079638,0.104124,-0.681518,0.211695,1032.065,10.66077,962.284333,19.503534,0.0,0.0,-636.52,10.66077,-1668.585,0.0,-705.275667,7.990011
