company_id,company_name,plan_id,plan_name,portfolio_id,portfolio_origin_scenario_id,from_scenario_id,to_scenario_id,from_scenario_feasible,to_scenario_feasible,same_physical_portfolio,common_avoided_emissions_mtco2,delta_p50_common_kkrw_per_tco2_mean,delta_p50_common_kkrw_per_tco2_std,delta_p50_common_kkrw_per_tco2_min,delta_p50_common_kkrw_per_tco2_max,delta_tcar_kkrw_per_tco2_mean,delta_tcar_kkrw_per_tco2_std,delta_tcar_kkrw_per_tco2_min,delta_tcar_kkrw_per_tco2_max,delta_absolute_npv_p50_bn_krw_mean,delta_absolute_npv_p50_bn_krw_std,delta_absolute_npv_p50_bn_krw_min,delta_absolute_npv_p50_bn_krw_max,delta_absolute_npv_p90_bn_krw_mean,delta_absolute_npv_p90_bn_krw_std,delta_absolute_npv_p90_bn_krw_min,delta_absolute_npv_p90_bn_krw_max,delta_aligned_capex_bn_krw_mean,delta_aligned_capex_bn_krw_std,delta_aligned_capex_bn_krw_min,delta_aligned_capex_bn_krw_max,delta_net_cash_cost_p50_bn_krw_mean,delta_net_cash_cost_p50_bn_krw_std,delta_net_cash_cost_p50_bn_krw_min,delta_net_cash_cost_p50_bn_krw_max,delta_avoided_carbon_value_p50_bn_krw_mean,delta_avoided_carbon_value_p50_bn_krw_std,delta_avoided_carbon_value_p50_bn_krw_min,delta_avoided_carbon_value_p50_bn_krw_max,delta_policy_support_value_p50_bn_krw_mean,delta_policy_support_value_p50_bn_krw_std,delta_policy_support_value_p50_bn_krw_min,delta_policy_support_value_p50_bn_krw_max
POSCO_KR,POSCO,P1,지연·현물조달,PORT-DE64C6FAC717,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,True,False,True,184.421263,-15.587531,0.08635,-15.684721,-15.519654,0.53964,0.122745,0.399322,0.627103,-2874.672,15.924744,-2892.596,-2862.154,-2775.151,25.560057,-2795.622,-2746.503,0.0,0.0,0.0,0.0,276.727333,15.924914,258.803,289.245,3151.399,0.0,3151.399,3151.399,212.196667,0.960613,211.112,212.94
POSCO_KR,POSCO,P2,지연·부분헤지,PORT-39601EAF8865,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,True,False,True,193.924259,-12.807035,0.079527,-12.889026,-12.730225,1.687955,0.307527,1.336585,1.908108,-2483.594667,15.422562,-2499.495,-2468.699,-2156.259333,58.53362,-2223.394,-2115.918,0.0,0.0,0.0,0.0,831.522667,15.422595,815.622,846.418,3315.117,0.0,3315.117,3315.117,521.287,4.803327,516.157,525.678
POSCO_KR,POSCO,P3,균형형 라이트헤지,PORT-AD0B41B0F73F,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,True,False,True,208.174258,-11.100038,0.316653,-11.440182,-10.813795,1.091421,0.656255,0.660659,1.846713,-2310.742333,65.918634,-2381.551,-2251.154,-2083.536333,82.726492,-2161.989,-1997.113,0.0,0.0,0.0,0.0,1249.632333,65.919171,1178.823,1309.221,3560.374,0.0,3560.374,3560.374,1300.518667,20.072078,1279.173,1319.012
POSCO_KR,POSCO,P4,균형형 전환,PORT-DDCBA267CA97,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,True,False,True,246.746291,-12.795264,0.068556,-12.856464,-12.72118,0.491496,0.168413,0.363637,0.68232,-3157.184,16.916037,-3172.285,-3138.904,-3035.909,58.305476,-3082.559,-2970.544,0.0,0.0,0.0,0.0,1045.238,16.916037,1030.137,1063.518,4202.422,0.0,4202.422,4202.422,1996.473667,13.378024,1981.938,2008.27
POSCO_KR,POSCO,P5,조기 계약형 전환,PORT-C07B5FF15869,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,True,False,True,362.346302,-15.500797,0.01297,-15.515709,-15.492141,-0.209971,0.104745,-0.280141,-0.089571,-5616.656333,4.69984,-5622.06,-5613.52,-5692.738,33.254245,-5715.027,-5654.515,0.0,0.0,0.0,0.0,507.299,4.700174,501.895,510.436,6123.955,0.0,6123.955,6123.955,4298.884,8.455214,4289.221,4304.924
POSCO_KR,POSCO,P6,조기 고헤지,PORT-73B2FF1A66A0,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,False,True,True,579.10271,-19.693683,0.00834,-19.703131,-19.687342,-0.297791,0.053026,-0.336708,-0.237395,-11404.665667,4.830071,-11410.137,-11400.993,-11577.117,34.578357,-11605.125,-11538.469,0.0,0.0,0.0,0.0,-1886.513667,4.830071,-1891.985,-1882.841,9518.151,0.0,9518.151,9518.151,9603.765333,34.058447,9577.96,9642.369
POSCO_KR,POSCO,P7,완전 수소·계약형,PORT-47C5D429DB2E,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,False,False,True,627.899166,-21.810665,0.003752,-21.813564,-21.806427,-0.121247,0.012712,-0.128681,-0.106569,-13694.898333,2.355343,-13696.718,-13692.238,-13771.029,6.656225,-13776.538,-13763.633,0.0,0.0,0.0,0.0,-3442.038667,2.355729,-3443.859,-3439.378,10252.86,0.0,10252.86,10252.86,11819.531333,8.94559,11811.914,11829.382
POSCO_KR,POSCO,CURRENT,POSCO 공시전략 프록시,PORT-69189DCC5A53,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,True,False,True,285.318325,-9.098048,0.481432,-9.573472,-8.610825,2.10434,1.141077,1.004604,3.282692,-2595.84,137.360453,-2731.486,-2456.827,-1995.433333,277.843621,-2312.575,-1794.875,0.0,0.0,0.0,0.0,2232.953,137.361453,2097.306,2371.967,4828.793,0.0,4828.793,4828.793,1321.185333,9.984372,1312.149,1331.904
NIPPON_STEEL_JP,Nippon Steel,P1,지연·현물조달,PORT-7DCD4991144C,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,True,False,True,313.643967,-13.873331,0.094015,-13.946,-13.767152,0.659179,0.368887,0.352707,1.068606,-4351.286667,29.486756,-4374.079,-4317.985,-4144.538667,106.131116,-4251.172,-4038.917,0.0,0.0,0.0,0.0,821.864,29.486934,799.072,855.166,5173.151,0.0,5173.151,5173.151,340.011667,0.61982,339.454,340.679
NIPPON_STEEL_JP,Nippon Steel,P2,지연·부분헤지,PORT-92BAA222AC4A,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,True,False,True,365.968973,-11.144057,0.167026,-11.278742,-10.957163,1.521418,0.408187,1.196465,1.979564,-4078.379667,61.126377,-4127.67,-4009.982,-3521.587667,130.831968,-3619.623,-3373.027,0.0,0.0,0.0,0.0,1996.168,61.125818,1946.878,2064.565,6074.547,0.0,6074.547,6074.547,890.734,17.304848,873.285,907.891
