company_id,company_name,candidate_id,template_plan_id,physical_portfolio_id,scenario_id,scenario_feasible,carbon_budget_feasible,physical_constraints_feasible,common_avoided_emissions_mtco2,candidate_path_count,expected_cost_p50_kkrw_per_tco2_mean,expected_cost_p50_kkrw_per_tco2_std,net_economic_cost_p50_kkrw_per_tco2_common_denominator_mean,net_economic_cost_p50_kkrw_per_tco2_common_denominator_std,tcar_kkrw_per_tco2_mean,tcar_kkrw_per_tco2_std,absolute_npv_p50_bn_krw_mean,absolute_npv_p50_bn_krw_std,absolute_npv_p90_bn_krw_mean,absolute_npv_p90_bn_krw_std,aligned_capex_bn_krw_mean,aligned_capex_bn_krw_std,net_cash_cost_after_support_p50_bn_krw_mean,net_cash_cost_after_support_p50_bn_krw_std,avoided_carbon_cost_value_p50_bn_krw_mean,avoided_carbon_cost_value_p50_bn_krw_std,policy_support_value_p50_bn_krw_mean,policy_support_value_p50_bn_krw_std,scenario_regret_p50_kkrw_per_tco2_mean,scenario_regret_p50_kkrw_per_tco2_std,electricity_variance_share_mean,electricity_variance_share_std,hydrogen_variance_share_mean,hydrogen_variance_share_std,capex_variance_share_mean,capex_variance_share_std,electricity_shapley_variance_share_mean,electricity_shapley_variance_share_std,hydrogen_shapley_variance_share_mean,hydrogen_shapley_variance_share_std,capex_shapley_variance_share_mean,capex_shapley_variance_share_std,shapley_full_variance_mean,shapley_full_variance_std,shapley_reconciliation_delta_mean,shapley_reconciliation_delta_std,risk_decomposition_method
POSCO_KR,POSCO,CAND-6339E6B83A8408,P3,PORT-8826D0B469EE,DISCLOSED_PATH,True,True,True,429.154227,400,62.931643,0.256629,62.931643,0.256629,14.23706,1.191856,27007.380667,110.133407,33117.274667,449.635817,27588.0,0.0,42563.672667,110.133407,15556.292,0.0,3875.818333,7.553913,53.720925,0.086402,0.915744,0.004243,0.007368,0.000531,0.076888,0.003719,0.849916472,0.010952119,0.049010155,0.001736284,0.101073373,0.012679878,99.440303078,8.699544827,0.0,0.0,variance_game_shapley_common_random_numbers
POSCO_KR,POSCO,CAND-6339E6B83A8408,P3,PORT-8826D0B469EE,ACCELERATED_15C,True,True,True,429.154227,400,50.275709,0.251905,50.275709,0.251905,15.032857,1.079296,21576.033333,108.105905,28027.447667,387.054116,27588.0,0.0,44305.494333,108.105905,22729.461,0.0,5399.194667,8.820925,31.311735,0.153093,0.940759,0.003034,0.004718,0.000343,0.054522,0.002694,0.883529393,0.010761816,0.038973895,0.0011935,0.077496712,0.01194639,112.84288615,9.644016254,0.0,0.0,variance_game_shapley_common_random_numbers
POSCO_KR,POSCO,CAND-82FF2AA13BA34C,P2,PORT-8826D0B469EE,DISCLOSED_PATH,True,True,True,429.154227,400,64.836202,0.313152,64.836202,0.313152,17.791543,1.509265,27824.73,134.390552,35460.046,583.990942,27588.0,0.0,43381.022,134.390552,15556.292,0.0,3022.364,13.065818,55.625484,0.147868,0.917788,0.004125,0.00744,0.000534,0.074771,0.003598,0.851930312,0.010925554,0.049279886,0.001729965,0.098789802,0.012649627,154.792316192,13.45428705,0.0,0.0,variance_game_shapley_common_random_numbers
POSCO_KR,POSCO,CAND-82FF2AA13BA34C,P2,PORT-8826D0B469EE,ACCELERATED_15C,True,True,True,429.154227,400,53.09914,0.310779,53.09914,0.310779,19.105709,1.446195,22787.720667,133.371991,30987.016333,534.748794,27588.0,0.0,45517.181667,133.371991,22729.461,0.0,4154.226333,14.474872,34.135166,0.219491,0.944106,0.002842,0.004814,0.000347,0.05108,0.002499,0.887080301,0.010636503,0.039402811,0.001177693,0.073516888,0.011799175,182.188838402,15.362124079,0.0,0.0,variance_game_shapley_common_random_numbers
POSCO_KR,POSCO,CAND-C9724A8933A429,P1,PORT-8826D0B469EE,DISCLOSED_PATH,True,True,True,429.154227,400,66.228906,0.376191,66.228906,0.376191,20.497004,1.752967,28422.415,161.444086,37218.791,651.367069,27588.0,0.0,43978.707,161.444086,15556.292,0.0,2443.223333,12.804966,57.018188,0.203374,0.921674,0.003977,0.007298,0.000528,0.071028,0.003456,0.856188305,0.010777485,0.048787856,0.001682107,0.09502384,0.012455951,205.80004965,17.90430704,0.0,0.0,variance_game_shapley_common_random_numbers
POSCO_KR,POSCO,CAND-C9724A8933A429,P1,PORT-8826D0B469EE,ACCELERATED_15C,True,True,True,429.154227,400,55.052044,0.379063,55.052044,0.379063,22.340131,1.730041,23625.817333,162.676828,33213.179,649.405657,27588.0,0.0,46355.278667,162.676386,22729.461,0.0,3311.669667,16.509329,36.088069,0.289288,0.947869,0.002673,0.004747,0.000344,0.047385,0.002333,0.891455343,0.010402439,0.039114961,0.001138058,0.069429695,0.011519722,247.984916355,20.84274603,0.0,0.0,variance_game_shapley_common_random_numbers
POSCO_KR,POSCO,CAND-921D50D4015721,P3,PORT-96133A6427FE,DISCLOSED_PATH,True,True,True,430.20423,400,67.163812,0.345104,67.163812,0.345104,13.746312,1.457913,28894.155667,148.465416,34807.877667,492.793667,26602.0,0.0,44492.092667,148.465416,15597.937,0.0,3947.587333,12.231064,57.953094,0.226209,0.920406,0.007068,0.007873,0.00078,0.071721,0.006288,0.851014123,0.010103011,0.05118663,0.000972707,0.097799248,0.010073941,97.473170805,10.703513222,0.0,0.0,variance_game_shapley_common_random_numbers
POSCO_KR,POSCO,CAND-921D50D4015721,P3,PORT-96133A6427FE,ACCELERATED_15C,True,True,True,430.20423,400,54.4627,0.567968,54.4627,0.567968,14.685971,1.824331,23430.084,244.342217,29748.051,554.418966,26602.0,0.0,46213.545333,244.342032,22783.461,0.0,5508.733333,6.787006,35.498725,0.449129,0.943223,0.00502,0.005163,0.000514,0.051614,0.004506,0.882732296,0.009480126,0.041099704,0.000565587,0.076168,0.009408425,109.938540051,11.921276979,0.0,0.0,variance_game_shapley_common_random_numbers
POSCO_KR,POSCO,CAND-4EF614D30D6D91,P2,PORT-96133A6427FE,DISCLOSED_PATH,True,True,True,430.20423,400,69.359669,0.444605,69.359669,0.444605,17.153106,1.833226,29838.822667,191.271134,37218.161667,613.429172,26602.0,0.0,45436.759667,191.271134,15597.937,0.0,2996.096333,6.185245,60.148951,0.323347,0.922235,0.006916,0.007957,0.000789,0.069808,0.006127,0.852786134,0.010034693,0.05147226,0.000971169,0.095741606,0.01000119,151.624940754,16.62972404,0.0,0.0,variance_game_shapley_common_random_numbers
POSCO_KR,POSCO,CAND-4EF614D30D6D91,P2,PORT-96133A6427FE,ACCELERATED_15C,True,True,True,430.20423,400,57.663882,0.737467,57.663882,0.737467,18.649881,2.302112,24807.246,317.261861,32830.504,689.454835,26602.0,0.0,47590.707333,317.261656,22783.461,0.0,4125.963,13.577336,38.699908,0.619041,0.94627,0.004762,0.005278,0.000526,0.048451,0.004237,0.885917295,0.00933631,0.041562315,0.000563685,0.072520389,0.009242966,177.202105689,19.152700087,0.0,0.0,variance_game_shapley_common_random_numbers
POSCO_KR,POSCO,CAND-44C957BBFA61A4,P1,PORT-96133A6427FE,DISCLOSED_PATH,True,True,True,430.20423,400,70.937749,0.570564,70.937749,0.570564,19.783618,2.210567,30517.719667,245.459015,39028.716,720.035188,26602.0,0.0,46115.656667,245.459015,15597.937,0.0,2355.814333,16.967651,61.727031,0.457595,0.925954,0.006621,0.007797,0.000777,0.066249,0.005845,0.857021672,0.009876125,0.050930443,0.000935776,0.092047885,0.009841698,201.726924353,22.135434322,0.0,0.0,variance_game_shapley_common_random_numbers
POSCO_KR,POSCO,CAND-44C957BBFA61A4,P1,PORT-96133A6427FE,ACCELERATED_15C,True,True,True,430.20423,400,59.960851,0.909526,59.960851,0.909526,21.686654,2.748069,25795.411667,391.281743,35125.102,810.905305,26602.0,0.0,48578.873,391.282314,22783.461,0.0,3192.146667,23.935477,40.996876,0.791229,0.949866,0.004466,0.005203,0.00052,0.044931,0.003946,0.890228248,0.009131384,0.041239462,0.000540357,0.068532289,0.00902235,241.235855663,26.041561753,0.0,0.0,variance_game_shapley_common_random_numbers
POSCO_KR,POSCO,CAND-2F5D03A613EDBE,P1,PORT-0E469489028A,DISCLOSED_PATH,True,True,True,261.543846,400,9.210718,0.172835,9.210718,0.172835,7.358885,1.394806,2409.006667,45.203511,4333.677667,337.793455,15097.0,0.0,11897.173667,45.203511,9488.167,0.0,704.376667,1.653336,0.0,0.0,0.720874,0.018426,0.0,0.0,0.279126,0.018426,0.69360044,0.005760291,0.0,0.0,0.30639956,0.005760291,27.233680406,3.912520212,0.0,0.0,variance_game_shapley_common_random_numbers
