company_id,company_name,country,sector,facility_id,facility_name,baseline_variant,variant_role,case,baseline_period,baseline_operational_ghg_tco2e,baseline_emissions_value_type,selected_route,decision_horizon,facility_status,modelled_flag,transition_capex_usd_2025,modelled_operational_abatement_tco2e,annual_capital_and_fixed_opex_factor,annualised_capital_and_fixed_opex_usd_2025,incremental_variable_resource_cost_usd_2025_per_operational_tco2e_abated,annual_variable_resource_gap_usd_2025,annual_resource_gap_proxy_usd_2025,annual_resource_gap_proxy_usd_2025_per_operational_tco2e_abated,support_stress_low,support_stress_base,support_stress_high,implied_support_low_usd_2025,implied_support_base_usd_2025,implied_support_high_usd_2025,stress_adjusted_gap_low_usd_2025,stress_adjusted_gap_base_usd_2025,stress_adjusted_gap_high_usd_2025,verified_market_policy_status,verified_incentive_adjusted_gap_usd_2025,system_abatement_status,currency,price_year,value_type,quality_flag,source_id,formula_or_method,boundary_note
POSCO,POSCO,Korea,steel,KR_POSCO_POHANG,Pohang Steelworks,primary_current,primary,low,CY2025,27938420,Allocated,steel_h2_dri_eaf,2040,contract-dependent,yes,6915450495,13969210,0.06601925932025258174066204669,456552919.5457740799234893124,20,279384200,735937119.5457740799234893124,52.68280164345543376636827082,0,0.25,0.5,0,183984279.8864435199808723281,367968559.7728870399617446562,735937119.5457740799234893124,551952839.6593305599426169843,367968559.7728870399617446562,not_available_not_zero,NA,not_modelled; leakage and replacement production pending,USD,2025 screening proxy,Modelled_from_estimated_inputs,D,IEA_STEEL_BREAKTHROUGH_2025|NEDO_H2_STEEL_2026|POSCO_CLIMATE_2026|POSCO_ESG_2025|annual_cost_gap_assumptions_mvp,resource gap proxy = transition CAPEX * annual capital-and-fixed-OPEX factor + modelled operational abatement * variable-resource proxy; independent support axes apply only to a positive gap,"Incremental annual resource proxy only; incumbent cost and early retirement are absent. Support outputs are stresses, not verified cash; verified net gap remains NA."
POSCO,POSCO,Korea,steel,KR_POSCO_POHANG,Pohang Steelworks,primary_current,primary,base,CY2025,31430722.5,Allocated,steel_h2_dri_eaf,2040,contract-dependent,yes,12447810891.2,23573041.875,0.09595245729922962676807129719,1194398043.00675348545330895,60,1414382512.5,2608780555.50675348545330895,110.6679642508696593681891531,0,0.25,0.5,0,652195138.8766883713633272375,1304390277.753376742726654475,2608780555.50675348545330895,1956585416.630065114089981712,1304390277.753376742726654475,not_available_not_zero,NA,not_modelled; leakage and replacement production pending,USD,2025 screening proxy,Modelled_from_estimated_inputs,D,IEA_STEEL_BREAKTHROUGH_2025|NEDO_H2_STEEL_2026|POSCO_CLIMATE_2026|POSCO_ESG_2025|annual_cost_gap_assumptions_mvp,resource gap proxy = transition CAPEX * annual capital-and-fixed-OPEX factor + modelled operational abatement * variable-resource proxy; independent support axes apply only to a positive gap,"Incremental annual resource proxy only; incumbent cost and early retirement are absent. Support outputs are stresses, not verified cash; verified net gap remains NA."
POSCO,POSCO,Korea,steel,KR_POSCO_POHANG,Pohang Steelworks,primary_current,primary,high,CY2025,34923025,Allocated,steel_h2_dri_eaf,2040,contract-dependent,yes,20746351485.6,33176873.75,0.1343929257432556951708117596,2788162874.647723275687631295,120,3981224850,6769387724.647723275687631295,204.0393490856781909925322996,0,0.25,0.5,0,1692346931.161930818921907824,3384693862.323861637843815648,6769387724.647723275687631295,5077040793.485792456765723471,3384693862.323861637843815647,not_available_not_zero,NA,not_modelled; leakage and replacement production pending,USD,2025 screening proxy,Modelled_from_estimated_inputs,D,IEA_STEEL_BREAKTHROUGH_2025|NEDO_H2_STEEL_2026|POSCO_CLIMATE_2026|POSCO_ESG_2025|annual_cost_gap_assumptions_mvp,resource gap proxy = transition CAPEX * annual capital-and-fixed-OPEX factor + modelled operational abatement * variable-resource proxy; independent support axes apply only to a positive gap,"Incremental annual resource proxy only; incumbent cost and early retirement are absent. Support outputs are stresses, not verified cash; verified net gap remains NA."
POSCO,POSCO,Korea,steel,KR_POSCO_GWANGYANG,Gwangyang Steelworks,primary_current,primary,low,CY2025,34923025,Allocated,steel_scrap_eaf,2030,price-conditional,yes,2593293935.7,20953815,0.06101925932025258174066204669,158240875.1561167244203274358,-10,-209538150,-51297274.8438832755796725642,-2.44811147010142427904763711,0,0.1,0.25,0,0,0,-51297274.8438832755796725642,-51297274.8438832755796725642,-51297274.8438832755796725642,not_available_not_zero,NA,not_modelled; leakage and replacement production pending,USD,2025 screening proxy,Modelled_from_estimated_inputs,D,POSCO_CLIMATE_2026|POSCO_ESG_2025|annual_cost_gap_assumptions_mvp,resource gap proxy = transition CAPEX * annual capital-and-fixed-OPEX factor + modelled operational abatement * variable-resource proxy; independent support axes apply only to a positive gap,"Incremental annual resource proxy only; incumbent cost and early retirement are absent. Support outputs are stresses, not verified cash; verified net gap remains NA."
POSCO,POSCO,Korea,steel,KR_POSCO_GWANGYANG,Gwangyang Steelworks,primary_current,primary,base,CY2025,38415327.5,Allocated,steel_scrap_eaf,2030,price-conditional,yes,5705246658.3,28811495.625,0.09095245729922962676807129719,518906203.0706032712828949974,10,288114956.25,807021159.3206032712828949974,28.01038758364017665545590702,0,0.1,0.25,0,80702115.93206032712828949974,201755289.8301508178207237494,807021159.3206032712828949974,726319043.3885429441546054977,605265869.490452453462171248,not_available_not_zero,NA,not_modelled; leakage and replacement production pending,USD,2025 screening proxy,Modelled_from_estimated_inputs,D,POSCO_CLIMATE_2026|POSCO_ESG_2025|annual_cost_gap_assumptions_mvp,resource gap proxy = transition CAPEX * annual capital-and-fixed-OPEX factor + modelled operational abatement * variable-resource proxy; independent support axes apply only to a positive gap,"Incremental annual resource proxy only; incumbent cost and early retirement are absent. Support outputs are stresses, not verified cash; verified net gap remains NA."
POSCO,POSCO,Korea,steel,KR_POSCO_GWANGYANG,Gwangyang Steelworks,primary_current,primary,high,CY2025,41907630,Allocated,steel_scrap_eaf,2030,price-conditional,yes,10373175742.5,31430722.5,0.1243929257432556951708117596,1290349679.858543760120838939,40,1257228900,2547578579.858543760120838939,81.05377087206772800468837263,0,0.1,0.25,0,254757857.9858543760120838939,636894644.9646359400302097348,2547578579.858543760120838939,2292820721.872689384108755045,1910683934.893907820090629204,not_available_not_zero,NA,not_modelled; leakage and replacement production pending,USD,2025 screening proxy,Modelled_from_estimated_inputs,D,POSCO_CLIMATE_2026|POSCO_ESG_2025|annual_cost_gap_assumptions_mvp,resource gap proxy = transition CAPEX * annual capital-and-fixed-OPEX factor + modelled operational abatement * variable-resource proxy; independent support axes apply only to a positive gap,"Incremental annual resource proxy only; incumbent cost and early retirement are absent. Support outputs are stresses, not verified cash; verified net gap remains NA."
NIPPON_STEEL,Nippon Steel Corporation,Japan,steel,JP_NSC_MURORAN,North Nippon Works Muroran Area,primary_current,primary,low,FY2024,2387606.135,Allocated,steel_h2_dri_eaf,2040,contract-dependent,yes,620000000,1193803.0675,0.06601925932025258174066204669,40931940.77855660067921046895,20,23876061.35,64808002.12855660067921046895,54.28701256755365195877289782,0,0.25,0.5,0,16202000.53213915016980261724,32404001.06427830033960523448,64808002.12855660067921046895,48606001.59641745050940785171,32404001.06427830033960523447,not_available_not_zero,NA,not_modelled; leakage and replacement production pending,USD,2025 screening proxy,Modelled_from_estimated_inputs,D,IEA_STEEL_BREAKTHROUGH_2025|NEDO_H2_STEEL_2026|NSC_DB_2025|annual_cost_gap_assumptions_mvp,resource gap proxy = transition CAPEX * annual capital-and-fixed-OPEX factor + modelled operational abatement * variable-resource proxy; independent support axes apply only to a positive gap,"Incremental annual resource proxy only; incumbent cost and early retirement are absent. Support outputs are stresses, not verified cash; verified net gap remains NA."
NIPPON_STEEL,Nippon Steel Corporation,Japan,steel,JP_NSC_MURORAN,North Nippon Works Muroran Area,primary_current,primary,base,FY2024,2808948.394,Allocated,steel_h2_dri_eaf,2040,contract-dependent,yes,992000000,2106711.2955,0.09595245729922962676807129719,95184837.64083578975392672681,60,126402677.73,221587515.3708357897539267268,105.1817189399200189335704479,0,0.25,0.5,0,55396878.8427089474384816817,110793757.6854178948769633634,221587515.3708357897539267268,166190636.5281268423154450451,110793757.6854178948769633634,not_available_not_zero,NA,not_modelled; leakage and replacement production pending,USD,2025 screening proxy,Modelled_from_estimated_inputs,D,IEA_STEEL_BREAKTHROUGH_2025|NEDO_H2_STEEL_2026|NSC_DB_2025|annual_cost_gap_assumptions_mvp,resource gap proxy = transition CAPEX * annual capital-and-fixed-OPEX factor + modelled operational abatement * variable-resource proxy; independent support axes apply only to a positive gap,"Incremental annual resource proxy only; incumbent cost and early retirement are absent. Support outputs are stresses, not verified cash; verified net gap remains NA."
NIPPON_STEEL,Nippon Steel Corporation,Japan,steel,JP_NSC_MURORAN,North Nippon Works Muroran Area,primary_current,primary,high,FY2024,3230290.654,Allocated,steel_h2_dri_eaf,2040,contract-dependent,yes,1488000000,3068776.1213,0.1343929257432556951708117596,199976673.5059644744141678983,120,368253134.556,568229808.0619644744141678983,185.1649601018304412124362871,0,0.25,0.5,0,142057452.0154911186035419746,284114904.0309822372070839492,568229808.0619644744141678983,426172356.0464733558106259237,284114904.0309822372070839491,not_available_not_zero,NA,not_modelled; leakage and replacement production pending,USD,2025 screening proxy,Modelled_from_estimated_inputs,D,IEA_STEEL_BREAKTHROUGH_2025|NEDO_H2_STEEL_2026|NSC_DB_2025|annual_cost_gap_assumptions_mvp,resource gap proxy = transition CAPEX * annual capital-and-fixed-OPEX factor + modelled operational abatement * variable-resource proxy; independent support axes apply only to a positive gap,"Incremental annual resource proxy only; incumbent cost and early retirement are absent. Support outputs are stresses, not verified cash; verified net gap remains NA."
NIPPON_STEEL,Nippon Steel Corporation,Japan,steel,JP_NSC_KASHIMA,East Nippon Works Kashima Area,primary_current,primary,low,FY2024,11726226.907,Allocated,steel_h2_dri_eaf,2040,contract-dependent,yes,3045000000,5863113.4535,0.06601925932025258174066204669,201028644.6301691114003159322,20,117262269.07,318290913.7001691114003159322,54.28701256158783136539145809,0,0.25,0.5,0,79572728.42504227785007898305,159145456.8500845557001579661,318290913.7001691114003159322,238718185.2751268335502369492,159145456.8500845557001579661,not_available_not_zero,NA,not_modelled; leakage and replacement production pending,USD,2025 screening proxy,Modelled_from_estimated_inputs,D,IEA_STEEL_BREAKTHROUGH_2025|NEDO_H2_STEEL_2026|NSC_DB_2025|annual_cost_gap_assumptions_mvp,resource gap proxy = transition CAPEX * annual capital-and-fixed-OPEX factor + modelled operational abatement * variable-resource proxy; independent support axes apply only to a positive gap,"Incremental annual resource proxy only; incumbent cost and early retirement are absent. Support outputs are stresses, not verified cash; verified net gap remains NA."
