company_id,company_name,country,sector,year,official_baseline_operational_ghg_tco2e,current_policies_emissions_index,current_policies_operational_ghg_tco2e,net_zero_emissions_index,net_zero_operational_envelope_tco2e,current_policies_to_net_zero_gap_tco2e,required_reduction_from_baseline_tco2e,conditional_facility_abatement_tco2e,conditional_facility_pathway_emissions_tco2e,unclosed_gap_to_net_zero_tco2e,required_reduction_closed_ratio,cumulative_pathway_capex_usd_2025,residual_capital_intensity_low_usd_2025_per_annual_tco2e,residual_capital_intensity_base_usd_2025_per_annual_tco2e,residual_capital_intensity_high_usd_2025_per_annual_tco2e,implied_unclosed_capital_low_usd_2025,implied_unclosed_capital_base_usd_2025,implied_unclosed_capital_high_usd_2025,implied_total_pathway_capital_low_usd_2025,implied_total_pathway_capital_base_usd_2025,implied_total_pathway_capital_high_usd_2025,annual_resource_gap_at_committed_pathway_scope_usd_2025,modelled_transition_facility_count,emissions_coverage_ratio,production_coverage_ratio,pathway_status,system_abatement_status,currency,price_year,value_type,quality_flag,source_id,formula_or_method,boundary_note
POSCO,POSCO,Korea,steel,2025,69846050,1,69846050,1,69846050,0,0,0,69846050,0,1,0,379.0023094106818866985193752,482.3665756131119977166598553,670.4709159184272854474237438,0,0,0,0,0,0,0,0,1,NA,on_envelope_at_common_start,not_modelled; leakage and replacement production pending,USD,2025 screening proxy,estimated,D,IEA_STEEL_BREAKTHROUGH_2025|IEA_STEEL_ROADMAP_2020|NEDO_H2_STEEL_2026|NGFS_PHASE5_2024|POSCO_CLIMATE_2026|POSCO_ESG_2025|POSCO_GREEN_BOND_2024|POSCO_GW_EAF_2026|SBTI_STEEL_PATH_2024|annual_cost_gap_assumptions_mvp,"scenario emissions = official company baseline x sector index; conditional pathway emissions = baseline minus physically available assigned facility abatement at or before the decision year; unclosed gap = max(pathway emissions minus net-zero envelope, zero); implied residual capital = unclosed gap x the identified-pathway base capital per annual tCO2, with low/high scaled by the minimum/maximum company model-case capital intensity relative to base","Sector proxies are scaled to company Scope 1+2 and are not corporate carbon budgets. Implied residual capital is a quality-D extrapolation, not an identified project or financing requirement. Conditional facility reductions are operational, not system abatement; production, leakage and replacement output are not modelled."
POSCO,POSCO,Korea,steel,2030,69846050,1.014,70823894.7,0.8280871671,57838617.677624955,12985277.022375045,12007432.322375045,3787500.000076902897679578139,66058549.99992309710232042186,8219932.32229814210232042186,0.3154296354449694136742950851,750000000.0000000000000000001,379.0023094106818866985193752,482.3665756131119977166598553,670.4709159184272854474237438,3115373333.350505357845096986,3965020606.078490061979558488,5511225552.918720367472617373,3865373333.350505357845096986,4715020606.078490061979558488,6261225552.918720367472617373,106089342.9751912490528492543,1,1,NA,unclosed_emissions_gap; Gwangyang_full_route_physically_constrained,not_modelled; leakage and replacement production pending,USD,2025 screening proxy,estimated,D,IEA_STEEL_BREAKTHROUGH_2025|IEA_STEEL_ROADMAP_2020|NEDO_H2_STEEL_2026|NGFS_PHASE5_2024|POSCO_CLIMATE_2026|POSCO_ESG_2025|POSCO_GREEN_BOND_2024|POSCO_GW_EAF_2026|SBTI_STEEL_PATH_2024|annual_cost_gap_assumptions_mvp,"scenario emissions = official company baseline x sector index; conditional pathway emissions = baseline minus physically available assigned facility abatement at or before the decision year; unclosed gap = max(pathway emissions minus net-zero envelope, zero); implied residual capital = unclosed gap x the identified-pathway base capital per annual tCO2, with low/high scaled by the minimum/maximum company model-case capital intensity relative to base","Sector proxies are scaled to company Scope 1+2 and are not corporate carbon budgets. Implied residual capital is a quality-D extrapolation, not an identified project or financing requirement. Conditional facility reductions are operational, not system abatement; production, leakage and replacement output are not modelled."
POSCO,POSCO,Korea,steel,2040,69846050,1.042,72779584.1,0.3728813559,26044289.828259195,46735294.271740805,43801760.171740805,27360541.87507690289767957814,42485508.12492309710232042186,16441218.29666390210232042186,0.6246448034919122315384532609,13197810891.2,379.0023094106818866985193752,482.3665756131119977166598553,670.4709159184272854474237438,6231259703.960776443425542498,7930694168.669408577994906026,11023358690.17905137966674048,19429070595.1607764434255425,21128505059.86940857799490603,24221169581.37905137966674048,2714869898.481944734506158204,2,1,NA,unclosed_emissions_gap; Gwangyang_full_route_physically_constrained,not_modelled; leakage and replacement production pending,USD,2025 screening proxy,estimated,D,IEA_STEEL_BREAKTHROUGH_2025|IEA_STEEL_ROADMAP_2020|NEDO_H2_STEEL_2026|NGFS_PHASE5_2024|POSCO_CLIMATE_2026|POSCO_ESG_2025|POSCO_GREEN_BOND_2024|POSCO_GW_EAF_2026|SBTI_STEEL_PATH_2024|annual_cost_gap_assumptions_mvp,"scenario emissions = official company baseline x sector index; conditional pathway emissions = baseline minus physically available assigned facility abatement at or before the decision year; unclosed gap = max(pathway emissions minus net-zero envelope, zero); implied residual capital = unclosed gap x the identified-pathway base capital per annual tCO2, with low/high scaled by the minimum/maximum company model-case capital intensity relative to base","Sector proxies are scaled to company Scope 1+2 and are not corporate carbon budgets. Implied residual capital is a quality-D extrapolation, not an identified project or financing requirement. Conditional facility reductions are operational, not system abatement; production, leakage and replacement output are not modelled."
POSCO,POSCO,Korea,steel,2050,69846050,1.07,74735273.5,0.0532687651,3720612.830612855,71014660.669387145,66125437.169387145,27360541.87507690289767957814,42485508.12492309710232042186,38764895.29431024210232042186,0.4137672739310599289054892743,13197810891.2,379.0023094106818866985193752,482.3665756131119977166598553,670.4709159184272854474237438,14691984840.60685665626633988,18698889797.11727086548880097,25990734853.45811987202126305,27889795731.80685665626633988,31896700688.31727086548880097,39188545744.65811987202126305,2714869898.481944734506158204,2,1,NA,unclosed_emissions_gap; Gwangyang_full_route_physically_constrained,not_modelled; leakage and replacement production pending,USD,2025 screening proxy,estimated,D,IEA_STEEL_BREAKTHROUGH_2025|IEA_STEEL_ROADMAP_2020|NEDO_H2_STEEL_2026|NGFS_PHASE5_2024|POSCO_CLIMATE_2026|POSCO_ESG_2025|POSCO_GREEN_BOND_2024|POSCO_GW_EAF_2026|SBTI_STEEL_PATH_2024|annual_cost_gap_assumptions_mvp,"scenario emissions = official company baseline x sector index; conditional pathway emissions = baseline minus physically available assigned facility abatement at or before the decision year; unclosed gap = max(pathway emissions minus net-zero envelope, zero); implied residual capital = unclosed gap x the identified-pathway base capital per annual tCO2, with low/high scaled by the minimum/maximum company model-case capital intensity relative to base","Sector proxies are scaled to company Scope 1+2 and are not corporate carbon budgets. Implied residual capital is a quality-D extrapolation, not an identified project or financing requirement. Conditional facility reductions are operational, not system abatement; production, leakage and replacement output are not modelled."
NIPPON_STEEL,Nippon Steel Corporation,Japan,steel,2025,79013000,1,79013000,1,79013000,0,0,0,79013000,0,1,0,469.6424831950011694707819058,469.6424831950011694707819058,518.387026036130850820641019,0,0,0,0,0,0,0,0,1,1,on_envelope_at_common_start,not_modelled; leakage and replacement production pending,USD,2025 screening proxy,estimated,D,IEA_STEEL_BREAKTHROUGH_2025|IEA_STEEL_ROADMAP_2020|NEDO_H2_STEEL_2026|NGFS_PHASE5_2024|NSC_DB_2025|POSCO_CLIMATE_2026|SBTI_STEEL_PATH_2024|annual_cost_gap_assumptions_mvp,"scenario emissions = official company baseline x sector index; conditional pathway emissions = baseline minus physically available assigned facility abatement at or before the decision year; unclosed gap = max(pathway emissions minus net-zero envelope, zero); implied residual capital = unclosed gap x the identified-pathway base capital per annual tCO2, with low/high scaled by the minimum/maximum company model-case capital intensity relative to base","Sector proxies are scaled to company Scope 1+2 and are not corporate carbon budgets. Implied residual capital is a quality-D extrapolation, not an identified project or financing requirement. Conditional facility reductions are operational, not system abatement; production, leakage and replacement output are not modelled."
NIPPON_STEEL,Nippon Steel Corporation,Japan,steel,2030,79013000,1.014,80119182,0.8280871671,65429651.3340723,14689530.6659277,13583348.6659277,283160.1205,78729839.8795,13300188.5454277,0.02084612030980808620718645437,62500000,469.6424831950011694707819058,469.6424831950011694707819058,518.387026036130850820641019,6246333575.436375645519399216,6246333575.436375645519399216,6894645185.784078429241446695,6308833575.436375645519399216,6308833575.436375645519399216,6957145185.784078429241446695,7676588.126300962443855781537,4,1,1,unclosed_emissions_gap,not_modelled; leakage and replacement production pending,USD,2025 screening proxy,estimated,D,IEA_STEEL_BREAKTHROUGH_2025|IEA_STEEL_ROADMAP_2020|NEDO_H2_STEEL_2026|NGFS_PHASE5_2024|NSC_DB_2025|POSCO_CLIMATE_2026|SBTI_STEEL_PATH_2024|annual_cost_gap_assumptions_mvp,"scenario emissions = official company baseline x sector index; conditional pathway emissions = baseline minus physically available assigned facility abatement at or before the decision year; unclosed gap = max(pathway emissions minus net-zero envelope, zero); implied residual capital = unclosed gap x the identified-pathway base capital per annual tCO2, with low/high scaled by the minimum/maximum company model-case capital intensity relative to base","Sector proxies are scaled to company Scope 1+2 and are not corporate carbon budgets. Implied residual capital is a quality-D extrapolation, not an identified project or financing requirement. Conditional facility reductions are operational, not system abatement; production, leakage and replacement output are not modelled."
NIPPON_STEEL,Nippon Steel Corporation,Japan,steel,2040,79013000,1.042,82331546,0.3728813559,29462474.5737267,52869071.4262733,49550525.4262733,57419209.2175,21593790.7825,0,1,26966500000,469.6424831950011694707819058,469.6424831950011694707819058,518.387026036130850820641019,0,0,0,26966500000,26966500000,26966500000,6017344445.124774841012045961,11,1,1,identified_pathway_closes_envelope,not_modelled; leakage and replacement production pending,USD,2025 screening proxy,estimated,D,IEA_STEEL_BREAKTHROUGH_2025|IEA_STEEL_ROADMAP_2020|NEDO_H2_STEEL_2026|NGFS_PHASE5_2024|NSC_DB_2025|POSCO_CLIMATE_2026|SBTI_STEEL_PATH_2024|annual_cost_gap_assumptions_mvp,"scenario emissions = official company baseline x sector index; conditional pathway emissions = baseline minus physically available assigned facility abatement at or before the decision year; unclosed gap = max(pathway emissions minus net-zero envelope, zero); implied residual capital = unclosed gap x the identified-pathway base capital per annual tCO2, with low/high scaled by the minimum/maximum company model-case capital intensity relative to base","Sector proxies are scaled to company Scope 1+2 and are not corporate carbon budgets. Implied residual capital is a quality-D extrapolation, not an identified project or financing requirement. Conditional facility reductions are operational, not system abatement; production, leakage and replacement output are not modelled."
NIPPON_STEEL,Nippon Steel Corporation,Japan,steel,2050,79013000,1.07,84543910,0.0532687651,4208924.9368463,80334985.0631537,74804075.0631537,57419209.2175,21593790.7825,17384865.8456537,0.767594668726584167635812908,26966500000,469.6424831950011694707819058,469.6424831950011694707819058,518.387026036130850820641019,8164671565.764767597132225344,8164671565.764767597132225344,9012088903.765526563302371009,35131171565.76476759713222534,35131171565.76476759713222534,35978588903.76552656330237101,6017344445.124774841012045961,11,1,1,unclosed_emissions_gap,not_modelled; leakage and replacement production pending,USD,2025 screening proxy,estimated,D,IEA_STEEL_BREAKTHROUGH_2025|IEA_STEEL_ROADMAP_2020|NEDO_H2_STEEL_2026|NGFS_PHASE5_2024|NSC_DB_2025|POSCO_CLIMATE_2026|SBTI_STEEL_PATH_2024|annual_cost_gap_assumptions_mvp,"scenario emissions = official company baseline x sector index; conditional pathway emissions = baseline minus physically available assigned facility abatement at or before the decision year; unclosed gap = max(pathway emissions minus net-zero envelope, zero); implied residual capital = unclosed gap x the identified-pathway base capital per annual tCO2, with low/high scaled by the minimum/maximum company model-case capital intensity relative to base","Sector proxies are scaled to company Scope 1+2 and are not corporate carbon budgets. Implied residual capital is a quality-D extrapolation, not an identified project or financing requirement. Conditional facility reductions are operational, not system abatement; production, leakage and replacement output are not modelled."
LOTTE_CHEMICAL,LOTTE Chemical Corporation,Korea,petrochemicals,2025,5370773,1,5370773,1,5370773,0,0,0,5370773,0,1,0,200,300,500,0,0,0,0,0,0,0,0,0.9267086879300242255630614066,NA,on_envelope_at_common_start,not_modelled; leakage and replacement production pending,USD,2025 screening proxy,estimated,D,IEA_CHEM_NZE_2022|IEA_CTG_2026|IEA_PETCHEM_COST_2018|IEA_PETCHEM_PATH_2018|LOTTE_ESG_2025|MCI_WEST_JAPAN_2026|NGFS_PHASE5_2024|annual_cost_gap_assumptions_mvp,"scenario emissions = official company baseline x sector index; conditional pathway emissions = baseline minus physically available assigned facility abatement at or before the decision year; unclosed gap = max(pathway emissions minus net-zero envelope, zero); implied residual capital = unclosed gap x the identified-pathway base capital per annual tCO2, with low/high scaled by the minimum/maximum company model-case capital intensity relative to base","Sector proxies are scaled to company Scope 1+2 and are not corporate carbon budgets. Implied residual capital is a quality-D extrapolation, not an identified project or financing requirement. Conditional facility reductions are operational, not system abatement; production, leakage and replacement output are not modelled."
LOTTE_CHEMICAL,LOTTE Chemical Corporation,Korea,petrochemicals,2030,5370773,1.075,5773580.975,0.6923076923,3718227.4614971479,2055353.5135028521,1652545.5385028521,0,5370773,1652545.5385028521,0,0,200,300,500,330509107.70057042,495763661.55085563,826272769.25142605,330509107.70057042,495763661.55085563,826272769.25142605,0,0,0.9267086879300242255630614066,NA,unclosed_emissions_gap,not_modelled; leakage and replacement production pending,USD,2025 screening proxy,estimated,D,IEA_CHEM_NZE_2022|IEA_CTG_2026|IEA_PETCHEM_COST_2018|IEA_PETCHEM_PATH_2018|LOTTE_ESG_2025|MCI_WEST_JAPAN_2026|NGFS_PHASE5_2024|annual_cost_gap_assumptions_mvp,"scenario emissions = official company baseline x sector index; conditional pathway emissions = baseline minus physically available assigned facility abatement at or before the decision year; unclosed gap = max(pathway emissions minus net-zero envelope, zero); implied residual capital = unclosed gap x the identified-pathway base capital per annual tCO2, with low/high scaled by the minimum/maximum company model-case capital intensity relative to base","Sector proxies are scaled to company Scope 1+2 and are not corporate carbon budgets. Implied residual capital is a quality-D extrapolation, not an identified project or financing requirement. Conditional facility reductions are operational, not system abatement; production, leakage and replacement output are not modelled."
