sector,route_id,case,transition_lifetime_years,real_discount_rate,capital_recovery_factor,incremental_fixed_opex_fraction_of_transition_capex,annual_capital_and_fixed_opex_factor,incremental_variable_resource_cost_usd_2025_per_operational_tco2e_abated,resource_gap_formula,verified_market_policy_status,support_stress_low,support_stress_base,support_stress_high,support_stress_case_orientation,stress_adjusted_gap_formula,value_type,quality_flag,boundary_note
petrochemicals,petchem_electrified_cracker,low,30,0.03,0.05101925932025258174066204669,0.025,0.07601925932025258174066204669,30,transition_capex_usd_2025 * annual_capital_and_fixed_opex_factor + modelled_operational_abatement_tco2e * variable_resource_cost,not_available_not_zero,0.3,0.490566,0.7,independent_not_paired_with_resource_case,"annual_resource_gap - max(annual_resource_gap, 0) * independently_selected_support_stress_share",Modelled_from_estimated_inputs,D,"Incremental annual proxy only; incumbent cost, early retirement, verified incentives and system abatement are not modelled. Stress-adjusted gap is not realised net gap."
petrochemicals,petchem_electrified_cracker,base,25,0.05,0.07095245729922962676807129719,0.0375,0.1084524572992296267680712972,80,transition_capex_usd_2025 * annual_capital_and_fixed_opex_factor + modelled_operational_abatement_tco2e * variable_resource_cost,not_available_not_zero,0.3,0.490566,0.7,independent_not_paired_with_resource_case,"annual_resource_gap - max(annual_resource_gap, 0) * independently_selected_support_stress_share",Modelled_from_estimated_inputs,D,"Incremental annual proxy only; incumbent cost, early retirement, verified incentives and system abatement are not modelled. Stress-adjusted gap is not realised net gap."
petrochemicals,petchem_electrified_cracker,high,20,0.07,0.09439292574325569517081175958,0.05,0.1443929257432556951708117596,160,transition_capex_usd_2025 * annual_capital_and_fixed_opex_factor + modelled_operational_abatement_tco2e * variable_resource_cost,not_available_not_zero,0.3,0.490566,0.7,independent_not_paired_with_resource_case,"annual_resource_gap - max(annual_resource_gap, 0) * independently_selected_support_stress_share",Modelled_from_estimated_inputs,D,"Incremental annual proxy only; incumbent cost, early retirement, verified incentives and system abatement are not modelled. Stress-adjusted gap is not realised net gap."
steel,steel_eaf_efficiency,low,15,0.03,0.08376658046228803949091280824,0,0.08376658046228803949091280824,-20,transition_capex_usd_2025 * annual_capital_and_fixed_opex_factor + modelled_operational_abatement_tco2e * variable_resource_cost,not_available_not_zero,0,0.05,0.15,independent_not_paired_with_resource_case,"annual_resource_gap - max(annual_resource_gap, 0) * independently_selected_support_stress_share",Modelled_from_estimated_inputs,D,"Incremental annual proxy only; incumbent cost, early retirement, verified incentives and system abatement are not modelled. Stress-adjusted gap is not realised net gap."
steel,steel_eaf_efficiency,base,12,0.05,0.1128254100208153991016925046,0.01,0.1228254100208153991016925046,0,transition_capex_usd_2025 * annual_capital_and_fixed_opex_factor + modelled_operational_abatement_tco2e * variable_resource_cost,not_available_not_zero,0,0.05,0.15,independent_not_paired_with_resource_case,"annual_resource_gap - max(annual_resource_gap, 0) * independently_selected_support_stress_share",Modelled_from_estimated_inputs,D,"Incremental annual proxy only; incumbent cost, early retirement, verified incentives and system abatement are not modelled. Stress-adjusted gap is not realised net gap."
steel,steel_eaf_efficiency,high,10,0.07,0.1423775027273647149333729175,0.02,0.1623775027273647149333729175,20,transition_capex_usd_2025 * annual_capital_and_fixed_opex_factor + modelled_operational_abatement_tco2e * variable_resource_cost,not_available_not_zero,0,0.05,0.15,independent_not_paired_with_resource_case,"annual_resource_gap - max(annual_resource_gap, 0) * independently_selected_support_stress_share",Modelled_from_estimated_inputs,D,"Incremental annual proxy only; incumbent cost, early retirement, verified incentives and system abatement are not modelled. Stress-adjusted gap is not realised net gap."
steel,steel_h2_dri_eaf,low,30,0.03,0.05101925932025258174066204669,0.015,0.06601925932025258174066204669,20,transition_capex_usd_2025 * annual_capital_and_fixed_opex_factor + modelled_operational_abatement_tco2e * variable_resource_cost,not_available_not_zero,0,0.25,0.5,independent_not_paired_with_resource_case,"annual_resource_gap - max(annual_resource_gap, 0) * independently_selected_support_stress_share",Modelled_from_estimated_inputs,D,"Incremental annual proxy only; incumbent cost, early retirement, verified incentives and system abatement are not modelled. Stress-adjusted gap is not realised net gap."
steel,steel_h2_dri_eaf,base,25,0.05,0.07095245729922962676807129719,0.025,0.09595245729922962676807129719,60,transition_capex_usd_2025 * annual_capital_and_fixed_opex_factor + modelled_operational_abatement_tco2e * variable_resource_cost,not_available_not_zero,0,0.25,0.5,independent_not_paired_with_resource_case,"annual_resource_gap - max(annual_resource_gap, 0) * independently_selected_support_stress_share",Modelled_from_estimated_inputs,D,"Incremental annual proxy only; incumbent cost, early retirement, verified incentives and system abatement are not modelled. Stress-adjusted gap is not realised net gap."
steel,steel_h2_dri_eaf,high,20,0.07,0.09439292574325569517081175958,0.04,0.1343929257432556951708117596,120,transition_capex_usd_2025 * annual_capital_and_fixed_opex_factor + modelled_operational_abatement_tco2e * variable_resource_cost,not_available_not_zero,0,0.25,0.5,independent_not_paired_with_resource_case,"annual_resource_gap - max(annual_resource_gap, 0) * independently_selected_support_stress_share",Modelled_from_estimated_inputs,D,"Incremental annual proxy only; incumbent cost, early retirement, verified incentives and system abatement are not modelled. Stress-adjusted gap is not realised net gap."
steel,steel_scrap_eaf,low,30,0.03,0.05101925932025258174066204669,0.01,0.06101925932025258174066204669,-10,transition_capex_usd_2025 * annual_capital_and_fixed_opex_factor + modelled_operational_abatement_tco2e * variable_resource_cost,not_available_not_zero,0,0.1,0.25,independent_not_paired_with_resource_case,"annual_resource_gap - max(annual_resource_gap, 0) * independently_selected_support_stress_share",Modelled_from_estimated_inputs,D,"Incremental annual proxy only; incumbent cost, early retirement, verified incentives and system abatement are not modelled. Stress-adjusted gap is not realised net gap."
steel,steel_scrap_eaf,base,25,0.05,0.07095245729922962676807129719,0.02,0.09095245729922962676807129719,10,transition_capex_usd_2025 * annual_capital_and_fixed_opex_factor + modelled_operational_abatement_tco2e * variable_resource_cost,not_available_not_zero,0,0.1,0.25,independent_not_paired_with_resource_case,"annual_resource_gap - max(annual_resource_gap, 0) * independently_selected_support_stress_share",Modelled_from_estimated_inputs,D,"Incremental annual proxy only; incumbent cost, early retirement, verified incentives and system abatement are not modelled. Stress-adjusted gap is not realised net gap."
steel,steel_scrap_eaf,high,20,0.07,0.09439292574325569517081175958,0.03,0.1243929257432556951708117596,40,transition_capex_usd_2025 * annual_capital_and_fixed_opex_factor + modelled_operational_abatement_tco2e * variable_resource_cost,not_available_not_zero,0,0.1,0.25,independent_not_paired_with_resource_case,"annual_resource_gap - max(annual_resource_gap, 0) * independently_selected_support_stress_share",Modelled_from_estimated_inputs,D,"Incremental annual proxy only; incumbent cost, early retirement, verified incentives and system abatement are not modelled. Stress-adjusted gap is not realised net gap."
