company_id,company_name,country,sector,factor,factor_definition,annual_resource_gap_low_usd_2025,annual_resource_gap_base_usd_2025,annual_resource_gap_high_usd_2025,downside_change_vs_base_usd_2025,upside_change_vs_base_usd_2025,high_to_low_span_usd_2025,high_over_low_multiple,pathway_scope_abatement_tco2e,unit,currency,price_year,value_type,quality_flag,source_id,formula_or_method,boundary_note
POSCO,POSCO,Korea,steel,capital_annualisation,"Route life, analytical discount rate and incremental fixed-OPEX factor vary together; base CAPEX, abatement and variable-resource proxy stay fixed.",2319817212.186555661008623595,2714869898.481944734506158204,3218449931.575341897648562466,-395052686.295389073497534609,503580033.093397163142404262,898632719.388786236639938871,1.387372209615504722800007956,27360541.87507690289767957814,USD_2025/year,USD,2025 screening proxy,estimated,D,IEA_STEEL_BREAKTHROUGH_2025|NEDO_H2_STEEL_2026|POSCO_CLIMATE_2026|POSCO_ESG_2025|annual_cost_gap_assumptions_mvp,one-factor cases hold the base physical pathway scope fixed and vary either the route annualisation factor or variable-resource proxy; combined case applies existing low/base/high facility model outputs scaled by the base gap assignment ratio,"Ranges are deterministic sensitivities, not probabilities or forecast volatility. Verified incentives, incumbent costs and system abatement remain unavailable."
POSCO,POSCO,Korea,steel,variable_resource,"Incremental hydrogen, electricity, scrap/feedstock and variable-OPEX proxy varies; base CAPEX, abatement and annualisation stay fixed.",1696198223.480406676552566642,2714869898.481944734506158204,4242877410.984251821436545548,-1018671675.001538057953591562,1528007512.502307086930387344,2546679187.503845144883978906,2.501404229912673672592136469,27360541.87507690289767957814,USD_2025/year,USD,2025 screening proxy,estimated,D,IEA_STEEL_BREAKTHROUGH_2025|NEDO_H2_STEEL_2026|POSCO_CLIMATE_2026|POSCO_ESG_2025|annual_cost_gap_assumptions_mvp,one-factor cases hold the base physical pathway scope fixed and vary either the route annualisation factor or variable-resource proxy; combined case applies existing low/base/high facility model outputs scaled by the base gap assignment ratio,"Ranges are deterministic sensitivities, not probabilities or forecast volatility. Verified incentives, incumbent costs and system abatement remain unavailable."
POSCO,POSCO,Korea,steel,combined_model_case,"Existing low/base/high technology, activity, abatement and cost assumptions vary together on the fixed base pathway allocation scope.",729193685.2234486898705537946,2714869898.481944734506158204,7104287168.848657591686550357,-1985676213.258496044635604409,4389417270.366712857180392153,6375093483.625208901815996562,9.742661398215033453564512619,27360541.87507690289767957814,USD_2025/year,USD,2025 screening proxy,estimated,D,IEA_STEEL_BREAKTHROUGH_2025|NEDO_H2_STEEL_2026|POSCO_CLIMATE_2026|POSCO_ESG_2025|annual_cost_gap_assumptions_mvp,one-factor cases hold the base physical pathway scope fixed and vary either the route annualisation factor or variable-resource proxy; combined case applies existing low/base/high facility model outputs scaled by the base gap assignment ratio,"Ranges are deterministic sensitivities, not probabilities or forecast volatility. Verified incentives, incumbent costs and system abatement remain unavailable."
NIPPON_STEEL,Nippon Steel Corporation,Japan,steel,capital_annualisation,"Route life, analytical discount rate and incremental fixed-OPEX factor vary together; base CAPEX, abatement and variable-resource proxy stay fixed.",5209580509.850968461618953753,6017344445.124774841012045961,7054018813.937011517558855388,-807763935.273806379393092208,1036674368.812236676546809427,1844438304.086043055939901635,1.35404737494666480946427953,57419209.2175,USD_2025/year,USD,2025 screening proxy,estimated,D,IEA_STEEL_BREAKTHROUGH_2025|NEDO_H2_STEEL_2026|NSC_DB_2025|POSCO_CLIMATE_2026|annual_cost_gap_assumptions_mvp,one-factor cases hold the base physical pathway scope fixed and vary either the route annualisation factor or variable-resource proxy; combined case applies existing low/base/high facility model outputs scaled by the base gap assignment ratio,"Ranges are deterministic sensitivities, not probabilities or forecast volatility. Verified incentives, incumbent costs and system abatement remain unavailable."
NIPPON_STEEL,Nippon Steel Corporation,Japan,steel,variable_resource,"Incremental hydrogen, electricity, scrap/feedstock and variable-OPEX proxy varies; base CAPEX, abatement and annualisation stay fixed.",3726239278.834774841012045961,6017344445.124774841012045961,9451170593.354774841012045961,-2291105166.29,3433826148.23,5724931314.52,2.536383169765263255787520349,57419209.2175,USD_2025/year,USD,2025 screening proxy,estimated,D,IEA_STEEL_BREAKTHROUGH_2025|NEDO_H2_STEEL_2026|NSC_DB_2025|POSCO_CLIMATE_2026|annual_cost_gap_assumptions_mvp,one-factor cases hold the base physical pathway scope fixed and vary either the route annualisation factor or variable-resource proxy; combined case applies existing low/base/high facility model outputs scaled by the base gap assignment ratio,"Ranges are deterministic sensitivities, not probabilities or forecast volatility. Verified incentives, incumbent costs and system abatement remain unavailable."
NIPPON_STEEL,Nippon Steel Corporation,Japan,steel,combined_model_case,"Existing low/base/high technology, activity, abatement and cost assumptions vary together on the fixed base pathway allocation scope.",1757866579.85549366320332334,6017344445.124774841012045961,15441008505.40074742367995098,-4259477865.269281177808722621,9423664060.275972582667905019,13683141925.54525376047662764,8.783947930035784377709810507,57419209.2175,USD_2025/year,USD,2025 screening proxy,estimated,D,IEA_STEEL_BREAKTHROUGH_2025|NEDO_H2_STEEL_2026|NSC_DB_2025|POSCO_CLIMATE_2026|annual_cost_gap_assumptions_mvp,one-factor cases hold the base physical pathway scope fixed and vary either the route annualisation factor or variable-resource proxy; combined case applies existing low/base/high facility model outputs scaled by the base gap assignment ratio,"Ranges are deterministic sensitivities, not probabilities or forecast volatility. Verified incentives, incumbent costs and system abatement remain unavailable."
LOTTE_CHEMICAL,LOTTE Chemical Corporation,Korea,petrochemicals,capital_annualisation,"Route life, analytical discount rate and incremental fixed-OPEX factor vary together; base CAPEX, abatement and variable-resource proxy stay fixed.",255839477.2557580862784823271,280053172.0340803514547537868,306885294.2829458705760766574,-24213694.7783222651762714597,26832122.2488655191213228706,51045817.0271877842975943303,1.199522831951998583192413055,2488571,USD_2025/year,USD,2025 screening proxy,estimated,D,IEA_CTG_2026|IEA_PETCHEM_COST_2018|LOTTE_ESG_2025|MCI_WEST_JAPAN_2026|annual_cost_gap_assumptions_mvp,one-factor cases hold the base physical pathway scope fixed and vary either the route annualisation factor or variable-resource proxy; combined case applies existing low/base/high facility model outputs scaled by the base gap assignment ratio,"Ranges are deterministic sensitivities, not probabilities or forecast volatility. Verified incentives, incumbent costs and system abatement remain unavailable."
LOTTE_CHEMICAL,LOTTE Chemical Corporation,Korea,petrochemicals,variable_resource,"Incremental hydrogen, electricity, scrap/feedstock and variable-OPEX proxy varies; base CAPEX, abatement and annualisation stay fixed.",155624622.0340803514547537868,280053172.0340803514547537868,479138852.0340803514547537868,-124428550,199085680,323514230,3.078811345990953659765345646,2488571,USD_2025/year,USD,2025 screening proxy,estimated,D,IEA_CTG_2026|IEA_PETCHEM_COST_2018|LOTTE_ESG_2025|MCI_WEST_JAPAN_2026|annual_cost_gap_assumptions_mvp,one-factor cases hold the base physical pathway scope fixed and vary either the route annualisation factor or variable-resource proxy; combined case applies existing low/base/high facility model outputs scaled by the base gap assignment ratio,"Ranges are deterministic sensitivities, not probabilities or forecast volatility. Verified incentives, incumbent costs and system abatement remain unavailable."
LOTTE_CHEMICAL,LOTTE Chemical Corporation,Korea,petrochemicals,combined_model_case,"Existing low/base/high technology, activity, abatement and cost assumptions vary together on the fixed base pathway allocation scope.",67495796.90230323451139293082,280053172.0340803514547537868,808972337.326873698010845534,-212557375.131777116943360856,528919165.2927933465560917472,741476540.4245704634994526032,11.98552168363639589581682355,2488571,USD_2025/year,USD,2025 screening proxy,estimated,D,IEA_CTG_2026|IEA_PETCHEM_COST_2018|LOTTE_ESG_2025|MCI_WEST_JAPAN_2026|annual_cost_gap_assumptions_mvp,one-factor cases hold the base physical pathway scope fixed and vary either the route annualisation factor or variable-resource proxy; combined case applies existing low/base/high facility model outputs scaled by the base gap assignment ratio,"Ranges are deterministic sensitivities, not probabilities or forecast volatility. Verified incentives, incumbent costs and system abatement remain unavailable."
MITSUI_CHEMICALS,"Mitsui Chemicals, Inc.",Japan,petrochemicals,capital_annualisation,"Route life, analytical discount rate and incremental fixed-OPEX factor vary together; base CAPEX, abatement and variable-resource proxy stay fixed.",193831966.7664993907238691886,212177017.0765968671014290651,232505869.6985770228599770211,-18345050.3100974763775598765,20328852.621980155758547956,38673902.9320776321361078325,1.199522831951998583192413055,1885419,USD_2025/year,USD,2025 screening proxy,estimated,D,IEA_CTG_2026|IEA_PETCHEM_COST_2018|MCI_ESG_2025|MCI_SHK_2023_CORP|MCI_SHK_2023_FAC|MCI_WEST_JAPAN_2026|MCI_WORKS_2026|annual_cost_gap_assumptions_mvp,one-factor cases hold the base physical pathway scope fixed and vary either the route annualisation factor or variable-resource proxy; combined case applies existing low/base/high facility model outputs scaled by the base gap assignment ratio,"Ranges are deterministic sensitivities, not probabilities or forecast volatility. Verified incentives, incumbent costs and system abatement remain unavailable."
