"record_id","company_id","company_name","country","sector","reporting_period","reporting_start","reporting_end","organisational_boundary","geographic_boundary","boundary_summary","emissions_scope","metric","value","unit","value_type","assurance_status","source_id","source_url","source_location","quality_note","facility_reconciled"
"POSCO_2025_S12","POSCO","POSCO","Korea","steel","CY2025","2025-01-01","2025-12-31","POSCO steel company; domestic worksites","Korea","POSCO domestic worksites: two integrated steel mills, four re-rolling mills, and four processing centers","Scope 1 + Scope 2","ghg_emissions_scope_1_2",69846050,"tCO2e","Reported","Official company disclosure; assurance status not separately encoded for this row","POSCO_ESG_2025","https://sustainability.posco.com/S91/S91F10/eng/cmspage.do?mmcd=2682093497003371","Domestic Worksites > GHG Emissions table > 2025 column","Corporate domestic anchor. The total differs by 6 tCO2e from the sum of the separately displayed rounded Scope 1 and Scope 2 values. Do not use for facility comparison until GIR reconciliation is complete.","no"
"POSCO_2025_S12_INTENSITY","POSCO","POSCO","Korea","steel","CY2025","2025-01-01","2025-12-31","POSCO steel company; domestic worksites producing steel products","Korea","POSCO domestic steel-product boundary; re-rolling mills and processing centers that do not produce crude steel are excluded from the source's intensity calculation","Scope 1 + Scope 2","ghg_emissions_scope_1_2_intensity_per_steel_product",2.02,"tCO2e/t steel product","Reported","Official company disclosure; assurance status not separately encoded for this row","POSCO_ESG_2025","https://sustainability.posco.com/S91/S91F10/eng/cmspage.do?mmcd=2682093497003371","Domestic Worksites > GHG Emissions table > 2025 column and footnote 2","Reported intensity is retained as an independent reasonableness check and must not be multiplied into facility output before the production-denominator definition is reconciled.","no"
"NSC_FY2024_GHG_TOTAL","NIPPON_STEEL","Nippon Steel Corporation","Japan","steel","FY2024","2024-04-01","2025-03-31","Nippon Steel Corporation; non-consolidated","NA","Non-consolidated company boundary stated by the source; geographic split is not separately stated in the cited table","All reported operational GHG gases","ghg_emissions_total",79013,"ktCO2e","Reported","Official company disclosure; assurance status not separately encoded for this row","NSC_DB_2025","https://www-zam.nipponsteel.com/en/ir/library/pdf/nsc_en_ir_2025_databook.pdf","p. 22, Breakdown of Nippon Steel's GHG emissions, FY2024 column","Includes source-defined emissions associated with purchased coke and oxygen and excludes steelworks IPP operations. This boundary is not directly comparable with the other companies until the domestic works reconciliation is complete.","no"
"NSC_FY2024_ENERGY_CO2","NIPPON_STEEL","Nippon Steel Corporation","Japan","steel","FY2024","2024-04-01","2025-03-31","Nippon Steel Corporation; non-consolidated","NA","Non-consolidated company boundary stated by the source; geographic split is not separately stated in the cited table","Energy-derived CO2","energy_derived_co2_emissions",75349,"ktCO2e","Reported","Official company disclosure; assurance status not separately encoded for this row","NSC_DB_2025","https://www-zam.nipponsteel.com/en/ir/library/pdf/nsc_en_ir_2025_databook.pdf","p. 22, Breakdown of Nippon Steel's GHG emissions, FY2024 column","The source labels the FY2024 purchased-electricity CO2 factor as preliminary because the FY2023 factor is used. Retain separately from total GHG; do not treat the difference as a single process category.","no"
"LOTTE_2025_PARENT_S12","LOTTE_CHEMICAL","LOTTE Chemical Corporation","Korea","petrochemicals","CY2025","2025-01-01","2025-12-31","LOTTE Chemical Corporation; parent company","Korea ETS-reporting parent-company sites","Parent-company Scope 1+2 emissions subject to Korea ETS statement and verification","Scope 1 + Scope 2","ghg_emissions_scope_1_2",5370773,"tCO2e","Reported","Reasonable assurance under Korea ETS verification rules","LOTTE_ESG_2025","https://www.lottechem.com/pdfRead.do?fileId=FILE_260804085927106&voNm=esgVo&category=en","p. 117, ESG Data_Environment, Direct and Indirect GHG Emissions; p. 148, GHG Assurance Statement","Preferred LOTTE corporate anchor for the primary parent-company reconstruction. The assurance statement notes that facility-level integer truncation can create small total differences. Not yet allocated to Yeosu, Daesan, and Ulsan.","no"
"LOTTE_2025_SELECTED_CONSOL_S12","LOTTE_CHEMICAL","LOTTE Chemical Corporation","Korea","petrochemicals","CY2025","2025-01-01","2025-12-31","Selected consolidated-company boundary: LOTTE Chemical, LOTTE Fine Chemical, and LOTTE Energy Materials","Named Korean consolidated companies; site-level geographic contribution not separately reported in the cited table","Scope 1+2 for the parent and two named consolidated companies only","Scope 1 + Scope 2","ghg_emissions_scope_1_2",6117646,"tCO2e","Reported","Official company disclosure; assurance status not separately encoded for the combined row","LOTTE_ESG_2025","https://www.lottechem.com/pdfRead.do?fileId=FILE_260804085927106&voNm=esgVo&category=en","p. 50, Climate-related Metrics (A) Total GHG Emissions, 2025 column","Secondary boundary only; do not compare this selected consolidated total with parent-only or non-consolidated peers. The report states that totals may differ from Scope components because facility values are truncated.","no"
"MCI_FY2024_PARENT_S1","MITSUI_CHEMICALS","Mitsui Chemicals, Inc.","Japan","petrochemicals","FY2024","2024-04-01","2025-03-31","Mitsui Chemicals, Inc.; parent company","NA","Parent-company boundary; geographic split is not separately stated in the summary table","Scope 1","ghg_emissions_scope_1",3383,"ktCO2e","Reported","Third-party assured (source marks value with assurance symbol)","MCI_ESG_2025","https://jp.mitsuichemicals.com/content/dam/mitsuichemicals/sites/mci/documents/sustainability/report/esg2025web_e_part06.pdf.coredownload.pdf","p. 2, ESG Performance Data > Environment > GHG, FY2024 column","Reported parent-company component. Retain at source precision of one ktCO2e and do not infer facility precision.","no"
"MCI_FY2024_PARENT_S2","MITSUI_CHEMICALS","Mitsui Chemicals, Inc.","Japan","petrochemicals","FY2024","2024-04-01","2025-03-31","Mitsui Chemicals, Inc.; parent company","NA","Parent-company boundary; geographic split is not separately stated in the summary table","Scope 2","ghg_emissions_scope_2",486,"ktCO2e","Reported","Third-party assured (source marks value with assurance symbol)","MCI_ESG_2025","https://jp.mitsuichemicals.com/content/dam/mitsuichemicals/sites/mci/documents/sustainability/report/esg2025web_e_part06.pdf.coredownload.pdf","p. 2, ESG Performance Data > Environment > GHG, FY2024 column","Reported parent-company component. Retain at source precision of one ktCO2e and do not infer facility precision.","no"
"MCI_FY2024_PARENT_S12","MITSUI_CHEMICALS","Mitsui Chemicals, Inc.","Japan","petrochemicals","FY2024","2024-04-01","2025-03-31","Mitsui Chemicals, Inc.; parent company","NA","Parent-company boundary; geographic split is not separately stated in the summary table","Scope 1 + Scope 2","ghg_emissions_scope_1_2",3869,"ktCO2e","Reported","Official reported total; component values used to support it are third-party assured","MCI_ESG_2025","https://jp.mitsuichemicals.com/content/dam/mitsuichemicals/sites/mci/documents/sustainability/report/esg2025web_e_part06.pdf.coredownload.pdf","p. 6, Input to Output Data (FY2024), Mitsui Chemicals Inc. output","Official parent-company total and the preferred initial Mitsui reconciliation anchor. It equals the displayed parent Scope 1 and Scope 2 components at the source's one-kt precision.","no"
"MCI_FY2024_GROUP_S12","MITSUI_CHEMICALS","Mitsui Chemicals, Inc.","Japan","petrochemicals","FY2024","2024-04-01","2025-03-31","Mitsui Chemicals Group","Global","Mitsui Chemicals, Inc. plus listed domestic and overseas subsidiaries and affiliates","Scope 1 + Scope 2","ghg_emissions_scope_1_2",4428,"ktCO2e","Reported","Official company disclosure; assurance applies to marked components rather than this combined row as encoded here","MCI_ESG_2025","https://jp.mitsuichemicals.com/content/dam/mitsuichemicals/sites/mci/documents/sustainability/report/esg2025web_e_part06.pdf.coredownload.pdf","p. 2, ESG Performance Data > Environment > GHG; p. 6, Input to Output Data (FY2024)","Secondary global-group boundary only. The displayed rounded group Scope 1 and Scope 2 components sum to 4427 ktCO2e while the source reports 4428 ktCO2e total; preserve the reported total and treat the 1 kt difference as rounding.","no"
