"facility_id","selected_route","decision_horizon","readiness_year","facility_status","status_basis","action_view","modelled_flag","capex_driver","capex_intensity_low","capex_intensity_base","capex_intensity_high","capex_unit","abatement_fraction_low","abatement_fraction_base","abatement_fraction_high","currency","price_year","value_type","quality_flag","source_id","formula_or_method","binding_constraint","dominant_common_factor","notes"
"KR_POSCO_POHANG","steel_h2_dri_eaf",2040,2035,"contract-dependent","screening placeholder; full cost-gap and robustness test pending","contract before commitment","yes","activity",500,800,1200,"USD_2025/t annual output",0.50,0.75,0.95,"USD","2025","Estimated","D","POSCO_ESG_2025|POSCO_CLIMATE_2026|NEDO_H2_STEEL_2026|IEA_STEEL_BREAKTHROUGH_2025","Case CAPEX equals case facility activity times analyst route intensity; operational abatement equals case baseline GHG times case reduction fraction","commercial HyREX scale; clean hydrogen and power infrastructure","hydrogen and clean electricity","CAPEX intensity is an output-first screening proxy, not a published POSCO or IEA project cost."
"KR_POSCO_GWANGYANG","steel_scrap_eaf",2030,2026,"price-conditional","screening placeholder; full cost-gap and robustness test pending","allocate/prepare now subject to power and scrap price","yes","activity",150,300,500,"USD_2025/t annual output",0.60,0.75,0.75,"USD","2025","Estimated","D","POSCO_ESG_2025|POSCO_CLIMATE_2026","Case CAPEX equals case facility activity times analyst EAF retrofit/new-build intensity; operational abatement equals case baseline GHG times case reduction fraction","scrap quantity/quality and clean-power connection","scrap and electricity","2026 timing and up-to-75% reduction are official POSCO markers; CAPEX and downside range are analyst estimates."
"JP_NSC_MURORAN","steel_h2_dri_eaf",2040,2035,"contract-dependent","screening placeholder; full cost-gap and robustness test pending","contract before commitment","yes","activity",500,800,1200,"USD_2025/t annual output",0.50,0.75,0.95,"USD","2025","Estimated","D","NSC_DB_2025|NEDO_H2_STEEL_2026|IEA_STEEL_BREAKTHROUGH_2025","Case CAPEX equals reported case activity times analyst H2-DRI-EAF intensity; operational abatement equals allocated case GHG times case reduction fraction","hydrogen, DRI-grade ore and clean-power infrastructure","hydrogen and clean electricity","Screening route; blast-furnace timing and product-quality constraints remain unresolved."
"JP_NSC_KASHIMA","steel_h2_dri_eaf",2040,2035,"contract-dependent","screening placeholder; full cost-gap and robustness test pending","contract before commitment","yes","activity",500,800,1200,"USD_2025/t annual output",0.50,0.75,0.95,"USD","2025","Estimated","D","NSC_DB_2025|NEDO_H2_STEEL_2026|IEA_STEEL_BREAKTHROUGH_2025","Case CAPEX equals reported case activity times analyst H2-DRI-EAF intensity; operational abatement equals allocated case GHG times case reduction fraction","hydrogen, DRI-grade ore and clean-power infrastructure","hydrogen and clean electricity","Screening route; blast-furnace timing and product-quality constraints remain unresolved."
"JP_NSC_KIMITSU","steel_h2_dri_eaf",2040,2035,"contract-dependent","screening placeholder; full cost-gap and robustness test pending","contract before commitment","yes","activity",500,800,1200,"USD_2025/t annual output",0.50,0.75,0.95,"USD","2025","Estimated","D","NSC_DB_2025|NEDO_H2_STEEL_2026|IEA_STEEL_BREAKTHROUGH_2025","Case CAPEX equals reported case activity times analyst H2-DRI-EAF intensity; operational abatement equals allocated case GHG times case reduction fraction","hydrogen, DRI-grade ore and clean-power infrastructure","hydrogen and clean electricity","Screening route; blast-furnace timing and product-quality constraints remain unresolved."
"JP_NSC_NAGOYA","steel_h2_dri_eaf",2040,2035,"contract-dependent","screening placeholder; full cost-gap and robustness test pending","contract before commitment","yes","activity",500,800,1200,"USD_2025/t annual output",0.50,0.75,0.95,"USD","2025","Estimated","D","NSC_DB_2025|NEDO_H2_STEEL_2026|IEA_STEEL_BREAKTHROUGH_2025","Case CAPEX equals reported case activity times analyst H2-DRI-EAF intensity; operational abatement equals allocated case GHG times case reduction fraction","hydrogen, DRI-grade ore and clean-power infrastructure","hydrogen and clean electricity","Screening route; blast-furnace timing and product-quality constraints remain unresolved."
"JP_NSC_WAKAYAMA","steel_h2_dri_eaf",2040,2035,"contract-dependent","screening placeholder; full cost-gap and robustness test pending","contract before commitment","yes","activity",500,800,1200,"USD_2025/t annual output",0.50,0.75,0.95,"USD","2025","Estimated","D","NSC_DB_2025|NEDO_H2_STEEL_2026|IEA_STEEL_BREAKTHROUGH_2025","Case CAPEX equals reported case activity times analyst H2-DRI-EAF intensity; operational abatement equals allocated case GHG times case reduction fraction","hydrogen, DRI-grade ore and clean-power infrastructure","hydrogen and clean electricity","Screening route; blast-furnace timing and product-quality constraints remain unresolved."
"JP_NSC_OSAKA","steel_eaf_efficiency",2030,2030,"price-conditional","screening placeholder; route boundary and full cost-gap test pending","allocate/prepare now subject to electricity price","yes","activity",25,50,100,"USD_2025/t annual output",0.05,0.10,0.15,"USD","2025","Estimated","D","NSC_DB_2025|POSCO_CLIMATE_2026","Case CAPEX equals reported activity times analyst efficiency intensity; operational abatement equals allocated case GHG times analyst range around the 10% POSCO scrap-use marker","route/equipment definition and electricity sourcing","electricity","Cross-company proxy used only for an output-first specialty/electric-route screen."
"JP_NSC_HIROHATA","steel_eaf_efficiency",2030,2030,"price-conditional","screening placeholder; route boundary and full cost-gap test pending","allocate/prepare now subject to electricity price","yes","activity",25,50,100,"USD_2025/t annual output",0.05,0.10,0.15,"USD","2025","Estimated","D","NSC_DB_2025|POSCO_CLIMATE_2026","Case CAPEX equals reported activity times analyst efficiency intensity; operational abatement equals allocated case GHG times analyst range around the 10% POSCO scrap-use marker","route/equipment definition and electricity sourcing","electricity","Cross-company proxy used only for an output-first specialty/electric-route screen."
"JP_NSC_HIKARI","steel_eaf_efficiency",2030,2030,"price-conditional","screening placeholder; route boundary and full cost-gap test pending","allocate/prepare now subject to electricity price","yes","activity",25,50,100,"USD_2025/t annual output",0.05,0.10,0.15,"USD","2025","Estimated","D","NSC_DB_2025|POSCO_CLIMATE_2026","Case CAPEX equals reported activity times analyst efficiency intensity; operational abatement equals allocated case GHG times analyst range around the 10% POSCO scrap-use marker","route/equipment definition and electricity sourcing","electricity","Cross-company proxy used only for an output-first specialty/electric-route screen."
"JP_NSC_SHUNAN","steel_eaf_efficiency",2030,2030,"price-conditional","screening placeholder; route boundary and full cost-gap test pending","allocate/prepare now subject to electricity price","yes","activity",25,50,100,"USD_2025/t annual output",0.05,0.10,0.15,"USD","2025","Estimated","D","NSC_DB_2025|POSCO_CLIMATE_2026","Case CAPEX equals reported activity times analyst efficiency intensity; operational abatement equals allocated case GHG times analyst range around the 10% POSCO scrap-use marker","route/equipment definition and electricity sourcing","electricity","Cross-company proxy used only for an output-first specialty/electric-route screen."
"JP_NSC_YAWATA","steel_h2_dri_eaf",2040,2035,"contract-dependent","screening placeholder; full cost-gap and robustness test pending","contract before commitment","yes","activity",500,800,1200,"USD_2025/t annual output",0.50,0.75,0.95,"USD","2025","Estimated","D","NSC_DB_2025|NEDO_H2_STEEL_2026|IEA_STEEL_BREAKTHROUGH_2025","Case CAPEX equals reported case activity times analyst H2-DRI-EAF intensity; operational abatement equals allocated case GHG times case reduction fraction","hydrogen, DRI-grade ore and clean-power infrastructure","hydrogen and clean electricity","Screening route; blast-furnace timing and product-quality constraints remain unresolved."
"JP_NSC_OITA","steel_h2_dri_eaf",2040,2035,"contract-dependent","screening placeholder; full cost-gap and robustness test pending","contract before commitment","yes","activity",500,800,1200,"USD_2025/t annual output",0.50,0.75,0.95,"USD","2025","Estimated","D","NSC_DB_2025|NEDO_H2_STEEL_2026|IEA_STEEL_BREAKTHROUGH_2025","Case CAPEX equals reported case activity times analyst H2-DRI-EAF intensity; operational abatement equals allocated case GHG times case reduction fraction","hydrogen, DRI-grade ore and clean-power infrastructure","hydrogen and clean electricity","Screening route; blast-furnace timing and product-quality constraints remain unresolved."
"KR_LOTTE_YEOSU_BASIC","petchem_electrified_cracker",2040,2035,"level-support-dependent","screening placeholder; no full levelised-cost or support test","secure level support before commitment","yes","abatement",200,300,500,"USD_2025/(tCO2 annual abatement)",0.30,0.50,0.70,"USD","2025","Estimated","D","LOTTE_ESG_2025|IEA_CTG_2026|IEA_PETCHEM_COST_2018|MCI_WEST_JAPAN_2026","Operational abatement equals reported case GHG times case reduction fraction; CAPEX equals operational abatement times analyst capital-per-annual-abatement proxy","furnace coverage, clean-power connection and product allocation","electricity and technology cost","Capital intensity is an analyst 2025 USD screening range informed by the multi-company western-Japan project ratio; not a LOTTE quote."
"KR_LOTTE_YEOSU_ADVANCED","not_modelled_data_gap","NA","NA","not_modelled","Outside primary cracker scope in seed inventory","uncovered residual","no","none",0,0,0,"not_applicable",0,0,0,"not_applicable","not_applicable","NA","D","LOTTE_ESG_2025","Zero modelled capital and abatement; emissions retained in uncovered residual","primary-route scope not established","not_assessed","Reported emissions retained; no transition result inferred."
"KR_LOTTE_DAESAN","petchem_electrified_cracker",2040,2035,"level-support-dependent","screening placeholder; no full levelised-cost or support test","secure level support before commitment","yes","abatement",200,300,500,"USD_2025/(tCO2 annual abatement)",0.30,0.50,0.70,"USD","2025","Estimated","D","LOTTE_ESG_2025|IEA_CTG_2026|IEA_PETCHEM_COST_2018|MCI_WEST_JAPAN_2026","Operational abatement equals reported case GHG times case reduction fraction; CAPEX equals operational abatement times analyst capital-per-annual-abatement proxy","furnace coverage, clean-power connection and post-transaction ownership","electricity, technology cost and ownership","Pre-2026 ownership baseline; ownership restructuring requires a separate scenario."
"KR_LOTTE_ULSAN","petchem_electrified_cracker",2040,2035,"level-support-dependent","screening placeholder; no full levelised-cost or support test","secure level support before commitment","yes","abatement",200,300,500,"USD_2025/(tCO2 annual abatement)",0.30,0.50,0.70,"USD","2025","Estimated","D","LOTTE_ESG_2025|IEA_CTG_2026|IEA_PETCHEM_COST_2018|MCI_WEST_JAPAN_2026","Operational abatement equals reported case GHG times case reduction fraction; CAPEX equals operational abatement times analyst capital-per-annual-abatement proxy","process boundary and clean-power connection","electricity and technology cost","Aromatics/downstream route fit is provisional."
"KR_LOTTE_OTHER","not_modelled_data_gap","NA","NA","not_modelled","Outside primary route scope in seed inventory","uncovered residual","no","none",0,0,0,"not_applicable",0,0,0,"not_applicable","not_applicable","NA","D","LOTTE_ESG_2025","Zero modelled capital and abatement; emissions retained in uncovered residual","facility identity and route not resolved","not_assessed","Reported emissions retained; no transition result inferred."
"JP_MCI_ICHIHARA","petchem_electrified_cracker",2040,2035,"level-support-dependent","screening placeholder; no full levelised-cost or support test","secure level support before commitment","yes","abatement",200,300,500,"USD_2025/(tCO2 annual abatement)",0.30,0.50,0.70,"USD","2025","Estimated","D","MCI_ESG_2025|MCI_WORKS_2026|IEA_CTG_2026|IEA_PETCHEM_COST_2018|MCI_WEST_JAPAN_2026","Operational abatement equals allocated case GHG times case reduction fraction; CAPEX equals operational abatement times analyst capital-per-annual-abatement proxy","cracker attribution, furnace coverage and clean-power connection","electricity and technology cost","Facility emissions are allocated from parent total; result is screening-only."
"JP_MCI_OSAKA","petchem_electrified_cracker",2040,2035,"level-support-dependent","screening placeholder; no full levelised-cost or support test","secure level support before commitment","yes","abatement",200,300,500,"USD_2025/(tCO2 annual abatement)",0.30,0.50,0.70,"USD","2025","Estimated","D","MCI_ESG_2025|MCI_WORKS_2026|IEA_CTG_2026|IEA_PETCHEM_COST_2018|MCI_WEST_JAPAN_2026","Operational abatement equals allocated case GHG times case reduction fraction; CAPEX equals operational abatement times analyst capital-per-annual-abatement proxy","JV attribution, consolidation boundary and clean-power connection","electricity, technology cost and JV rights","Western-Japan project is retained as a validation benchmark; its full JPY 21.2bn is not assigned to Mitsui Osaka."
"JP_MCI_IWAKUNI","petchem_electrified_cracker",2040,2035,"level-support-dependent","screening placeholder; route materiality and support test pending","secure level support before commitment","yes","abatement",200,300,500,"USD_2025/(tCO2 annual abatement)",0.30,0.50,0.70,"USD","2025","Estimated","D","MCI_ESG_2025|MCI_WORKS_2026|IEA_CTG_2026|IEA_PETCHEM_COST_2018|MCI_WEST_JAPAN_2026","Operational abatement equals allocated case GHG times case reduction fraction; CAPEX equals operational abatement times analyst capital-per-annual-abatement proxy","process-route materiality and clean-power connection","electricity and technology cost","Facility emissions and route fit are allocated/estimated."
"JP_MCI_OMUTA","petchem_electrified_cracker",2040,2035,"level-support-dependent","screening placeholder; route materiality and support test pending","secure level support before commitment","yes","abatement",200,300,500,"USD_2025/(tCO2 annual abatement)",0.30,0.50,0.70,"USD","2025","Estimated","D","MCI_ESG_2025|MCI_WORKS_2026|IEA_CTG_2026|IEA_PETCHEM_COST_2018|MCI_WEST_JAPAN_2026","Operational abatement equals allocated case GHG times case reduction fraction; CAPEX equals operational abatement times analyst capital-per-annual-abatement proxy","process-route materiality and clean-power connection","electricity and technology cost","Facility emissions and route fit are allocated/estimated."
"JP_MCI_NAGOYA","not_modelled_data_gap","NA","NA","not_modelled","Outside primary route scope in seed inventory","uncovered residual","no","none",0,0,0,"not_applicable",0,0,0,"not_applicable","not_applicable","NA","D","MCI_ESG_2025|MCI_WORKS_2026","Zero modelled capital and abatement; emissions retained in uncovered residual","primary-route scope and site emissions not resolved","not_assessed","Allocated emissions retained; no transition result inferred."
"JP_MCI_MOBARA","not_modelled_data_gap","NA","NA","not_modelled","Outside primary route scope in seed inventory","uncovered residual","no","none",0,0,0,"not_applicable",0,0,0,"not_applicable","not_applicable","NA","D","MCI_ESG_2025|MCI_WORKS_2026","Zero modelled capital and abatement; emissions retained in uncovered residual","primary-route scope and site emissions not resolved","not_assessed","Allocated emissions retained; no transition result inferred."
"JP_MCI_TOKUYAMA","not_modelled_data_gap","NA","NA","not_modelled","Outside primary route scope in seed inventory","uncovered residual","no","none",0,0,0,"not_applicable",0,0,0,"not_applicable","not_applicable","NA","D","MCI_ESG_2025|MCI_WORKS_2026","Zero modelled capital and abatement; emissions retained in uncovered residual","primary-route scope and site emissions not resolved","not_assessed","Allocated emissions retained; no transition result inferred."
