company_id,company_name,country_code,reported_production_mt,reported_scope12_emissions_mtco2,scenario_id,plan_id,plan_name,is_disclosed_plan,aligned_capex_bn_krw,peak_capex_year,peak_capex_bn_krw,expected_cost_p50_kkrw_per_tco2,expected_cost_p50_bn_krw,p90_cost_kkrw_per_tco2,tcar_kkrw_per_tco2,gross_cost_p50_kkrw_per_tco2,policy_support_dependence_kkrw_per_tco2,electricity_variance_share,hydrogen_variance_share,capex_variance_share,policy_uncertainty_exposure_kkrw_per_tco2,flexibility_value_kkrw_per_tco2,avoided_emissions_mtco2,p90_net_cost_bn_krw,p90_cost_to_ebitda_x,p90_cost_to_annual_capex_x,capex_cost_p50_bn_krw,fixed_opex_cost_p50_bn_krw,electricity_cost_p50_bn_krw,hydrogen_cost_p50_bn_krw,contract_premium_p50_bn_krw,carbon_value_p50_bn_krw,policy_support_p50_bn_krw,component_reconciliation_p50_bn_krw
POSCO_KR,POSCO,KR,34.537,69.84605,ACCELERATED_15C,P1,지연·현물조달,False,20584.0,2035,5768.0,-4.484641,-1818.079,2.784774,7.269415,-0.191777,4.292864,0.825522,0.0,0.174478,16.491979,0.0,405.401232,1128.951,0.266891,0.477576,7985.376,1165.507,12066.348,0.0,0.0,-21463.636,-1593.901,22.228
POSCO_KR,POSCO,KR,34.537,69.84605,ACCELERATED_15C,P2,지연·부분헤지,False,24086.0,2037,9270.0,19.863177,8241.316,29.428555,9.565378,26.594008,6.730831,0.891262,0.002093,0.106644,41.331895,23.900117,414.904229,12210.032,2.886532,5.165167,12882.562,1294.893,11828.353,7435.807,46.468,-21968.445,-3303.742,25.421
POSCO_KR,POSCO,KR,34.537,69.84605,ACCELERATED_15C,P3,균형형 라이트헤지,False,27588.0,2035,9270.0,51.086472,21923.975,63.132413,12.04594,64.08436,12.997888,0.939918,0.004582,0.0555,71.997934,55.712638,429.154227,27093.542,6.405093,11.461287,13071.546,1500.071,10929.371,24351.555,204.242,-22729.461,-5464.913,61.565
POSCO_KR,POSCO,KR,34.537,69.84605,ACCELERATED_15C,P4,균형형 전환,False,27588.0,2034,9270.0,50.817882,24829.935,59.840923,9.023042,66.615122,15.79724,0.951236,0.004558,0.044206,67.744825,55.606926,488.606259,29238.65,6.91221,12.368724,15925.081,1771.894,11822.821,28672.804,522.273,-25790.307,-8080.956,-13.675
POSCO_KR,POSCO,KR,34.537,69.84605,ACCELERATED_15C,P5,조기 계약형 전환,False,30104.0,2034,9270.0,76.376876,38616.627,83.364624,6.987747,105.417726,29.04085,0.952807,0.005979,0.041214,47.750324,81.30441,505.60626,42149.676,9.964462,17.830431,13915.667,2046.417,11653.327,51068.56,1252.055,-26692.429,-14631.396,4.426
POSCO_KR,POSCO,KR,34.537,69.84605,ACCELERATED_15C,P6,조기 고헤지,False,32892.0,2033,9270.0,109.18127,63227.169,112.767442,3.586171,162.795686,53.614416,0.961241,0.008421,0.030337,19.666142,113.832573,579.10271,65303.931,15.438282,27.625295,17694.566,2750.76,11729.587,89202.814,3539.236,-30537.198,-31089.688,-62.906
POSCO_KR,POSCO,KR,34.537,69.84605,ACCELERATED_15C,P7,완전 수소·계약형,False,32892.0,2032,9270.0,105.71305,66377.136,106.790522,1.077473,166.216183,60.503133,0.939606,0.010396,0.049997,21.815414,110.153936,627.899166,67053.68,15.851934,28.365485,18551.297,3034.098,12820.136,97472.348,5532.181,-33052.876,-37980.707,0.659
POSCO_KR,POSCO,KR,34.537,69.84605,ACCELERATED_15C,CURRENT,POSCO 공시전략 프록시,True,27588.0,2033,9270.0,59.305419,32502.827,75.776631,16.471212,69.373203,10.067784,0.972644,0.005237,0.022119,68.279142,64.438395,548.05829,41530.011,9.817969,17.568296,15326.653,2058.667,14133.728,35565.781,181.387,-28789.227,-5812.017,-162.145
POSCO_KR,POSCO,KR,34.537,69.84605,DISCLOSED_PATH,P1,지연·현물조달,False,15748.0,2035,5768.0,12.007338,2214.409,19.82441,7.817072,15.360336,3.352997,0.534497,0.0,0.465503,16.491979,0.0,184.421263,3656.043,0.864313,1.546603,4518.879,715.17,4198.295,0.0,0.0,-6661.71,-556.022,-0.204
POSCO_KR,POSCO,KR,34.537,69.84605,DISCLOSED_PATH,P2,지연·부분헤지,False,19250.0,2037,9270.0,61.195072,11867.209,73.583127,12.388055,67.817315,6.622243,0.81201,0.006302,0.181688,41.331895,48.66187,193.924259,14269.553,3.373417,6.036399,5791.217,844.557,3663.818,9805.746,27.223,-7002.802,-1262.298,-0.252
POSCO_KR,POSCO,KR,34.537,69.84605,DISCLOSED_PATH,P3,균형형 라이트헤지,False,22752.0,2035,9270.0,123.084406,25623.005,140.318223,17.233817,138.649479,15.565073,0.908401,0.010658,0.080941,71.997934,110.500831,208.174258,29210.642,6.905589,12.356876,8865.147,1049.735,3238.854,23129.602,144.045,-7518.561,-3255.763,-30.056
POSCO_KR,POSCO,KR,34.537,69.84605,DISCLOSED_PATH,P4,균형형 전환,False,22752.0,2034,9270.0,118.562707,29254.908,131.470624,12.907917,138.143101,19.580394,0.9317,0.010329,0.057971,67.744825,106.724012,246.746291,32439.889,7.669004,13.722933,9875.237,1264.538,3783.856,27736.726,378.938,-8935.926,-4839.748,-8.713
POSCO_KR,POSCO,KR,34.537,69.84605,DISCLOSED_PATH,P5,조기 계약형 전환,False,27562.0,2034,9270.0,124.1272,44977.032,132.913727,8.786526,151.378415,27.251214,0.940878,0.010644,0.048478,47.750324,112.588568,362.346302,48160.797,11.385531,20.373294,12696.43,1735.149,6078.201,46462.353,1058.081,-13148.819,-9876.765,-27.599
