company_id,company_name,candidate_id,template_plan_id,physical_portfolio_id,from_scenario_id,to_scenario_id,from_scenario_feasible,to_scenario_feasible,same_physical_portfolio,common_avoided_emissions_mtco2,delta_p50_common_kkrw_per_tco2,delta_tcar_kkrw_per_tco2,delta_absolute_npv_p50_bn_krw,delta_absolute_npv_p90_bn_krw,delta_aligned_capex_bn_krw,delta_net_cash_cost_p50_bn_krw,delta_avoided_carbon_value_p50_bn_krw,delta_policy_support_value_p50_bn_krw
JFE_STEEL_JP,JFE Steel,CAND-0B566F19FFC9A2,P2,PORT-CCD4397FA6D4,ACCELERATED_15C,DISCLOSED_PATH,False,True,True,281.895878,8.463852,-2.357257,2385.925,1721.424,0.0,-2275.851,-4661.776,-896.745
JFE_STEEL_JP,JFE Steel,CAND-0C103CAC9E9685,P1,PORT-48EB0158352D,ACCELERATED_15C,DISCLOSED_PATH,False,False,True,209.90085,1.483368,-5.142071,311.36,-767.965,0.0,-3252.892,-3564.253,-520.777
JFE_STEEL_JP,JFE Steel,CAND-11566829CB83FF,P1,PORT-7C1FC602A00B,ACCELERATED_15C,DISCLOSED_PATH,True,False,True,341.808365,1.983012,-2.984569,677.811,-342.341,0.0,-4991.538,-5669.347,-737.052
JFE_STEEL_JP,JFE Steel,CAND-12D758CC621EDD,P3,PORT-04FFFE8075F6,ACCELERATED_15C,DISCLOSED_PATH,True,False,True,348.620862,7.925676,-1.880462,2763.056,2107.487,0.0,-3023.66,-5786.717,-3625.687
JFE_STEEL_JP,JFE Steel,CAND-156DBD688B285D,P2,PORT-4FBC33F20EEF,ACCELERATED_15C,DISCLOSED_PATH,False,False,True,191.900857,11.4248,-1.49797,2192.429,1904.966,0.0,-1065.668,-3258.097,-448.372
JFE_STEEL_JP,JFE Steel,CAND-1D1CB9506368C0,P2,PORT-0FD37D80B1EA,ACCELERATED_15C,DISCLOSED_PATH,True,False,True,330.620869,6.647379,-0.696541,2197.762,1967.471,0.0,-3282.799,-5480.561,-1322.135
JFE_STEEL_JP,JFE Steel,CAND-2384C3F783562D,P2,PORT-04FFFE8075F6,ACCELERATED_15C,DISCLOSED_PATH,True,False,True,348.620862,3.447286,-3.784297,1201.796,-117.489,0.0,-4584.92,-5786.717,-1981.31
JFE_STEEL_JP,JFE Steel,CAND-25BA0666383526,P1,PORT-E3494C854A0D,ACCELERATED_15C,DISCLOSED_PATH,True,False,True,323.808372,7.596102,-2.850907,2459.682,1536.535,0.0,-2903.511,-5363.192,-515.749
JFE_STEEL_JP,JFE Steel,CAND-27DEF6B976065D,P3,PORT-408F044D6828,ACCELERATED_15C,DISCLOSED_PATH,False,False,True,302.295879,7.65193,0.038763,2313.146,2324.865,0.0,-2675.463,-4988.609,-2964.642
JFE_STEEL_JP,JFE Steel,CAND-2AFD85912C485D,P5,PORT-844170813924,ACCELERATED_15C,DISCLOSED_PATH,False,False,True,381.425854,18.485749,0.28949,7050.943,7161.362,0.0,817.974,-6232.969,-7112.219
JFE_STEEL_JP,JFE Steel,CAND-2DF8CF21E8720D,P1,PORT-9D97003767D5,ACCELERATED_15C,DISCLOSED_PATH,False,False,True,263.895884,13.664004,-0.205179,3605.874,3551.729,0.0,-749.746,-4355.621,-248.635
JFE_STEEL_JP,JFE Steel,CAND-321A1FBBC2D640,P1,PORT-CCD4397FA6D4,ACCELERATED_15C,DISCLOSED_PATH,False,True,True,281.895878,7.298774,-3.308068,2057.495,1124.964,0.0,-2604.282,-4661.776,-471.633
JFE_STEEL_JP,JFE Steel,CAND-3785968E4E1C91,P1,PORT-4FBC33F20EEF,ACCELERATED_15C,DISCLOSED_PATH,False,False,True,191.900857,10.770237,-1.923173,2066.817,1697.759,0.0,-1191.28,-3258.097,-308.17
JFE_STEEL_JP,JFE Steel,CAND-3BDAECB8DA1A89,P4,PORT-29DB1A43C5DD,ACCELERATED_15C,DISCLOSED_PATH,False,False,True,239.320837,12.152301,-0.514167,2908.299,2785.248,0.0,-1121.078,-4029.377,-3188.049
JFE_STEEL_JP,JFE Steel,CAND-3DE74006E308F9,P2,PORT-7C1FC602A00B,ACCELERATED_15C,DISCLOSED_PATH,True,False,True,341.808365,4.560496,-1.839712,1558.815,929.987,0.0,-4110.532,-5669.347,-1761.476
JFE_STEEL_JP,JFE Steel,CAND-44218B07FC843F,P2,PORT-48EB0158352D,ACCELERATED_15C,DISCLOSED_PATH,False,False,True,209.90085,4.128136,-3.74851,866.5,79.684,0.0,-2697.753,-3564.253,-1111.627
JFE_STEEL_JP,JFE Steel,CAND-4D77DB7422B451,P2,PORT-3776FB32D8CF,ACCELERATED_15C,DISCLOSED_PATH,False,False,True,284.295886,8.544916,-3.140539,2429.284,1536.442,0.0,-2253.17,-4682.454,-984.562
