param_id,model,group,entity,field,value,unit,evidence_tier,value_low,value_high,source_id,vintage,used_in,needs_range
FIN.config.auction_share.2025,FIN,policy_assumption,carbon_auction_share,2025,0.1,share,T1,0.06,0.14,KETS_P4_CONFIRM_2025,2025,carbon cost (E2/plancost/E5),False
FIN.config.auction_share.2030,FIN,policy_assumption,carbon_auction_share,2030,0.15,share,T1,0.09,0.21,KETS_P4_CONFIRM_2025,2025,carbon cost (E2/plancost/E5),False
FIN.price.B20_Korea_co2_price,FIN,price_path,B20/Korea,co2_price,9450→101250,KRW/tCO2,T1,,,KETS_P4_CONFIRM_2025,,"E1 central path, E2/E4 cost",False
EFF.evidence.COST_JFE_KURA_EAF,EFF,cost_evidence,SCRAP_EAF,full_project (2.0 Mtpa),3030.48,십억원,T2,,,JFE_KURA_EAF_20,,기술비용 대조(docs/tech_cost_reconciliation.md) — 모형 입력에는 미연결,False
EFF.evidence.COST_KOB_BF3_RELINE,EFF,cost_evidence,BF_RELINE,historical_reline (3.9055 Mtpa),184.0,십억원,T2,,,KOB_BF3_RELINE_2016,,기술비용 대조(docs/tech_cost_reconciliation.md) — 모형 입력에는 미연결,False
EFF.evidence.COST_KOB_MELTER,EFF,cost_evidence,SCRAP_EAF,indicative_hybrid_project (0.7 Mtpa),920.0,십억원,T2,,,KOB_KAKO_MELTER_07,,기술비용 대조(docs/tech_cost_reconciliation.md) — 모형 입력에는 미연결,False
EFF.evidence.COST_NS_HIROHATA_EAF,EFF,cost_evidence,SCRAP_EAF,expansion_project (0.5 Mtpa),1288.0,십억원,T2,,,NS_HIROHATA_EAF_05,,기술비용 대조(docs/tech_cost_reconciliation.md) — 모형 입력에는 미연결,False
EFF.evidence.COST_NS_SHUNAN_EAF,EFF,cost_evidence,SCRAP_EAF,restart_and_modification (0.4 Mtpa),906.2,십억원,T2,,,NS_SHUNAN_EAF_04,,기술비용 대조(docs/tech_cost_reconciliation.md) — 모형 입력에는 미연결,False
EFF.evidence.COST_NS_YAWATA_EAF,EFF,cost_evidence,SCRAP_EAF,full_project (2.0 Mtpa),5797.84,십억원,T2,,,NS_YAWATA_EAF_20,,기술비용 대조(docs/tech_cost_reconciliation.md) — 모형 입력에는 미연결,False
EFF.evidence.COST_POSCO_GWY_EAF,EFF,cost_evidence,SCRAP_EAF,full_project (2.5 Mtpa),600.0,십억원,T2,,,POSCO_GWY_EAF_25,,기술비용 대조(docs/tech_cost_reconciliation.md) — 모형 입력에는 미연결,False
