file,column,rows,filled,filled_pct,distinct,in_schema,engine_reference,verdict,note
D1a_facility_static,facility_id,23,23,100.0,23,True,True,ok,
D1a_facility_static,company_id,23,23,100.0,4,True,True,ok,
D1a_facility_static,sector,23,23,100.0,2,True,True,ok,
D1a_facility_static,site,23,23,100.0,13,True,False,설계상 정상,시설 부지명 — 시설 단위 비공개 원칙(§8-2)상 모형이 읽지 않는 것이 맞다.
D1a_facility_static,unit_type,23,23,100.0,4,True,True,ok,
D1a_facility_static,unit_name,23,23,100.0,23,True,False,ok,e2 (capacity parsed from 내용적 in name — G3)
D1a_facility_static,capacity,23,23,100.0,19,True,True,ok,
D1a_facility_static,capacity_unit,23,23,100.0,4,True,False,ok,unit label only
D1a_facility_static,commissioning_year,23,14,60.9,12,True,False,설계상 정상,"**준비 단계에서 소비**된다(prepare_raw: 2027년 이후 신설 제외, 재투자 창 결측 보정). 엔진이 직접 읽지 않을 뿐 버려지는 값이 아니다."
D1a_facility_static,last_reline_year,23,23,100.0,17,True,True,ok,
D1a_facility_static,reinvest_cycle_yr,23,23,100.0,3,True,True,ok,
D1a_facility_static,next_reinvest_year,23,23,100.0,14,True,True,ok,
D1a_facility_static,incumbent_capex_unit,23,23,100.0,4,False,True,ok,
D1a_facility_static,margin_kthou_t,23,23,100.0,2,False,True,ok,
D1a_facility_static,status,23,23,100.0,6,True,True,ok,
D1a_facility_static,source_id,23,23,100.0,7,True,False,ok,"provenance (audited here, not modelled)"
D1b_facility_panel,facility_id,69,69,100.0,23,True,True,ok,
D1b_facility_panel,year,69,69,100.0,3,True,True,ok,
D1b_facility_panel,production,69,69,100.0,49,True,True,ok,
D1b_facility_panel,emissions_s1,69,69,100.0,49,True,True,ok,
D1b_facility_panel,emissions_s2,69,69,100.0,52,True,False,설계상 정상,"수집·보존하되 지표 경계는 Scope 1이다(A-21). 예산이 기업 자체 base에 앵커되므로 수준 중립이고, 넣으면 전기화가 더 유리해지는 방향의 구조 대안."
D1b_facility_panel,energy_coal,69,69,100.0,43,True,True,ok,
D1b_facility_panel,energy_gas,69,69,100.0,49,True,True,ok,
D1b_facility_panel,energy_elec,69,69,100.0,49,True,True,ok,
D1b_facility_panel,energy_naphtha,69,0,0.0,0,True,False,설계상 정상,석화 원료비는 물량×가격이 아니라 **에틸렌-납사 스프레드 마진**(D1a margin_kthou_t)으로 들어온다 — 전환 계획이 원료를 바꾸지 않는 한 증분비용에서 상쇄된다. 다만 원료가격 변동은 TCaR에 잡히지 않는다(한계로 기재).
D1b_facility_panel,source_id,69,69,100.0,2,True,False,ok,"provenance (audited here, not modelled)"
D2a_scenario_budget,scenario,48,48,100.0,2,True,True,ok,
D2a_scenario_budget,region,48,48,100.0,2,True,True,ok,
D2a_scenario_budget,sector,48,48,100.0,2,True,True,ok,
D2a_scenario_budget,year,48,48,100.0,6,True,True,ok,
D2a_scenario_budget,carbon_budget,48,48,100.0,37,True,True,ok,
D2a_scenario_budget,gcam_version,48,48,100.0,1,True,False,설계상 정상,출처 추적용 라벨. EST_v0 잠정이라 전 행 동일한 것이 맞다.
D2a_scenario_budget,source_id,48,48,100.0,2,True,False,ok,"provenance (audited here, not modelled)"
D2b_scenario_prices,scenario,224,224,100.0,2,True,True,ok,
D2b_scenario_prices,region,224,224,100.0,2,True,True,ok,
D2b_scenario_prices,variable,224,224,100.0,6,True,True,ok,
D2b_scenario_prices,year,224,224,100.0,26,True,True,ok,
D2b_scenario_prices,value,224,222,99.1,75,True,True,PARTIAL,
