"source_id","publisher","title","source_type","url_or_doi","publication_date","retrieved_at","reporting_start","reporting_end","location","licence","redistributable","file_name","sha256","extraction_method","quality_note"
"IEA_GHR2023_ANNEX","IEA","Global Hydrogen Review 2023: Assumptions Annex","report","https://iea.blob.core.windows.net/assets/101dd112-b72b-4a74-82f1-de7fea6ae48e/GlobalHydrogenReview2023_AssumptionsAnnex.pdf","","2026-08-06","2022-01-01","2022-12-31","p.6 Production pathways - Hydrogen - Water electrolysis","IEA Terms of Use","conditional","","","PDF text (web fetch)","전해조 CAPEX 2022 글로벌 평균 1,640 USD/kW (중국 1,070). 풀 시스템 설치비 기준(전기설비·가스처리·BoP·EPC 포함, 발전설비 제외). 발행일 미확인(2023년판). 서브에이전트 수집분 검증"
"IEA_GHR2024_ANNEX","IEA","Global Hydrogen Review 2024: Assumptions Annex","report","https://iea.blob.core.windows.net/assets/36017d2f-747b-4993-b06d-33209fe143fa/GHR24AssumptionsAnnex.pdf","","2026-08-06","2023-01-01","2023-12-31","Production pathways - Hydrogen 표","IEA Terms of Use","conditional","","","PDF text (web fetch)","전해조 CAPEX 2023 글로벌 평균 2,160 USD/kW (중국 1,100). 2024판은 신규 프로젝트 데이터 기반 현재 비용 상향 재조정 명시 — 2022→2023 급등은 인플레이션+데이터 개선 혼재. IEA 트래킹 페이지(GHR2024 인용)는 ALK 2,000/PEM 2,450 USD/kWe 병기"
"IEA_GHR2025_ES","IEA","Global Hydrogen Review 2025: Executive Summary + Assumptions Annex","report","https://www.iea.org/reports/global-hydrogen-review-2025/executive-summary","","2026-08-06","2024-01-01","2024-12-31","Exec summary 'China leads on electrolyser deployment' / Annex p.6 (https://iea.blob.core.windows.net/assets/15673ab3-a86a-4434-bff4-490bb42d3563/GlobalHydrogenReview2025AssumptionsAnnex.pdf)","IEA Terms of Use","conditional","","","HTML+PDF text (web fetch)","2024 설치비: 중국 외 2,000-2,600, 중국 내 600-1,200, 중국산 해외설치 1,500-2,400 USD/kW. 글로벌 평균 점추정 미공시 → D4 값 미기재, 범위만 여기 보존. 2025판부터 '중국 외/중국 내' 이원화로 시계열 연속성 단절 주의"
"IEA_GHR2021_P111","IEA","Global Hydrogen Review 2021 (pp.111-132 발췌)","report","https://www.eqmagpro.com/wp-content/uploads/2021/10/GlobalHydrogenReview2021-111-132.pdf","2021-10-01","2026-08-06","2020-01-01","2020-12-31","p.116-117, p.120","IEA Terms of Use","conditional","","","PDF text (web fetch)","2020 설치비 범위: 전체 1,000-1,750 (PEM 1,750 / ALK 1,000-1,400 / 중국 ALK 750-1,300) USD/kW. 점추정 없어 D4 값 미기재. 주의: IEA 원문의 제3자 미러 호스팅본 — 원본 PDF 대조 권장"
"KPX_SMP_MONTHLY_WEB","전력거래소(KPX)","월별 SMP (전력관련정보 웹페이지)","statistics","https://new.kpx.or.kr/smpMonthly.es?mid=a10606080300","","2026-08-06","2025-01-01","2026-07-31","월별 SMP 표 (육지/제주/통합)","공공데이터","yes","","","HTML table (web fetch)","접속·값 표시 확인(2025.1~2026.7, 원/kWh). 단 최근 2개년만 표시 — 10년 시계열은 data.go.kr API(월 가중평균 SMP)로 수집 예정이라 값 입력 보류. API 수집 실패 시 이 페이지가 폴백"
"MOTIE_H2_PLAN_2021","관계부처 합동","제1차 수소경제 이행 기본계획","policy","https://www.kier.re.kr/resources/download/tpp/policy_20211126.pdf","2021-11-26","2026-08-06","2021-01-01","2050-12-31","p.5 전략1","공공누리 추정","conditional","","","PDF text (web fetch)","그린수소 생산단가(LCOH) 목표: 2030년 3,500원/kg(25만톤급), 2050년 2,500원/kg(300만톤급). 명목가. 공급가격 아닌 생산단가임에 주의. 블루수소는 가격목표 미제시"
"H2_ROADMAP_2019","관계부처 합동","수소경제 활성화 로드맵","policy","https://www.korea.kr/special/policyCurationView.do?newsId=148857966","2019-01-17","2026-08-06","2019-01-01","2040-12-31","정책위키 요약 + 가스신문 2019-01-17 보도","공공누리 추정","conditional","","","HTML (web fetch)","수소 공급가격 목표: 2022년 6,000원/kg → 2040년 3,000원/kg 이하. 통상 인용되는 '2030년 4,000원/kg'은 이번 수집에서 어떤 본문에서도 미확인 — 사용 금지. 공급가격 기준이라 이행기본계획 생산단가와 정의 상이 → D2b에는 미입력, 참고용"
"JP_H2_STRATEGY_2023","再生可能エネルギー・水素等関係閣僚会議","水素基本戦略 (2023.6.6 개정)","policy","https://www.cas.go.jp/jp/seisaku/saisei_energy/pdf/hydrogen_basic_strategy_kaitei.pdf","2023-06-06","2026-08-06","2023-01-01","2050-12-31","pp.11-12, 3-1.(2) 供給コストの低減","일본 정부 저작물","conditional","","","PDF text (web fetch)","수소 공급비용(CIF) 목표: 2030년 30円/Nm³(≈334円/kg), 2050년 20円/Nm³(≈222円/kg). 참고: 2023.3 LNG 수소환산 24円/Nm³, 현재 수소 약 100円/Nm³. 2050 목표는 '적정 목표가격 재검토' 유보문구 있음. 원문 PDF 직접 확인"
"BOK_FSS_CST_2025","한국은행·금융감독원","공동 기후 스트레스 테스트 (2025.3.18 발표)","regulation","https://slownews.kr/131723","2025-03-18","2026-08-06","2025-01-01","2050-12-31","슬로우뉴스 2025-03-23 기사 '전망과 과제' 절 (원문 보도참고자료 PDF 미확인 — eiec.kdi.re.kr/policy/materialView.do?num=264439)","언론 인용","conditional","","","HTML (web fetch)","1.5도 대응(2050 글로벌 탄소중립) 시나리오 탄소가격: 2030년 US$150/tCO2(≈22만원), 2050년 US$1,700/tCO2(≈250만원). NGFS 기반 한은·금감원·기상청 공동 시나리오. 원화 환산은 기사 시점(2025.3) 환율 — 모형 입력은 USD 원값 사용. 섀도가격(한계감축비용)이며 실거래 전망 아님. 원문 PDF 대조 필요"
"IEA_GECM_CO2PRICE","IEA","Global Energy and Climate Model documentation — Macro drivers: CO2 prices","report","https://www.iea.org/reports/global-energy-and-climate-model/macro-drivers","","2026-08-06","2025-01-01","2050-12-31","Macro drivers > CO2 prices","IEA Terms of Use","conditional","","","HTML (web fetch)","NZE 2050 탄소가격: 선진국 평균 US$250/tCO2, 넷제로 서약 신흥국 US$200. USD 기준연도 HTML에 미명시(WEO 관행상 실질 — Annex B 확인 필요). 일본 NZ15 슬롯에 '선진국 평균'으로 잠정 배치 — 일본 개별 경로 아님"
"NGFS_P5_OUTREACH","NGFS","NGFS long-term scenarios Phase V — outreach presentation (2024.11)","report","https://www.ngfs.net/system/files/2025-01/20241108_ngfs_scenarios_phasev_outreach_public_v2.pdf","2024-11-08","2026-08-06","2025-01-01","2050-12-31","Global (Shadow) Carbon Price 차트","NGFS","conditional","","","PDF text (web fetch)","단위 US$2010/tCO2 확인. NZ2050 2035년 ~US$300(REMIND-MAgPIE, 차트 판독이라 정확값 아님 → D2b 미입력). 연도별 수치는 IIASA Scenario Explorer 다운로드 필요(변수 Price|Carbon). 모형: GCAM 6.0/MESSAGEix 2.0/REMIND 3.3"
"METI_COSTWG_2021","METI 총합자원에너지조사회 발전코스트검증WG","2030년 신설 전원별 발전비용 검증 (2021.9)","statistics","https://www.enecho.meti.go.jp/about/special/johoteikyo/denki_cost.html","2021-12-28","2026-08-06","2030-01-01","2030-12-31","자원에너지청 해설 페이지 (원 보고서: cost_wg_20210908_01.pdf)","일본 정부 저작물","conditional","","","HTML (web fetch)","2030 신설 LCOE(정책경비 포함, 円/kWh): LNG 10.7~14.3, 석탄 13.6~22.4, 원자력 11.7~, 사업용태양광 8.2~11.8, 육상풍력 9.8~17.2, 해상풍력 25.9 등. 연료비는 IEA WEO2020 전제. LCOE이며 도매(JEPX)·소매가 아님 → 단일 elec_price 점추정 불가로 D2b 값 미입력, 대표값 선택은 분석 단계"
"METI_COSTWG_2025","METI 발전코스트검증WG","発電コスト検証に関するとりまとめ (2025.2.6, 제7차 에기본 근거)","statistics","https://standard-project.net/energy/statistics/cost.html","2025-02-06","2026-08-06","2040-01-01","2040-12-31","2차 출처 電力計画.com 본문 (원문: enecho.meti.go.jp/committee/council/basic_policy_subcommittee/mitoshi/cost_wg/pdf/cost_wg_20250206_01.pdf — 미검증)","일본 정부 저작물","conditional","","","HTML (web fetch, 2차 인용)","2040 신설 LCOE(円/kWh): 사업용태양광 7.0~8.9, 육상풍력 8.0~13.1, 해상풍력 14.4~15.1, 원자력 12.5, LNG전소 16.0~21.0, 석탄-암모니아20%혼소 20.9~33.0. 화력 상승은 탈탄소 대응비 반영. 2차 인용 — 원문 PDF 대조 필요"
"SNU_ELEC_2050_2023","서울대 원자력연구센터(이종호)","탄소중립 달성을 위한 바람직한 원전·재생에너지 구성비 연구","estimate","https://www.hankyung.com/article/202311277001i","2023-11-28","2026-08-06","2050-01-01","2050-12-31","한국경제 2023-11-28 기사","언론 인용","conditional","","","HTML (web fetch)","2050 발전단가 시나리오(제3자 추정): 원전50%·재생27.9%안 146.3원/kWh ~ 탈원전안(원전6.1%) 268.8원/kWh (최근3년 평균 110.2원 대비). ESS 포함 발전원가이며 소매요금 아님. 한국 정부의 공식 2050 전력가격 경로는 부재 확인 → 원전 비중 가정에 민감해 D2b 값 미입력, 범위만 보존"
"GXETS_COLLAR_METI","경제산업성 排出量取引制度小委員会","GX-ETS 2페이즈 상·하한가격 설계 (제7회 소위 자료3)","regulation","https://energy-advisor.jp/gx-ets-price/","2026-03-21","2026-08-06","2026-04-01","2030-12-31","2차 출처 ENERGY ADVISOR (1차: meti.go.jp/shingikai/sankoshin/sangyo_gijutsu/emissions_trading/pdf/007_03_00.pdf p.13 — 미검증)","일본 정부 저작물","conditional","","","HTML (web fetch, 2차 인용)","프라이스칼라(실질 JPY/tCO2): 상한 4,300(2026)→4,840(2030), 하한 1,700(2026)→1,913(2030). 매년 실질3%+물가 가산해 명목 고시. 상한 초과분은 상한×1.1 부담금. 2페이즈 원칙 무상할당 — 실효 탄소비용은 초과배출분만. 제도 밴드이지 시장가 전망 아님. 원문 대조 필요"
"KETS_P4_CONFIRM_2025","기후에너지환경부","K-ETS 제4차 계획기간(2026~2030) 할당계획 확정","regulation","https://edata.ekn.kr/article/view/ekn202512290001","2025-12-29","2026-08-06","2026-01-01","2030-12-31","에너지경제 2025-12-29 기사","언론 인용","conditional","","","HTML (web fetch)","할당총량 23억6,299만톤(3차 대비 -17.9%). 유상할당: 발전 2026년 15%→2030년 50%, 발전외(철강·석화 해당) 15%. KAU 시세 2025.12 약 1만원(12.27 종가 10,650원은 스니펫), 2026년 1.9~2만원 전망(차관 국회 발언). 정부 고시 원문 대조 권장"
"CHPS_AUCTION_2024","전력거래소/언론","청정수소 발전 입찰시장(CHPS) 2024 낙찰 결과","statistics","https://m.ekn.kr/view.php?key=20250305025332661","2025-03-05","2026-08-06","2024-01-01","2024-12-31","에너지경제 2025-03-05 + 전기저널(keaj.kr/news/articleView.html?idxno=5673)","언론 인용","conditional","","","HTML (web fetch)","2024 하반기 청정수소 낙찰가 477원/kWh(15년 CfD, 남부발전 단독, 목표물량의 11.5%만 낙찰). 일반수소 237원/kWh. 주의: 수소 연료가격이 아닌 발전 낙찰단가. 공식 공표치 아닌 업계 취재 기반. 낙찰률 저조로 대표성 제한"
"PENDING_GCAM_KAIST","KAIST 엄지용 연구팀","GCAM-KAIST solved output (요청 중 — 미수령)","model output","(요청서: archive/cap_kj_v1/DATA_REQUEST_KAIST.md)","","2026-08-06","2025-01-01","2050-12-31","","협의 필요","no","","","","D2a 전체 및 D2b 미채움 슬롯의 최종 출처. 수령 전까지 값 빈칸. NGFS Phase 5(GCAM 6.0) 사용자 다운로드로 잠정 대체 가능. 문헌 잠정치가 채워진 슬롯도 수령 시 GCAM 값으로 대체 예정"
