file,sheet,status,detail,source_sha256,export_sha256
companies.csv,Companies,PASS,semantic match,1647df5784d5d1729a93ebd980ff906e2e521f99319375e762875aad13e91e6b,c3ad44266612f8024ad5a3264d8fd0520d155c13703bc89decb8047047b6fb8a
facilities.csv,Facilities,PASS,semantic match,5f305c0c3f353174b4d2a9fa15f97580c18ef419360e268271b8ec1f7011b895,f468677d383b6d6e6e15b3dfa01ae698d2104bce73c8bb1472744282addb8851
company_financials.csv,Financials,PASS,semantic match,f4175ede753ec1226ce45e65cc9d8a93c590a48b6236ac387634865b84ca5afb,2482f32a560fa913b05f310cb7ff0f4cb8271aaf24f67981abc18969809e9005
technologies.csv,Technologies,PASS,semantic match,0430a8eeb1d0f3f373d278b1f16b8c6dce56cf2087c38f8287f14a7af9131b9d,72ffc66229e45bef86de121819a11ffc140250e42f4d5a44a6350b1b7060521f
scenario_anchors.csv,Scenarios,PASS,semantic match,95147924d3a879b96c4e0292b1c41db9cc463dcec7db320c7c8320873ec0b54e,710bf636b0c4a106a65e698008c42c92901d04fdd0c7a94b51eb2647c4532d95
scenario_definitions.csv,Scenario_Definitions,PASS,semantic match,6cfe4395c9e918cd090347ea53c744dd5628b1464c00be2ad88784a2f1f10f43,646f1f3c9bdc4ef7483c9149965197249e1d1b2acc7d1e01e4a7171dda739760
plans.csv,Plans,PASS,semantic match,9da970ebc74c8423e14df21a7c6d4a1f833d308b645c1f1091f80975a39881f9,1061d12dff393649a61bf89c7a04667382da62520b99e489a4f684a0be5f8cce
policy_support.csv,Policy,PASS,semantic match,75eb9b7f632fecef11e99d6f976f7ce8408e2975401c0a6b73bcc3d10c776a55,4fd17b9b271a23e7981cc6e11c974244256b05286032d952e8614e4737a0e615
company_constraints.csv,Company_Constraints,PASS,semantic match,ab2077fd7334f019ebb73616f4bd6b449fe8720b54a22ef6c6929be4820711f6,f30721aa68624b0891f819b33ec98f13357ca79783364c49f2d48877bc5faf09
technology_constraints.csv,Tech_Constraints,PASS,semantic match,de62285e0e0913eaac1c5bd7ea786926de18c798afbb41905c96265a24bfe426,b2b6f8debab6e2abde5833da9fea4cdd67e93316579ffe60476f985c11c30ef0
resource_constraints.csv,Resource_Constraints,PASS,semantic match,789db388b280bb1d148926d0c86d0d0c87e43d61439dc11fc6aa86de11a03e2a,538ce672ffcf63f79381f52a8db9c61638de80c0599e2518f487b048d4f03123
gcam_run_manifest.csv,GCAM_Run_Manifest,PASS,semantic match,dffb8d7fa36a4f54c4f6ebaf14e75890ab7b29ec34e9286e33c423fad770354f,31475ec33981d11ceb0e42708b32a3119bdb8a25141a412a443b809e599a848e
gcam_query_manifest.csv,GCAM_Query_Manifest,PASS,semantic match,20693bfdc25b8210d3f81774844d25922f3f05933bc88f226e4b45505f967f5b,20693bfdc25b8210d3f81774844d25922f3f05933bc88f226e4b45505f967f5b
price_process.json,Price_Process,PASS,byte match (support file copied unchanged),906e959fb2e215b58d6d0c9947611c1c4e66b742c800f46d29f7ad5d92883a04,906e959fb2e215b58d6d0c9947611c1c4e66b742c800f46d29f7ad5d92883a04
gcam/policy_target_temperature_1p5.xml,GCAM_Run_Manifest,PASS,byte match (support file copied unchanged),ff1bb76debbd2524a45f2a143d5065eb6b40f5369458776696a895439e0c5501,ff1bb76debbd2524a45f2a143d5065eb6b40f5369458776696a895439e0c5501
gcam/policy_target_temperature_2p0.xml,GCAM_Run_Manifest,PASS,byte match (support file copied unchanged),1b4b6e00352d22ab0e80d8d6153d7a216f35f549e0f87a129624d5e1b51391cc,1b4b6e00352d22ab0e80d8d6153d7a216f35f549e0f87a129624d5e1b51391cc
