base_param,tier,d_lcoa_pct,d_tcar_pct,d_p50_pct,score
fac.ef_inc,T5,154.0540540540545,1.593609648141516e-13,8.1858294452491e-14,154.0540540540545
vol.h2,T5,18.454465038700317,45.06818743007385,18.45446503870031,45.06818743007385
tech.emission_factor,T3,44.17177914110467,1.0926225505776578e-13,2.6001276299540086e-13,44.17177914110467
cfg.discount,T5,1.5249365279028464,35.76508611465639,34.71575324922031,35.76508611465639
vol.elec,T3,1.1724901079717291,33.48847376578088,1.1724901079717132,33.48847376578088
tech.h2_intensity,T3,27.170828975497965,30.276244913678145,27.170828975497976,30.276244913678145
price.h2,T5,27.170828975497965,30.276244913678145,27.170828975497976,30.276244913678145
tech.elec_intensity,T3,6.878275547455973,20.79520925458929,6.87827554745599,20.79520925458929
price.re,T4,6.878275547455973,20.795209254589267,6.87827554745599,20.795209254589267
fac.capacity,T2/T5,13.970079601122602,0.4249955882463686,13.970079601122594,13.970079601122602
tech.opex_fixed,T3,7.067473109104572,5.31203216047172e-14,7.067473109104564,7.067473109104572
tech.steel_capex,T3,6.187528200970819,0.40661398528617826,6.1875282009708,6.187528200970819
tech.capex,T3,6.187528200970819,0.40661398528617826,6.1875282009708,6.187528200970819
fac.margin,T4,4.07476687965263,1.32800804011793e-13,4.074766879652615,4.07476687965263
tech.opex_var,T4,4.072201904534742,1.3843841508812288e-13,4.0722019045347295,4.072201904534742
price.elec,T4,0.6137094779431023,2.303829338356906,0.613709477943114,2.303829338356906
fac.elec_int_inc,T5,0.6137094779431023,2.303829338356906,0.613709477943114,2.303829338356906
price.coal,T3,1.9078414916336077,1.0926225505776578e-13,1.907841491633592,1.9078414916336077
fac.coal_int_inc,T5,1.9078414916335829,1.0926225505776578e-13,1.907841491633592,1.9078414916335829
vol.capex,T5,0.5435314474636055,0.31530234806317187,0.5435314474635949,0.5435314474636055
price.gas,T3,0.14398491468415245,1.593609648141516e-13,0.1439849146841354,0.14398491468415245
cfg.auction_ramp_post2030,T5,7.301302136734314e-14,1.5821533152928328e-13,6.821524537707584e-14,1.5821533152928328e-13
price.co2,T5,1.2436714420995324e-13,1.32800804011793e-13,1.193294770821446e-13,1.32800804011793e-13
cfg.ppa_premium,T5,0.0,0.0,0.0,0.0
cfg.epc_premium,T5,0.0,0.0,0.0,0.0
