param,tier,company,d_lcoa_pct,d_p50_pct,d_tcar_pct,d_front
price.elec×low,T4,LOTTE,9.028601771290253e-13,9.266765022037138e-13,-5.329715605908023e-13,0
price.elec×low,T4,MCI,7.145589896460753e-13,7.285113933217357e-13,3.4646131367919723e-13,0
price.elec×low,T4,NSC,0.6615907612045222,0.6615907612045292,0.7226099319326048,0
price.elec×low,T4,POSCO,0.7917653699103309,0.7917653699103311,0.9562488853030678,0
price.re×low,T4,LOTTE,0.0,0.0,0.0,0
price.re×low,T4,MCI,0.0,0.0,0.0,0
price.re×low,T4,NSC,-7.051514009067726,-7.051514009067709,-12.02949492206081,0
price.re×low,T4,POSCO,-7.254306757826177,-7.2543067578261855,-9.68333123011793,0
price.h2×low,T5,LOTTE,-11.47889469975114,-11.478894699751136,-30.469094746793246,0
price.h2×low,T5,MCI,-12.080174969365796,-12.080174969365782,-30.69813616767346,0
price.h2×low,T5,NSC,-7.596598553242858,-7.5965985532428615,-16.707211935597943,0
price.h2×low,T5,POSCO,-8.651430268830634,-8.651430268830637,-21.448990737406515,0
price.co2×low,T5,LOTTE,1.3420894524890917e-13,1.5444608370061897e-13,-1.6433289784883071e-12,0
price.co2×low,T5,MCI,3.5727949482303766e-13,3.6425569666086785e-13,-4.2641392452824274e-13,0
price.co2×low,T5,NSC,0.0,0.0,0.0,0
price.co2×low,T5,POSCO,0.0,0.0,1.0987998104825502e-13,0
price.coal×low,T3,LOTTE,0.0,0.0,0.0,0
price.coal×low,T3,MCI,0.0,0.0,0.0,0
price.coal×low,T3,NSC,5.159024076930024,5.159024076930032,5.587174491227171e-14,0
price.coal×low,T3,POSCO,5.5771745968111865,5.57717459681118,8.240998578619127e-14,0
price.gas×low,T3,LOTTE,6.100406602223144e-13,6.177843348024759e-13,-3.3310722536925147e-13,0
price.gas×low,T3,MCI,1.4440046249097773e-12,1.4570227866434714e-12,-7.995261084904551e-14,0
price.gas×low,T3,NSC,0.3374886665900416,0.33748866659006377,8.380761736840756e-14,0
price.gas×low,T3,POSCO,0.3572005541260782,0.35720055412605733,8.240998578619127e-14,0
tech.capex×low,T3,LOTTE,-14.232999198404729,-14.232999198404718,0.4148996812546804,0
tech.capex×low,T3,MCI,-17.15188272027938,-17.151882720279374,-0.15084169945657522,0
tech.capex×low,T3,NSC,-6.839058827683065,-6.839058827683067,-1.4048377003399097,-1
tech.capex×low,T3,POSCO,-5.739975737247965,-5.739975737247972,0.3220233422244786,0
tech.opex_fixed×low,T3,LOTTE,0.0,0.0,0.0,0
tech.opex_fixed×low,T3,MCI,0.0,0.0,0.0,0
tech.opex_fixed×low,T3,NSC,-7.655838787070015,-7.655838787069997,5.587174491227171e-14,0
tech.opex_fixed×low,T3,POSCO,-6.779200815614801,-6.779200815614801,1.0987998104825502e-13,0
tech.opex_var×low,T4,LOTTE,-0.610639025351724,-0.6106390253517201,-9.993216761077544e-13,0
tech.opex_var×low,T4,MCI,-0.5957070225502079,-0.5957070225502006,0.0,0
tech.opex_var×low,T4,NSC,-4.030393499085274,-4.030393499085268,5.587174491227171e-14,0
tech.opex_var×low,T4,POSCO,-4.322015097909002,-4.3220150979090075,2.7469995262063754e-14,0
tech.elec_intensity×low,T3,LOTTE,0.0,0.0,0.0,0
tech.elec_intensity×low,T3,MCI,0.0,0.0,0.0,0
tech.elec_intensity×low,T3,NSC,-7.051514009067726,-7.051514009067709,-12.02949492206081,0
tech.elec_intensity×low,T3,POSCO,-7.254306757826177,-7.2543067578261855,-9.68333123011793,0
tech.h2_intensity×low,T3,LOTTE,-11.47889469975114,-11.478894699751136,-30.469094746793246,0
tech.h2_intensity×low,T3,MCI,-12.080174969365796,-12.080174969365782,-30.69813616767346,0
tech.h2_intensity×low,T3,NSC,-7.596598553242858,-7.5965985532428615,-16.707211935597943,0
tech.h2_intensity×low,T3,POSCO,-8.651430268830667,-8.651430268830676,-21.448990737406543,0
tech.emission_factor×low,T3,LOTTE,-83.96414173360047,-3.0889216740123794e-13,-4.66350115516952e-13,0
tech.emission_factor×low,T3,MCI,-85.77655097010862,1.0927670899826034e-12,-2.931595731131669e-13,0
tech.emission_factor×low,T3,NSC,-0.5074588818780019,0.0,5.587174491227171e-14,0
tech.emission_factor×low,T3,POSCO,-6.094976437312595,3.919949684362969e-14,0.0,0
tech.steel_capex×low,T3,LOTTE,0.0,0.0,0.0,0
tech.steel_capex×low,T3,MCI,0.0,0.0,0.0,0
tech.steel_capex×low,T3,NSC,-6.839058827683065,-6.839058827683067,-1.4048377003399097,-1
tech.steel_capex×low,T3,POSCO,-5.739975737247965,-5.739975737247972,0.3220233422244786,0
fac.capacity×low,T2/T5,LOTTE,-17.37763711712589,-17.377637117125882,0.6321214374597176,0
fac.capacity×low,T2/T5,MCI,-17.15188272027938,-17.151882720279374,-0.15084169945657522,0
fac.capacity×low,T2/T5,NSC,-15.31605336668671,-15.316053366686713,-1.3588057290503692,-1
fac.capacity×low,T2/T5,POSCO,-13.353226357544559,-13.35322635754456,0.4735205455761,0
fac.ef_inc×low,T5,LOTTE,,6.177843348024759e-13,-2.6204435062381116e-12,0
fac.ef_inc×low,T5,MCI,,1.8212784833043393e-13,-3.9976305424522757e-13,0
fac.ef_inc×low,T5,NSC,43.90569559373406,0.0,5.587174491227171e-14,0
fac.ef_inc×low,T5,POSCO,57.456945581860715,-5.879924526544454e-14,1.9228996683444629e-13,0
fac.elec_int_inc×low,T5,LOTTE,6.100406602223144e-13,6.177843348024759e-13,-1.0659431211816046e-12,0
fac.elec_int_inc×low,T5,MCI,7.145589896460753e-13,7.285113933217357e-13,3.4646131367919723e-13,0
fac.elec_int_inc×low,T5,NSC,0.6615907612045222,0.6615907612045292,0.7226099319326048,0
fac.elec_int_inc×low,T5,POSCO,0.7917653699103309,0.7917653699103311,0.9562488853030678,0
fac.coal_int_inc×low,T5,LOTTE,0.0,0.0,0.0,0
fac.coal_int_inc×low,T5,MCI,0.0,0.0,0.0,0
fac.coal_int_inc×low,T5,NSC,5.1590240769300415,5.159024076930052,0.0,0
fac.coal_int_inc×low,T5,POSCO,5.5771745968111865,5.57717459681118,2.7469995262063754e-14,0
fac.margin×low,T4,LOTTE,0.0,0.0,0.0,0
fac.margin×low,T4,MCI,0.0,0.0,0.0,0
fac.margin×low,T4,NSC,-2.93485773567333,-2.9348577356733263,5.587174491227171e-14,0
fac.margin×low,T4,POSCO,-2.9560533351072498,-2.956053335107268,1.3734997631031877e-13,0
