candidate_id,company_id,company_name,template_plan_id,physical_portfolio_id,scenario_id,common_avoided_emissions_mtco2,deterministic_economic_npv_bn_krw,deterministic_cost_common_kkrw_per_tco2,carbon_budget_feasible,scenario_feasible,first_budget_breach_year,max_annual_budget_excess_mtco2,minimum_annual_budget_margin_mtco2,physical_constraints_feasible,resource_constraints_feasible,construction_concurrency_feasible,failure_risk_constraint_feasible,first_resource_breach_year,max_scrap_supply_excess_mt,max_hydrogen_supply_excess_mt,max_incremental_grid_excess_twh,max_concurrent_construction_projects,concurrent_construction_limit,portfolio_failure_probability,portfolio_failure_probability_limit,expected_failure_delay_years
CAND-00B5592B22DA24,POSCO_KR,POSCO,P4,PORT-66E75B54664A,DISCLOSED_PATH,505.60626,47712.268,94.36645,True,True,,0.0,2.0275124185786808e-05,True,True,True,True,,0.0,0.0,0.0,3,3,0.5181043679999999,0.65,2.5
CAND-00B5592B22DA24,POSCO_KR,POSCO,P4,PORT-66E75B54664A,ACCELERATED_15C,505.60626,41224.578,81.534944,True,True,,0.0,2.0275124185786808e-05,True,True,True,True,,0.0,0.0,0.0,3,3,0.5181043679999999,0.65,2.5
CAND-014834EFF571CA,POSCO_KR,POSCO,P2,PORT-26982033AA0F,DISCLOSED_PATH,150.693902,17024.587,112.974623,False,False,2040,12.619087010000001,-12.619087010000001,True,True,True,True,,0.0,0.0,0.0,2,3,0.3107906560000001,0.65,1.06
CAND-014834EFF571CA,POSCO_KR,POSCO,P2,PORT-26982033AA0F,ACCELERATED_15C,150.693902,15580.055,103.388754,False,False,2030,32.319087010000004,-32.319087010000004,True,True,True,True,,0.0,0.0,0.0,2,3,0.3107906560000001,0.65,1.06
CAND-022C4C9D65C291,POSCO_KR,POSCO,P2,PORT-3D4DF75A91D4,DISCLOSED_PATH,247.593892,32068.846,129.521958,True,True,,0.0,2.0275124185786808e-05,True,True,True,True,,0.0,0.0,0.0,3,3,0.41130035200000004,0.65,1.6999999999999997
CAND-022C4C9D65C291,POSCO_KR,POSCO,P2,PORT-3D4DF75A91D4,ACCELERATED_15C,247.593892,29953.33,120.977663,False,False,2030,16.16908871,-16.16908871,True,True,True,True,,0.0,0.0,0.0,3,3,0.41130035200000004,0.65,1.6999999999999997
CAND-03F5DDC22322D9,POSCO_KR,POSCO,P1,PORT-2E4122B1D61A,DISCLOSED_PATH,305.733857,44650.094,146.04236,True,False,,0.0,2.0275124185786808e-05,False,False,True,True,2029,0.0,0.04299987899999996,0.0,2,3,0.41130035200000004,0.65,1.7
CAND-03F5DDC22322D9,POSCO_KR,POSCO,P1,PORT-2E4122B1D61A,ACCELERATED_15C,305.733857,42653.182,139.510823,False,False,2035,19.399090750000003,-19.399090750000003,True,True,True,True,,0.0,0.0,0.0,2,3,0.41130035200000004,0.65,1.7
CAND-0792E2DF105A73,POSCO_KR,POSCO,P5,PORT-C07B5FF15869,DISCLOSED_PATH,362.346302,44516.622,122.856566,True,True,,0.0,2.0275124185786808e-05,True,True,True,True,,0.0,0.0,0.0,3,3,0.49715238399999995,0.65,2.34
CAND-0792E2DF105A73,POSCO_KR,POSCO,P5,PORT-C07B5FF15869,ACCELERATED_15C,362.346302,38890.511,107.329676,False,False,2030,5.470451711490618,-5.470451711490618,True,True,True,True,,0.0,0.0,0.0,3,3,0.49715238399999995,0.65,2.34
CAND-0A4190A420448F,POSCO_KR,POSCO,P1,PORT-92AEBEABC7A8,DISCLOSED_PATH,232.293891,16309.673,70.211374,True,True,,0.0,2.0275124185786808e-05,True,True,True,True,,0.0,0.0,0.0,3,3,0.33950771199999996,0.65,1.2199999999999998
CAND-0A4190A420448F,POSCO_KR,POSCO,P1,PORT-92AEBEABC7A8,ACCELERATED_15C,232.293891,13738.317,59.141966,False,False,2030,17.86908886,-17.86908886,True,True,True,True,,0.0,0.0,0.0,3,3,0.33950771199999996,0.65,1.2199999999999998
CAND-0B0DF7CC24CCF4,POSCO_KR,POSCO,P3,PORT-7DC46150E6EE,DISCLOSED_PATH,388.383849,43029.809,110.791963,True,False,,0.0,2.0275124185786808e-05,False,False,True,True,2029,0.0,0.04299987899999996,0.0,2,3,0.43582950399999987,0.65,1.8599999999999999
CAND-0B0DF7CC24CCF4,POSCO_KR,POSCO,P3,PORT-7DC46150E6EE,ACCELERATED_15C,388.383849,38554.208,99.268311,False,False,2040,5.624092200000003,-5.624092200000003,True,True,True,True,,0.0,0.0,0.0,2,3,0.43582950399999987,0.65,1.8599999999999999
