company_id,company_name,scenario_id,plan_id,facility_id,facility_name,region,transition_year,baseline_technology_id,baseline_technology_name,technology_id,technology_name,aligned_capex_bn_krw,incremental_capex_bn_krw,capacity_mtpa,output_mt,baseline_emissions_mtco2,emissions_2030_mtco2,emissions_2040_mtco2,residual_emissions_mtco2,annual_avoided_emissions_mtco2,cumulative_avoided_emissions_mtco2,base_case_gross_cost_bn_krw,base_case_policy_support_bn_krw,base_case_cash_cost_before_support_bn_krw,base_case_net_cash_cost_after_support_bn_krw,base_case_avoided_carbon_cost_value_bn_krw,base_case_net_cost_bn_krw,base_case_capex_cost_bn_krw,base_case_fixed_opex_cost_bn_krw,base_case_electricity_cost_bn_krw,base_case_hydrogen_cost_bn_krw,base_case_contract_premium_bn_krw,base_case_carbon_value_bn_krw,data_status,source_note,candidate_id,template_plan_id,physical_portfolio_id,candidate_path_count,candidate_p50_kkrw_per_tco2,candidate_tcar_kkrw_per_tco2,common_avoided_emissions_mtco2,deterministic_economic_npv_bn_krw,deterministic_cost_common_kkrw_per_tco2,carbon_budget_feasible,scenario_feasible,first_budget_breach_year,max_annual_budget_excess_mtco2,minimum_annual_budget_margin_mtco2,physical_constraints_feasible,resource_constraints_feasible,construction_concurrency_feasible,failure_risk_constraint_feasible,first_resource_breach_year,max_scrap_supply_excess_mt,max_hydrogen_supply_excess_mt,max_incremental_grid_excess_twh,max_concurrent_construction_projects,concurrent_construction_limit,portfolio_failure_probability,portfolio_failure_probability_limit,expected_failure_delay_years
JFE_STEEL_JP,JFE Steel,DISCLOSED_PATH,P2,JFE-CHIBA,East Japan Works Chiba,치바,2036,BF_BOF,기준 BF-BOF 복합 블록,BF_RELINE,BF 개수·효율 패키지,1650.0,330.0,6.0,5.449998,11.528348,11.528348,10.354996,10.354996,1.173352,5.866759,6.398,0.0,211.33,211.33,204.931,6.398,183.12,0.0,27.801,0.0,0.408,-204.931,model_estimate,JFE 공식 생산·배출 총량에 맞춘 설비 블록 배분,CAND-0B566F19FFC9A2,P2,PORT-CCD4397FA6D4,1000,114.157285,27.412048,281.895878,31362.25,111.25473,True,True,,0.0,1.265341119704999e-05,True,True,True,True,,0.0,0.0,0.0,2,3,0.3119871999999999,0.65,1.1400000000000001
JFE_STEEL_JP,JFE Steel,DISCLOSED_PATH,P2,JFE-FUKU,West Japan Works Fukuyama,후쿠야마,2033,BF_BOF,기준 BF-BOF 복합 블록,H2_DRI_EAF,수소 DRI + EAF,9702.0,7546.0,9.8,8.999997,19.037639,19.037639,1.799999,1.799999,17.237639,137.901116,30673.471,2151.904,35521.981,33370.077,4848.509,28521.568,4916.965,509.49,3636.405,26417.415,41.706,-4848.509,model_estimate,JFE 공식 생산·배출 총량에 맞춘 설비 블록 배분,CAND-0B566F19FFC9A2,P2,PORT-CCD4397FA6D4,1000,114.157285,27.412048,281.895878,31362.25,111.25473,True,True,,0.0,1.265341119704999e-05,True,True,True,True,,0.0,0.0,0.0,2,3,0.3119871999999999,0.65,1.1400000000000001
JFE_STEEL_JP,JFE Steel,DISCLOSED_PATH,P2,JFE-KURA,West Japan Works Kurashiki,구라시키,2029,BF_BOF,기준 BF-BOF 복합 블록,SCRAP_EAF,스크랩 기반 대형 EAF,4558.4,2930.4,7.4,6.800001,14.384,3.06,3.06,3.06,11.324,135.888002,3471.316,612.709,8221.645,7608.936,4750.329,2858.607,2365.468,299.458,5543.673,0.0,13.046,-4750.329,model_estimate,2028 혁신 EAF 공시를 반영한 조기 재투자 창; 생산량은 공식 총량에 맞춘 추정,CAND-0B566F19FFC9A2,P2,PORT-CCD4397FA6D4,1000,114.157285,27.412048,281.895878,31362.25,111.25473,True,True,,0.0,1.265341119704999e-05,True,True,True,True,,0.0,0.0,0.0,2,3,0.3119871999999999,0.65,1.1400000000000001
JFE_STEEL_JP,JFE Steel,DISCLOSED_PATH,P2,JFE-SENDAI,Sendai Works EAF,센다이,2033,EAF_BASELINE,기존 전기로 기준 블록,EAF_RENEWABLE,기존 EAF 재생전력 업그레이드,228.8,70.4,0.8,0.7,0.35,0.35,0.07,0.07,0.28,2.24,-17.429,6.895,61.328,54.433,78.757,-24.324,45.873,3.048,12.297,0.0,0.11,-78.757,model_estimate,공식 EAF 사업장 존재를 반영; 생산량·집약도·재투자연도 추정,CAND-0B566F19FFC9A2,P2,PORT-CCD4397FA6D4,1000,114.157285,27.412048,281.895878,31362.25,111.25473,True,True,,0.0,1.265341119704999e-05,True,True,True,True,,0.0,0.0,0.0,2,3,0.3119871999999999,0.65,1.1400000000000001
JFE_STEEL_JP,JFE Steel,ACCELERATED_15C,P2,JFE-CHIBA,East Japan Works Chiba,치바,2036,BF_BOF,기준 BF-BOF 복합 블록,BF_RELINE,BF 개수·효율 패키지,1650.0,330.0,6.0,5.449998,11.528348,11.528348,10.354996,10.354996,1.173352,5.866759,-91.316,0.0,214.69,214.69,306.006,-91.316,183.12,0.0,31.157,0.0,0.413,-306.006,model_estimate,JFE 공식 생산·배출 총량에 맞춘 설비 블록 배분,CAND-0B566F19FFC9A2,P2,PORT-CCD4397FA6D4,1000,106.125378,29.368218,281.895878,29040.327,103.01792,False,False,2040,5.28499579,-5.28499579,True,True,True,True,,0.0,0.0,0.0,2,3,0.3119871999999999,0.65,1.1400000000000001
JFE_STEEL_JP,JFE Steel,ACCELERATED_15C,P2,JFE-FUKU,West Japan Works Fukuyama,후쿠야마,2033,BF_BOF,기준 BF-BOF 복합 블록,H2_DRI_EAF,수소 DRI + EAF,9702.0,7546.0,9.8,8.999997,19.037639,19.037639,1.799999,1.799999,17.237639,137.901116,31007.963,2898.032,38201.982,35303.95,7194.019,28109.931,4916.965,509.49,4032.152,28698.795,44.581,-7194.019,model_estimate,JFE 공식 생산·배출 총량에 맞춘 설비 블록 배분,CAND-0B566F19FFC9A2,P2,PORT-CCD4397FA6D4,1000,106.125378,29.368218,281.895878,29040.327,103.01792,False,False,2040,5.28499579,-5.28499579,True,True,True,True,,0.0,0.0,0.0,2,3,0.3119871999999999,0.65,1.1400000000000001
JFE_STEEL_JP,JFE Steel,ACCELERATED_15C,P2,JFE-KURA,West Japan Works Kurashiki,구라시키,2029,BF_BOF,기준 BF-BOF 복합 블록,SCRAP_EAF,스크랩 기반 대형 EAF,4558.4,2930.4,7.4,6.800001,14.384,3.06,3.06,3.06,11.324,135.888002,1802.817,717.724,8730.238,8012.513,6927.42,1085.093,2365.468,299.458,6051.504,0.0,13.808,-6927.42,model_estimate,2028 혁신 EAF 공시를 반영한 조기 재투자 창; 생산량은 공식 총량에 맞춘 추정,CAND-0B566F19FFC9A2,P2,PORT-CCD4397FA6D4,1000,106.125378,29.368218,281.895878,29040.327,103.01792,False,False,2040,5.28499579,-5.28499579,True,True,True,True,,0.0,0.0,0.0,2,3,0.3119871999999999,0.65,1.1400000000000001
JFE_STEEL_JP,JFE Steel,ACCELERATED_15C,P2,JFE-SENDAI,Sendai Works EAF,센다이,2033,EAF_BASELINE,기존 전기로 기준 블록,EAF_RENEWABLE,기존 EAF 재생전력 업그레이드,228.8,70.4,0.8,0.7,0.35,0.35,0.07,0.07,0.28,2.24,-54.188,9.193,62.668,53.475,116.856,-63.381,45.873,3.048,13.635,0.0,0.112,-116.856,model_estimate,공식 EAF 사업장 존재를 반영; 생산량·집약도·재투자연도 추정,CAND-0B566F19FFC9A2,P2,PORT-CCD4397FA6D4,1000,106.125378,29.368218,281.895878,29040.327,103.01792,False,False,2040,5.28499579,-5.28499579,True,True,True,True,,0.0,0.0,0.0,2,3,0.3119871999999999,0.65,1.1400000000000001
KOBE_STEEL_JP,Kobe Steel,DISCLOSED_PATH,P7,KOB-BF1,Kakogawa Works BF 블록 1,가코가와,2028,BF_BOF,기준 BF-BOF 복합 블록,H2_DRI_EAF,수소 DRI + EAF,3118.5,2425.5,3.15,2.95,7.173636,0.59,0.59,0.59,6.583636,85.587273,18558.812,5032.418,21535.052,16502.634,2976.24,13526.394,2065.589,265.806,2193.932,16133.008,876.717,-2976.24,model_estimate,Kobe Steel 공식 조강·목표경계 배출 총량에 맞춘 블록 배분,CAND-0E9003448A63C3,P7,PORT-F194BB679477,1000,151.110277,1.285255,131.48782,19837.419,150.868867,True,False,,0.0,9.990856690045291e-05,False,False,True,True,2028,0.0,0.012250011000000005,0.0,1,1,0.3612199999999999,0.6,1.54
KOBE_STEEL_JP,Kobe Steel,DISCLOSED_PATH,P7,KOB-BF3,Kakogawa Works BF 블록 3,가코가와,2034,BF_BOF,기준 BF-BOF 복합 블록,H2_DRI_EAF,수소 DRI + EAF,3019.5,2348.5,3.05,2.909999,7.076364,7.076364,0.582,0.582,6.494364,45.460547,8671.931,2356.547,10268.214,7911.667,1596.282,6315.385,1450.502,118.533,1003.767,7277.134,418.276,-1596.282,model_estimate,2016년 BF3 개수와 장기 수명주기를 반영한 재투자연도 추정,CAND-0E9003448A63C3,P7,PORT-F194BB679477,1000,151.110277,1.285255,131.48782,19837.419,150.868867,True,False,,0.0,9.990856690045291e-05,False,False,True,True,2028,0.0,0.012250011000000005,0.0,1,1,0.3612199999999999,0.6,1.54
